N;DC;DS;DT;DCN;DSN;IC;IS;IT;ICN;ISN;MC;MS;MT;MCN;MSN;QC;QS;QT;QCN;QSN;HC;HS;HT;HCN;HSN
100;611.500000;405.500000;6;6.115000;4.055000;2587.600098;2587.600098;11;25.876001;25.876001;547.200012;672.000000;163;5.472000;6.720000;968.299988;175.199997;14;9.683000;1.752000;935.599976;725.099976;8;9.356000;7.251000;
200;1446.900024;882.400024;15;7.234500;4.412000;10088.400391;10088.400391;53;50.442001;50.442001;1284.099976;1544.000000;54;6.420500;7.720000;2201.899902;396.200012;19;11.009500;1.981000;2199.199951;1528.500000;13;10.995999;7.642500;
300;2316.100098;1449.400024;23;7.720334;4.831334;22821.500000;22821.500000;101;76.071663;76.071663;2094.800049;2488.000000;49;6.982667;8.293333;3649.899902;630.099976;28;12.166333;2.100333;3641.800049;2331.300049;20;12.139334;7.771000;
400;3458.899902;2045.000000;29;8.647250;5.112500;40368.601562;40368.601562;161;100.921501;100.921501;2966.199951;3488.000000;47;7.415500;8.720000;5108.700195;878.599976;34;12.771750;2.196500;5131.000000;3121.800049;25;12.827500;7.804500;
500;4515.100098;2687.500000;37;9.030200;5.375000;63361.898438;63361.898438;235;126.723801;126.723801;3859.500000;4488.000000;64;7.719000;8.976000;6498.700195;1139.199951;42;12.997400;2.278400;6499.000000;3972.399902;34;12.998000;7.944800;
600;5554.600098;3111.300049;44;9.257667;5.185500;89945.898438;89945.898438;335;149.909836;149.909836;4792.500000;5576.000000;71;7.987500;9.293333;8231.799805;1395.800049;52;13.719666;2.326334;8214.200195;4771.700195;40;13.690333;7.952834;
700;6557.200195;3979.000000;58;9.367429;5.684286;121937.601562;121937.601562;500;174.196579;174.196579;5756.399902;6676.000000;97;8.223429;9.537143;9777.099609;1657.000000;68;13.967285;2.367143;9741.099609;5630.899902;53;13.915856;8.044143;
800;7735.799805;4431.500000;67;9.669750;5.539375;161284.500000;161284.500000;660;201.605621;201.605621;6724.799805;7776.000000;109;8.406000;9.720000;11464.599609;1945.800049;80;14.330750;2.432250;11402.099609;6418.000000;63;14.252625;8.022500;
900;9026.400391;5143.700195;77;10.029334;5.715222;202218.906250;202218.906250;826;224.687668;224.687668;7709.899902;8876.000000;125;8.566555;9.862223;12534.299805;2229.600098;90;13.927000;2.477334;12686.200195;7590.299805;70;14.095778;8.433666;
1000;9791.599609;5840.700195;87;9.791599;5.840700;251459.406250;251459.406250;1030;251.459412;251.459412;8714.299805;9976.000000;137;8.714300;9.976000;14502.400391;2508.800049;101;14.502400;2.508800;14454.000000;8194.200195;79;14.454000;8.194201;
1100;11451.400391;6633.700195;101;10.410364;6.030636;307147.593750;307147.593750;1206;279.225098;279.225098;9740.000000;11152.000000;141;8.854546;10.138182;15957.700195;2782.100098;101;14.507000;2.529182;15968.299805;9086.700195;80;14.516636;8.260636;
1200;12826.900391;7182.000000;97;10.689084;5.985000;362830.406250;362830.406250;1348;302.358673;302.358673;10787.099609;12352.000000;153;8.989249;10.293333;17361.900391;3088.100098;109;14.468250;2.573417;17271.900391;9844.099609;86;14.393250;8.203416;
1300;14121.200195;7931.200195;108;10.862462;6.100923;427055.906250;427055.906250;1654;328.504547;328.504547;11841.400391;13552.000000;187;9.108769;10.424616;19296.000000;3355.699951;132;14.843077;2.581308;19198.800781;10620.000000;105;14.768309;8.169230;
1400;14850.200195;8520.500000;126;10.607285;6.086071;495746.687500;495746.687500;2032;354.104767;354.104767;12905.500000;14752.000000;198;9.218214;10.537143;21273.099609;3663.600098;142;15.195071;2.616857;21296.500000;11663.900391;113;15.211785;8.331357;
1500;16207.299805;9333.200195;138;10.804867;6.222134;565165.687500;565165.687500;2294;376.777130;376.777130;13957.900391;15952.000000;218;9.305267;10.634666;22500.699219;3972.399902;156;15.000466;2.648267;22428.500000;12376.700195;124;14.952333;8.251134;
1600;17524.699219;9779.299805;148;10.952937;6.112062;634547.500000;634547.500000;2579;396.592194;396.592194;15054.299805;17152.000000;223;9.408937;10.720000;24728.800781;4232.200195;164;15.455501;2.645125;24904.800781;13553.400391;132;15.565500;8.470875;
1700;18508.900391;10438.700195;158;10.887589;6.140412;724212.625000;724212.625000;2937;426.007416;426.007416;16124.700195;18352.000000;241;9.485118;10.795294;26193.699219;4569.799805;177;15.408058;2.688118;26163.900391;14175.099609;142;15.390530;8.338294;
1800;20255.599609;11251.900391;172;11.253111;6.251056;808796.812500;808796.812500;3273;449.331573;449.331573;17221.199219;19552.000000;253;9.567333;10.862223;27935.300781;4868.799805;184;15.519611;2.704889;27883.599609;15071.799805;149;15.490889;8.373222;
1900;21866.800781;12156.700195;177;11.508842;6.398263;898898.875000;898898.875000;3628;473.104675;473.104675;18304.699219;20752.000000;270;9.634052;10.922105;30087.500000;5150.200195;209;15.835526;2.710632;30098.900391;15984.200195;159;15.841527;8.412737;
2000;22789.900391;12723.599609;191;11.394950;6.361800;1005091.375000;1005091.375000;4034;502.545685;502.545685;19410.400391;21952.000000;280;9.705200;10.976000;31519.599609;5485.600098;210;15.759800;2.742800;31821.699219;17221.199219;174;15.910850;8.610600;
2100;23544.400391;13545.000000;197;11.211619;6.450000;1105500.750000;1105500.750000;4269;526.428955;526.428955;20531.900391;23204.000000;287;9.777096;11.049523;32985.300781;5810.399902;218;15.707286;2.766857;32922.500000;17765.599609;175;15.677381;8.459809;
2200;25644.099609;14292.000000;208;11.656409;6.496364;1199930.250000;1199930.250000;4626;545.422852;545.422852;21664.699219;24504.000000;285;9.847590;11.138182;34713.199219;6086.200195;212;15.778727;2.766455;34983.898438;18943.599609;173;15.901772;8.610727;
