N;Beg;Mid;End;False
100;13.000000;13.000000;13.000000;11.000000;
200;11.000000;13.000000;13.000000;7.000000;
300;11.000000;13.000000;13.000000;15.000000;
400;17.000000;13.000000;13.000000;17.000000;
500;17.000000;17.000000;17.000000;13.000000;
600;17.000000;19.000000;19.000000;13.000000;
700;17.000000;19.000000;19.000000;19.000000;
800;15.000000;19.000000;19.000000;19.000000;
900;15.000000;19.000000;19.000000;17.000000;
1000;15.000000;17.000000;17.000000;17.000000;
1100;15.000000;19.000000;19.000000;17.000000;
1200;15.000000;19.000000;19.000000;17.000000;
1300;21.000000;19.000000;19.000000;17.000000;
1400;15.000000;17.000000;17.000000;21.000000;
1500;21.000000;17.000000;17.000000;19.000000;
1600;21.000000;21.000000;21.000000;19.000000;
1700;21.000000;21.000000;21.000000;21.000000;
1800;19.000000;21.000000;21.000000;19.000000;
1900;21.000000;17.000000;17.000000;21.000000;
2000;19.000000;17.000000;17.000000;21.000000;
2100;19.000000;17.000000;17.000000;21.000000;
2200;19.000000;21.000000;21.000000;19.000000;
2300;21.000000;17.000000;17.000000;15.000000;
2400;21.000000;17.000000;17.000000;21.000000;
2500;19.000000;17.000000;17.000000;21.000000;
2600;19.000000;17.000000;17.000000;21.000000;
2700;19.000000;21.000000;21.000000;21.000000;
2800;19.000000;17.000000;17.000000;15.000000;
2900;19.000000;17.000000;17.000000;21.000000;
3000;19.000000;17.000000;17.000000;21.000000;
3100;23.000000;17.000000;17.000000;15.000000;
3200;23.000000;21.000000;21.000000;15.000000;
3300;19.000000;17.000000;17.000000;15.000000;
3400;19.000000;17.000000;17.000000;15.000000;
3500;19.000000;17.000000;17.000000;15.000000;
3600;23.000000;17.000000;17.000000;15.000000;
3700;19.000000;17.000000;17.000000;15.000000;
3800;23.000000;17.000000;17.000000;15.000000;
3900;23.000000;17.000000;17.000000;23.000000;
4000;23.000000;17.000000;17.000000;15.000000;
4100;21.000000;17.000000;17.000000;23.000000;
4200;23.000000;17.000000;17.000000;15.000000;
4300;23.000000;17.000000;17.000000;25.000000;
4400;23.000000;17.000000;17.000000;25.000000;
4500;23.000000;17.000000;17.000000;15.000000;
4600;23.000000;25.000000;25.000000;25.000000;
4700;23.000000;17.000000;17.000000;25.000000;
4800;23.000000;17.000000;17.000000;25.000000;
4900;23.000000;17.000000;17.000000;25.000000;
5000;23.000000;17.000000;17.000000;25.000000;
5100;23.000000;25.000000;25.000000;23.000000;
5200;23.000000;17.000000;17.000000;25.000000;
5300;23.000000;17.000000;17.000000;25.000000;
5400;23.000000;17.000000;17.000000;25.000000;
5500;25.000000;25.000000;25.000000;23.000000;
5600;23.000000;25.000000;25.000000;23.000000;
5700;23.000000;17.000000;17.000000;23.000000;
5800;23.000000;17.000000;17.000000;25.000000;
5900;21.000000;17.000000;17.000000;23.000000;
6000;23.000000;25.000000;25.000000;23.000000;
6100;21.000000;25.000000;25.000000;23.000000;
6200;21.000000;25.000000;25.000000;23.000000;
6300;21.000000;17.000000;17.000000;23.000000;
6400;21.000000;17.000000;17.000000;25.000000;
6500;23.000000;25.000000;25.000000;23.000000;
6600;21.000000;25.000000;25.000000;23.000000;
6700;21.000000;25.000000;25.000000;25.000000;
6800;21.000000;17.000000;17.000000;23.000000;
6900;25.000000;25.000000;25.000000;25.000000;
7000;25.000000;25.000000;25.000000;23.000000;
7100;25.000000;25.000000;25.000000;25.000000;
7200;21.000000;25.000000;25.000000;25.000000;
7300;21.000000;17.000000;17.000000;25.000000;
7400;25.000000;25.000000;25.000000;25.000000;
7500;25.000000;25.000000;25.000000;25.000000;
7600;25.000000;25.000000;25.000000;25.000000;
7700;21.000000;25.000000;25.000000;25.000000;
7800;25.000000;25.000000;25.000000;25.000000;
7900;21.000000;25.000000;25.000000;21.000000;
8000;21.000000;25.000000;25.000000;21.000000;
8100;21.000000;25.000000;25.000000;25.000000;
8200;25.000000;25.000000;25.000000;21.000000;
8300;21.000000;25.000000;25.000000;21.000000;
8400;21.000000;25.000000;25.000000;25.000000;
8500;21.000000;25.000000;25.000000;25.000000;
8600;21.000000;27.000000;27.000000;23.000000;
8700;21.000000;25.000000;25.000000;21.000000;
8800;21.000000;27.000000;27.000000;25.000000;
8900;21.000000;27.000000;27.000000;25.000000;
9000;21.000000;27.000000;27.000000;25.000000;
9100;21.000000;27.000000;27.000000;25.000000;
9200;21.000000;25.000000;25.000000;21.000000;
9300;21.000000;27.000000;27.000000;25.000000;
9400;21.000000;27.000000;27.000000;25.000000;
9500;21.000000;27.000000;27.000000;21.000000;
9600;21.000000;27.000000;27.000000;21.000000;
9700;21.000000;25.000000;25.000000;21.000000;
9800;21.000000;27.000000;27.000000;21.000000;
9900;21.000000;27.000000;27.000000;21.000000;
10000;27.000000;27.000000;27.000000;21.000000;
10100;21.000000;25.000000;25.000000;21.000000;
10200;27.000000;25.000000;25.000000;21.000000;
10300;27.000000;25.000000;25.000000;27.000000;
10400;27.000000;27.000000;27.000000;21.000000;
10500;27.000000;27.000000;27.000000;21.000000;
10600;21.000000;25.000000;25.000000;25.000000;
10700;27.000000;25.000000;25.000000;21.000000;
10800;27.000000;25.000000;25.000000;21.000000;
10900;27.000000;27.000000;27.000000;25.000000;
11000;21.000000;25.000000;25.000000;21.000000;
11100;21.000000;25.000000;25.000000;21.000000;
11200;27.000000;25.000000;25.000000;21.000000;
11300;27.000000;25.000000;25.000000;21.000000;
11400;27.000000;27.000000;27.000000;21.000000;
11500;21.000000;25.000000;25.000000;27.000000;
11600;21.000000;25.000000;25.000000;21.000000;
11700;21.000000;25.000000;25.000000;21.000000;
11800;27.000000;25.000000;25.000000;21.000000;
11900;21.000000;25.000000;25.000000;27.000000;
12000;27.000000;25.000000;25.000000;27.000000;
12100;27.000000;25.000000;25.000000;27.000000;
12200;27.000000;25.000000;25.000000;21.000000;
12300;25.000000;25.000000;25.000000;27.000000;
