N;Beg;Mid;End;False
100;177.590000;153.640000;144.740000;167.640000;
200;164.150000;444.120000;161.960000;137.360000;
300;144.060000;134.840000;135.530000;199.640000;
400;211.060000;134.620000;156.160000;197.850000;
500;186.010000;181.910000;165.620000;164.390000;
600;200.090000;202.760000;215.510000;151.850000;
700;153.600000;162.190000;160.070000;220.230000;
800;164.220000;160.240000;178.060000;188.840000;
900;152.600000;153.280000;156.100000;182.610000;
1000;151.870000;171.440000;197.350000;175.520000;
1100;142.300000;165.350000;158.620000;162.390000;
1200;141.670000;157.170000;181.920000;159.450000;
1300;218.420000;157.140000;154.210000;159.200000;
1400;142.820000;171.070000;189.250000;225.550000;
1500;197.010000;171.010000;148.640000;203.840000;
1600;196.500000;210.540000;217.560000;201.140000;
1700;196.180000;177.120000;180.530000;227.720000;
1800;192.710000;170.690000;186.310000;181.050000;
1900;191.090000;169.820000;148.900000;213.570000;
2000;182.450000;168.980000;174.210000;190.220000;
2100;167.020000;163.290000;152.080000;174.830000;
2200;156.630000;187.540000;191.890000;181.910000;
2300;187.110000;167.920000;151.150000;173.350000;
2400;193.370000;161.850000;176.300000;193.950000;
2500;154.550000;157.630000;151.410000;173.310000;
2600;160.710000;147.450000;171.540000;172.610000;
2700;154.070000;185.610000;174.070000;201.480000;
2800;156.050000;148.350000;174.460000;172.790000;
2900;156.890000;148.430000;148.010000;176.170000;
3000;156.130000;147.170000;171.780000;173.520000;
3100;311.820000;190.000000;222.910000;187.330000;
3200;222.360000;199.330000;198.280000;172.620000;
3300;250.230000;159.290000;150.010000;174.070000;
3400;176.510000;213.320000;276.880000;169.020000;
3500;186.310000;160.520000;154.340000;507.050000;
3600;320.420000;222.740000;211.390000;166.950000;
3700;171.660000;150.460000;148.480000;150.820000;
3800;208.180000;152.230000;172.700000;152.920000;
3900;193.820000;145.800000;146.500000;233.430000;
4000;191.290000;146.250000;167.430000;151.840000;
4100;202.020000;147.260000;151.100000;212.930000;
4200;199.860000;146.720000;168.960000;394.020000;
4300;182.760000;146.920000;147.670000;232.100000;
4400;177.110000;146.070000;169.710000;227.120000;
4500;179.800000;148.150000;148.260000;153.980000;
4600;184.360000;233.410000;241.050000;215.580000;
4700;178.780000;148.610000;148.350000;205.570000;
4800;179.790000;146.440000;168.240000;202.810000;
4900;175.820000;144.690000;146.600000;188.490000;
5000;185.430000;148.330000;171.230000;187.350000;
5100;281.690000;345.860000;206.500000;218.570000;
5200;194.880000;151.880000;178.380000;235.950000;
5300;267.740000;645.120000;147.790000;191.260000;
5400;194.420000;160.440000;174.880000;190.380000;
5500;233.570000;208.010000;187.600000;205.580000;
5600;193.980000;204.600000;209.850000;185.430000;
5700;181.550000;148.230000;148.800000;207.530000;
5800;182.270000;148.600000;172.760000;192.640000;
5900;197.820000;159.650000;147.940000;617.830000;
6000;182.210000;202.700000;208.110000;181.380000;
6100;192.210000;203.070000;181.500000;185.910000;
6200;189.190000;187.480000;204.660000;180.450000;
6300;187.320000;167.840000;147.460000;205.040000;
6400;189.630000;164.320000;168.820000;231.960000;
6500;200.110000;196.780000;178.660000;179.590000;
6600;186.690000;198.320000;202.790000;179.270000;
6700;246.840000;211.240000;183.240000;258.880000;
6800;207.990000;183.430000;179.370000;215.310000;
6900;255.690000;197.040000;183.850000;317.460000;
