N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;42.355637;24.228083;22.649503;26.000000;19.723083;25.690465;31.733263;29.359837;32.480764;25.396850;26.570661;31.701735;
200;72.415468;40.533936;36.262929;32.787193;27.568098;36.469165;30.000000;33.985291;34.292856;25.099801;30.919250;37.429935;
300;113.916636;55.299186;47.318073;41.749251;39.191836;41.641326;45.099889;44.877611;30.413813;29.120440;28.827071;32.969683;
400;131.362095;82.383251;51.048996;52.962251;44.855323;52.545219;42.836900;54.110997;53.028294;30.248967;38.144462;39.038443;
500;147.671934;78.835271;63.953108;56.947344;48.155997;53.469618;54.479354;64.768820;48.764741;57.654141;39.433488;35.496479;
600;156.489616;87.109127;65.238026;52.163205;63.765194;48.785244;61.862751;54.000000;76.078906;39.281039;44.530888;46.840154;
700;233.310951;86.510115;70.135583;72.904047;62.609903;52.630789;59.598658;61.636028;50.547008;77.491935;44.799554;60.108236;
800;245.920719;128.778880;87.344147;62.577951;68.483575;62.904690;69.526973;69.771054;69.130312;66.985073;65.130638;98.234414;
900;254.711602;126.791167;97.128780;90.829511;63.647467;63.639610;64.946132;72.138755;73.355300;63.655322;97.241966;90.531762;
1000;296.418623;152.617168;100.409163;89.465077;69.971423;76.190551;79.661785;74.926631;88.611512;68.344714;69.130312;86.556340;
1100;338.384397;137.815094;93.037627;80.876449;81.694553;88.011363;95.947903;62.345810;65.176683;85.603738;82.680106;102.029408;
1200;347.400345;145.564419;94.185986;83.534424;74.498322;66.234432;82.358970;73.259812;84.976467;77.749598;86.290208;88.634079;
1300;401.688934;143.027969;113.132665;93.107465;87.189449;90.038880;88.464682;81.320354;72.704883;84.994117;78.860637;73.212021;
1400;361.988950;143.104857;110.666165;98.183502;105.437185;91.192105;79.056942;92.994624;82.607506;85.819578;88.357229;94.657277;
1500;399.037592;172.148192;127.318498;123.312611;100.458947;82.722427;91.038453;89.476254;82.067046;91.268834;120.615090;93.332738;
1600;386.477684;191.854111;148.047290;134.022386;92.054332;85.076436;87.412814;93.150416;91.148231;86.434947;101.202767;124.927979;
1700;387.442899;180.452210;145.437272;111.642286;103.184301;103.551919;79.974996;102.004902;109.215384;81.847419;107.670795;103.106741;
1800;379.511528;183.482969;149.361976;111.395691;96.721249;110.544109;87.355595;104.388697;115.082579;104.177733;92.336342;123.207143;
1900;466.053645;162.373027;167.722986;138.466602;101.656284;106.306162;94.984209;94.694245;100.184829;102.083299;99.111049;115.143389;
2000;542.607593;195.946421;173.283006;110.471716;113.238686;113.454837;118.482066;93.978721;95.299528;107.962957;88.791892;115.568162;
2100;459.091494;239.478600;173.421452;120.635816;121.679908;106.597373;115.091268;98.117277;96.633328;101.469207;87.817994;115.913761;
2200;545.782924;221.377506;166.315964;130.076900;108.701426;107.810018;116.094789;103.691851;119.008403;117.855844;117.664778;124.000000;
2300;482.833305;232.787457;144.045132;143.509582;105.702412;119.050409;102.868849;103.754518;110.544109;115.918075;111.260955;130.579478;
2400;515.273714;214.825511;172.812037;106.296754;126.289350;112.254176;110.693270;126.194295;111.391203;120.842873;123.409886;105.171289;
2500;330.650873;192.392827;158.858428;136.367151;143.913168;114.769334;128.097619;116.318528;122.237474;109.553640;121.387808;97.765024;
2600;481.312788;266.688957;162.597663;171.677022;143.352712;140.921964;114.690889;110.981981;110.485293;129.915357;122.751782;132.253544;
2700;595.617327;271.143873;216.134218;165.966864;145.368497;112.614386;116.704756;129.448832;90.790969;130.525860;114.913011;118.642320;
2800;727.555496;291.034362;188.023935;169.260155;135.908057;115.316955;128.631256;116.447413;115.247560;118.726577;131.639660;120.660681;
2900;785.064329;377.149838;185.480457;189.494063;164.030485;119.193121;122.772147;121.486625;106.273233;111.678109;132.857066;117.158013;
3000;790.170868;313.316134;174.327278;159.078597;159.659012;153.577342;116.931604;132.366914;122.356038;148.791801;133.063894;145.027584;
3100;652.448465;319.962498;190.389075;179.312576;136.616251;136.985401;124.967996;137.164135;136.751600;143.157256;134.029847;127.647953;
3200;778.358529;315.981012;220.519840;183.466618;165.837270;143.464281;108.696826;127.585266;134.324235;131.335448;136.205727;159.292184;
3300;915.520071;337.856478;189.570567;217.926593;159.640220;167.991071;136.444128;123.725503;135.827096;112.498889;143.080397;138.928039;
3400;671.703059;319.799937;244.233495;184.407158;177.180699;141.332940;136.645527;149.559353;130.885446;116.640473;143.871470;163.376865;
3500;829.988554;334.710323;228.074549;168.694991;172.812037;157.143247;119.167949;152.019736;131.392542;108.152670;147.207337;144.820579;
3600;780.214073;292.196851;234.175148;203.378957;161.192432;145.715476;141.435498;158.492902;167.660371;117.473401;152.702325;142.442971;
3700;720.404053;404.958023;288.641646;228.208238;191.559390;152.190670;176.431290;157.311792;156.958593;118.359621;135.196154;163.125718;
