N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;493;356;314;334;316;312;319;318;325;322;334;338;
200;1007;692;632;592;603;587;573;573;581;590;575;611;
300;1524;1025;931;873;854;840;862;826;808;809;787;775;
400;1999;1416;1231;1153;1129;1127;1110;1090;1072;1124;1099;1069;
500;2560;1687;1566;1435;1401;1347;1312;1344;1418;1357;1355;1328;
600;3116;2077;1778;1756;1671;1625;1595;1536;1629;1564;1625;1562;
700;3693;2401;2067;1953;1907;1795;1847;1791;1847;1878;1824;1756;
800;4094;2757;2415;2263;2178;2067;2109;2081;2032;2120;2114;2104;
900;4672;3122;2672;2535;2365;2331;2277;2311;2233;2202;2367;2314;
1000;5244;3482;2995;2787;2637;2587;2497;2596;2522;2481;2504;2551;
1100;5691;3840;3233;3040;2894;2866;2808;2778;2765;2751;2684;2837;
1200;6179;4040;3546;3287;3126;3118;3072;3028;3029;2991;2931;3005;
1300;6808;4428;3764;3542;3432;3296;3282;3203;3215;3273;3157;3068;
1400;7279;4783;4067;3802;3658;3564;3548;3492;3440;3486;3528;3345;
1500;7794;5048;4444;4123;4035;3842;3769;3722;3625;3686;3787;3606;
1600;8262;5417;4679;4398;4141;3994;4017;3934;3843;3924;3968;4026;
1700;8837;5724;5004;4676;4437;4329;4180;4232;4157;4153;4186;4152;
1800;9374;6046;5231;4872;4662;4643;4440;4383;4426;4330;4417;4411;
1900;10019;6463;5521;5143;4896;4845;4719;4654;4612;4519;4654;4661;
2000;10499;6737;5858;5446;5205;5040;4918;4856;4862;4800;4791;4876;
2100;10986;7094;6117;5733;5437;5292;5161;5096;5039;4949;4978;5087;
2200;11521;7478;6413;5951;5645;5531;5424;5346;5344;5290;5251;5381;
2300;12196;7711;6670;6265;5904;5760;5723;5512;5575;5516;5391;5488;
2400;12457;8049;7007;6442;6241;6065;5856;5754;5853;5878;5644;5720;
2500;13105;8475;7244;6738;6458;6302;6147;6035;6034;6066;5938;5812;
2600;13828;8819;7460;6999;6648;6481;6452;6266;6214;6196;6152;6058;
2700;14269;9093;7768;7272;6862;6777;6633;6530;6412;6519;6332;6232;
2800;14965;9426;8132;7456;7158;6992;6876;6687;6640;6664;6588;6530;
2900;15455;9837;8336;7706;7516;7205;7125;6943;6961;6867;6909;6773;
3000;15944;10214;8674;7995;7683;7443;7304;7263;7102;7157;7135;7095;
3100;16516;10617;8954;8335;8020;7744;7612;7441;7280;7344;7384;7275;
3200;16914;10944;9231;8650;8215;8015;7826;7690;7535;7605;7597;7512;
3300;17528;11214;9676;8867;8458;8189;8053;7919;7753;7817;7816;7753;
3400;18101;11514;9794;9149;8781;8496;8286;8222;7992;8023;8043;8043;
3500;18406;11813;10094;9365;8964;8682;8445;8501;8199;8137;8274;8202;
3600;19084;12053;10323;9618;9214;9083;8743;8653;8561;8386;8444;8380;
3700;19667;12462;10720;9861;9454;9363;9007;8918;8776;8597;8749;8679;
3800;20263;12857;11037;10199;9645;9390;9140;9200;8875;8836;8906;8916;
3900;20561;13039;11331;10465;9954;9631;9453;9468;9217;9064;9180;9192;
4000;21258;13511;11486;10657;10256;9901;9639;9559;9464;9363;9357;9385;
4100;21828;13768;11805;10911;10575;10178;9956;9903;9771;9565;9504;9593;
4200;22524;14392;12139;11236;10657;10419;10204;10052;9924;9780;9603;9834;
4300;22843;14391;12364;11408;10900;10687;10347;10319;10214;9981;10012;10099;
4400;23296;14845;12717;11832;11249;10882;10680;10397;10506;10263;10121;10290;
4500;24014;15180;12917;12128;11623;11220;10852;10644;10713;10485;10358;10424;
4600;24465;15412;13286;12198;11678;11384;11130;10898;10876;10703;10623;10652;
4700;25074;15675;13525;12511;12007;11640;11451;11147;11078;10917;10818;10835;
4800;25425;16126;13703;12788;12179;11764;11615;11566;11365;11128;11005;11068;
4900;26090;16454;14098;12945;12430;12139;11839;11678;11615;11434;11342;11214;
5000;26734;16733;14283;13234;12682;12433;12173;11771;11843;11742;11511;11428;
