N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;288;237;218;202;223;205;199;193;188;196;206;202;
200;648;478;455;440;440;419;440;427;414;442;422;369;
300;953;775;710;667;646;660;662;597;657;653;625;613;
400;1398;1007;985;877;919;869;910;860;815;951;909;845;
500;1819;1340;1206;1178;1119;1087;1014;1094;1075;1045;1134;1137;
600;2349;1647;1418;1443;1329;1316;1282;1277;1300;1385;1358;1370;
700;2382;1944;1709;1552;1562;1551;1586;1479;1576;1529;1591;1490;
800;2844;2207;1933;1892;1786;1781;1746;1750;1706;1787;1815;1694;
900;3379;2512;2189;2048;2020;2034;1971;1979;1883;1911;1988;1905;
1000;3793;2505;2481;2271;2308;2199;2143;2198;2064;2130;2179;2166;
1100;4040;3005;2688;2635;2517;2399;2331;2500;2416;2329;2279;2374;
1200;4557;3187;3029;2874;2753;2763;2660;2581;2611;2582;2502;2584;
1300;4837;3685;3087;3132;3011;2868;2807;2785;2889;2855;2782;2745;
1400;5495;3975;3453;3271;3192;3109;3134;3052;2998;3100;3021;2929;
1500;5903;4003;3692;3546;3451;3410;3303;3295;3166;3248;3138;3172;
1600;6195;4398;3904;3642;3744;3644;3563;3519;3363;3505;3441;3405;
1700;6873;4864;4155;4015;3873;3842;3686;3675;3588;3758;3637;3617;
1800;7648;4952;4345;4236;4215;4039;4017;3837;3852;3805;3926;3853;
1900;7573;5467;4761;4451;4378;4292;4250;4233;4019;4056;4183;4097;
2000;8033;5801;4791;4837;4641;4535;4373;4427;4331;4261;4308;4347;
2100;8786;5868;5106;5194;4830;4750;4647;4642;4509;4458;4454;4528;
2200;8495;6302;5604;5264;5096;4987;4807;4813;4783;4704;4637;4670;
2300;8959;6440;5829;5404;5403;5223;5153;4924;5082;4899;4792;4908;
2400;9470;6841;5984;5874;5467;5551;5327;5194;5188;5185;5104;5154;
2500;10998;7432;6455;6003;5774;5594;5474;5487;5482;5442;5297;5332;
2600;11197;7552;6630;6117;5877;5703;5848;5729;5666;5609;5541;5418;
2700;11305;7651;6619;6495;6238;6211;6083;5901;5963;5887;5826;5602;
2800;11263;8057;7161;6541;6452;6352;6276;6166;6084;6098;5952;5922;
2900;11812;7983;7448;6768;6661;6653;6513;6304;6317;6377;6156;6149;
3000;12397;8577;7514;7130;6834;6723;6724;6646;6479;6462;6483;6320;
3100;12675;8969;7872;7459;7226;6982;7012;6748;6687;6609;6715;6594;
3200;12649;8758;8213;7576;7354;7291;7259;6934;6921;7002;6796;6822;
3300;12324;9151;8389;7678;7598;7374;7322;7159;7114;7235;7107;7064;
3400;14500;9751;8588;8166;7645;7539;7574;7493;7407;7441;7333;7273;
3500;13717;9710;8867;8383;8096;7915;7854;7614;7473;7603;7518;7439;
3600;14179;10488;8999;8512;8347;8069;7809;7821;7545;7830;7738;7620;
3700;16112;10327;9074;8698;8357;8472;8077;8260;7990;8043;8066;7825;
3800;14739;11006;9836;9261;8712;8600;8395;8252;8382;8059;8160;8097;
3900;15332;11282;9984;9613;8784;8827;8563;8663;8429;8327;8372;8343;
4000;16476;11339;10414;9547;9391;9042;8852;8907;8678;8697;8602;8616;
4100;16904;11883;10463;9929;9628;8966;9092;9102;8929;8835;8830;8725;
4200;17945;11939;10823;9991;9526;9218;9412;9401;9178;9053;9086;9045;
4300;17080;11918;11166;10413;9970;9672;9713;9491;9480;9216;9327;9288;
4400;18084;11864;11110;10315;10102;9752;9684;9732;9610;9504;9453;9499;
4500;19227;13492;11512;10903;10637;9970;9941;9943;9793;9582;9513;9705;
4600;18782;12645;11825;10886;10628;10356;10259;10172;10001;9917;9708;9950;
4700;20276;13465;12121;11219;10611;10645;10471;10424;10263;10179;9922;9883;
4800;21019;14028;12265;11619;11249;10866;10656;10611;10382;10351;10216;10145;
4900;20215;14369;12624;11553;11328;11303;10958;10622;10772;10668;10478;10617;
5000;20308;14701;12817;12046;11715;11235;11285;11098;10963;10928;10723;10616;
5100;21058;14383;12918;12040;11686;11666;11354;11123;11047;11136;10805;10930;
5200;21740;14569;13245;12539;11884;11767;11688;11306;11428;11264;11314;11044;
5300;21142;14606;13209;12729;12034;11881;11873;11634;11611;11313;11292;11287;
5400;23847;15212;13881;13104;12566;12285;12046;11915;11985;11723;11670;11392;
5500;23506;15977;14141;13300;12880;12483;12160;12024;12075;11871;11720;11549;
5600;24460;16511;14476;13587;12963;12634;12541;12290;12039;12113;12166;11837;
5700;23011;16491;14496;13738;13271;12954;12764;12610;12557;12401;12148;12110;
5800;23967;17033;14714;13787;13052;13242;12899;12614;12369;12496;12202;12396;
5900;26550;16466;15252;14124;13585;12801;13197;13103;12884;12857;12646;12634;
6000;26525;17668;15447;14535;13942;13516;13344;13197;13088;13067;12904;12729;
6100;26591;17945;15640;14651;13886;13648;13690;13366;12993;13149;13228;12824;
6200;24984;17640;15910;15054;14529;14186;13806;13396;13496;13454;13272;13258;
6300;27466;18531;15899;14874;14756;14239;14272;13930;13951;13644;13441;13425;
6400;26863;18798;15836;15244;14591;14656;14110;14223;14007;14153;13847;13765;
6500;28028;18843;16643;15424;14881;14655;14368;14377;13983;13922;13861;13727;
6600;30454;19124;16344;15502;15465;14718;14678;14517;14510;14375;14213;14138;
6700;29020;19820;17265;16128;15161;15200;14721;14650;14536;14620;14619;14266;
6800;30266;18703;17335;16477;15800;15153;15072;14963;14940;14783;14695;14610;
6900;29507;19579;17255;16610;15916;15840;15442;15539;15062;15080;14953;14814;
7000;28627;20230;18048;16754;16403;15887;15723;15418;14919;15315;15067;14945;
7100;30295;20960;17857;16797;16471;16072;15641;15669;15617;15372;15295;14967;
7200;31326;21226;18362;17470;16754;16324;15801;15798;15637;15579;15513;15617;
7300;31818;21332;19014;17660;16857;16568;16268;16019;15481;15718;15840;15646;
7400;32954;21176;19458;17970;17237;16780;16602;16330;16237;16080;15985;15806;
7500;33334;21730;19187;18102;16789;17151;16391;16524;16255;16444;16213;16142;
7600;31285;22066;19706;18406;17872;17346;17207;16640;16308;16466;16472;16444;
7700;36721;22981;19624;18375;17730;17253;17368;16907;16885;16695;16566;16450;
7800;34142;22840;19890;18825;17917;17655;17312;17278;16909;16966;16707;16715;
7900;34622;22264;19419;19254;18063;17873;17609;17655;17308;17140;16860;16962;
8000;34444;23210;20586;19390;18588;18133;17921;17814;17423;17274;17207;17191;
8100;35374;23603;20973;19655;19040;18802;17999;18000;17576;17571;17601;17496;
8200;35629;24613;21017;20078;19330;18674;18156;18065;17914;17813;17531;17708;
8300;36380;24573;21500;19294;19226;18913;18565;18338;18145;17963;17982;17764;
8400;36315;24998;21737;20106;19791;18713;18603;18477;18067;18099;17866;18036;
8500;37839;25128;22076;20566;19648;19201;18958;18870;18641;18481;18535;18378;
8600;36443;24676;22268;20786;19839;19507;19025;18948;18577;18391;18647;18706;
8700;37613;24982;22186;20841;20435;19819;19390;19298;19078;18813;18447;18712;
8800;37738;24155;22488;21377;20725;20072;19900;19499;19513;19024;18848;18931;
8900;39250;26166;23173;21143;20730;19925;19929;19621;19388;19271;19203;19278;
9000;38404;27650;22991;21820;20360;20332;20070;19689;19706;19619;19459;19276;
9100;39969;26719;23719;22107;21000;20901;20440;19705;19478;19801;19466;19557;
9200;40811;27288;24739;22283;21443;21161;20289;20030;19814;20175;19891;19747;
9300;41034;27743;23977;23243;21837;21226;20860;20434;20553;20133;19708;20056;
9400;41915;27197;23380;22653;22011;21263;21064;20395;20601;20325;19882;20094;
9500;39841;26816;24492;23111;21743;21926;21084;21154;20866;20518;20393;20543;
9600;40362;28192;24747;23726;22416;21699;21886;21299;21277;20869;20638;20734;
9700;43447;28026;24844;23401;22766;22007;21576;21378;21120;21065;20753;20982;
9800;43752;28895;25353;23895;22658;22442;21414;21734;21054;21332;21257;20980;
9900;42962;28923;25403;24002;22938;22304;22322;21768;21796;21580;21356;21305;
10000;47382;29445;25504;24090;23541;22664;22266;21847;21845;21794;21677;21330;
