N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;238;174;158;158;170;158;155;146;132;150;157;166;
200;496;353;312;296;320;286;317;287;284;286;296;283;
300;737;509;468;438;424;430;429;407;436;435;424;399;
400;1010;687;612;567;579;548;591;556;522;601;592;554;
500;1294;847;775;721;681;692;648;697;710;638;735;705;
600;1541;1037;911;849;815;823;796;754;817;845;807;863;
700;1824;1196;1037;981;937;918;941;901;946;981;975;891;
800;2049;1386;1201;1114;1087;1039;1061;1037;991;1099;1128;1052;
900;2316;1535;1325;1235;1202;1173;1142;1174;1127;1098;1217;1205;
1000;2615;1708;1514;1399;1340;1302;1266;1300;1285;1214;1304;1353;
1100;2836;1898;1631;1526;1457;1463;1389;1422;1432;1401;1302;1457;
1200;3109;2039;1795;1671;1589;1572;1525;1492;1544;1528;1471;1542;
1300;3373;2214;1898;1809;1739;1666;1648;1605;1665;1677;1604;1544;
1400;3680;2386;2038;1899;1824;1773;1775;1737;1732;1810;1766;1684;
1500;3961;2559;2205;2041;1999;1917;1909;1854;1819;1916;1906;1832;
1600;4215;2744;2347;2154;2096;2026;2018;1976;1922;2017;2026;1981;
1700;4499;2905;2495;2318;2240;2162;2121;2096;2032;2108;2166;2106;
1800;4762;3062;2628;2431;2369;2298;2239;2228;2179;2165;2277;2285;
1900;5022;3225;2770;2572;2473;2436;2358;2375;2303;2247;2377;2404;
2000;5294;3416;2923;2756;2630;2549;2476;2485;2444;2369;2458;2515;
2100;5587;3557;3092;2882;2727;2699;2581;2583;2572;2489;2519;2611;
2200;5821;3721;3230;2986;2893;2789;2711;2685;2706;2638;2577;2735;
2300;6116;3888;3354;3137;2990;2899;2845;2775;2806;2741;2689;2823;
2400;6369;4044;3514;3261;3130;3048;2967;2904;2946;2897;2821;2904;
2500;6746;4257;3633;3388;3264;3179;3086;3020;3052;3024;2951;2940;
2600;6959;4415;3765;3532;3336;3260;3220;3129;3155;3141;3091;3009;
2700;7227;4560;3879;3642;3459;3397;3355;3262;3254;3294;3205;3128;
2800;7420;4725;4052;3745;3593;3534;3490;3349;3341;3383;3327;3259;
2900;7755;4864;4181;3867;3725;3633;3609;3491;3458;3508;3470;3381;
3000;8017;5076;4370;3988;3880;3728;3703;3642;3554;3623;3565;3507;
3100;8358;5267;4492;4156;4007;3904;3852;3733;3654;3731;3718;3635;
3200;8541;5423;4632;4275;4104;4024;3971;3874;3777;3848;3846;3756;
3300;8761;5602;4801;4395;4232;4111;4070;3986;3890;3944;3977;3902;
3400;9106;5748;4914;4536;4389;4284;4144;4122;3997;4039;4088;4020;
3500;9366;5928;5054;4692;4508;4411;4258;4259;4117;4113;4207;4150;
3600;9673;6092;5214;4811;4620;4533;4363;4384;4259;4241;4280;4263;
3700;9970;6199;5330;4919;4724;4623;4500;4497;4409;4325;4441;4419;
3800;10203;6386;5495;5081;4865;4777;4602;4604;4505;4445;4496;4529;
3900;10416;6573;5641;5245;5036;4864;4723;4719;4624;4524;4613;4644;
4000;10886;6783;5801;5347;5155;4989;4828;4830;4738;4659;4728;4750;
4100;11183;6957;5957;5515;5274;5140;5004;4955;4869;4778;4794;4869;
4200;11293;7130;6110;5626;5364;5283;5133;5067;4981;4896;4883;5001;
4300;11671;7254;6231;5730;5485;5370;5225;5183;5147;4999;4998;5095;
4400;11894;7435;6364;5869;5620;5462;5369;5290;5254;5143;5073;5187;
4500;12165;7607;6485;6022;5765;5553;5456;5422;5371;5269;5173;5284;
4600;12339;7734;6661;6171;5886;5657;5618;5536;5479;5377;5289;5387;
4700;12653;7922;6774;6293;6013;5806;5741;5651;5598;5506;5394;5480;
4800;12968;8045;6903;6425;6109;5932;5825;5760;5691;5608;5513;5589;
4900;13202;8238;7043;6545;6281;6102;5979;5878;5835;5749;5652;5670;
5000;13580;8468;7192;6670;6399;6195;6091;5942;5941;5863;5774;5728;
5100;13793;8637;7318;6814;6487;6295;6218;6047;6075;5975;5853;5852;
5200;14149;8740;7473;6951;6608;6414;6338;6146;6200;6069;5990;5947;
5300;14338;8943;7550;7059;6710;6523;6427;6288;6312;6224;6116;6045;
5400;14622;9101;7753;7174;6824;6665;6580;6424;6426;6388;6285;6166;
5500;14907;9266;7907;7294;6935;6791;6767;6490;6502;6459;6346;6241;
5600;15160;9461;8050;7417;7079;6946;6845;6644;6617;6597;6490;6394;
5700;15280;9599;8186;7581;7210;7053;6950;6748;6722;6697;6594;6488;
5800;15758;9773;8331;7640;7306;7168;7045;6905;6807;6813;6710;6639;
5900;16184;9973;8472;7831;7498;7232;7195;7054;6956;6929;6841;6765;
6000;16416;10154;8594;7950;7581;7377;7326;7131;7048;7038;6965;6853;
6100;16609;10307;8763;8057;7733;7512;7393;7227;7165;7169;7090;6967;
6200;16791;10426;8907;8202;7854;7679;7496;7374;7271;7301;7203;7095;
6300;17121;10558;9021;8286;7996;7757;7643;7473;7389;7390;7321;7187;
6400;17393;10835;9181;8460;8131;7897;7765;7631;7512;7526;7470;7362;
6500;17553;11004;9341;8630;8188;8015;7855;7754;7605;7593;7578;7494;
6600;18003;11146;9438;8694;8317;8105;7957;7849;7750;7707;7692;7593;
6700;18235;11279;9589;8857;8465;8241;8026;7955;7827;7824;7806;7686;
6800;18630;11450;9766;9014;8629;8374;8134;8085;7976;7902;7963;7832;
6900;18838;11545;9934;9146;8726;8556;8247;8219;8023;8033;8031;7918;
7000;19043;11765;10019;9205;8882;8642;8381;8365;8120;8125;8131;8034;
7100;19358;11957;10183;9371;8989;8748;8459;8500;8227;8253;8266;8168;
7200;19556;12080;10356;9505;9103;8860;8620;8597;8356;8365;8380;8302;
7300;19896;12234;10487;9679;9232;8957;8772;8721;8526;8440;8477;8406;
7400;20169;12455;10628;9794;9356;9125;8847;8796;8620;8587;8562;8506;
7500;20459;12681;10741;9966;9458;9271;8973;8895;8758;8659;8683;8654;
7600;20631;12816;10851;10039;9610;9354;9097;9071;8854;8788;8820;8771;
7700;21114;13009;11044;10193;9753;9463;9190;9193;8984;8901;8916;8876;
7800;21315;13182;11183;10356;9882;9584;9301;9300;9057;8984;9012;9026;
7900;21625;13260;11319;10475;9971;9714;9453;9389;9177;9115;9110;9087;
8000;21770;13505;11487;10657;10147;9840;9551;9520;9366;9270;9247;9247;
8100;21972;13667;11599;10754;10274;9971;9661;9638;9492;9353;9320;9339;
8200;22465;13913;11722;10889;10345;10070;9848;9751;9573;9487;9422;9431;
8300;22622;14009;11906;10984;10462;10227;9947;9883;9728;9588;9532;9531;
8400;22913;14176;12053;11134;10623;10304;10054;9938;9825;9719;9618;9675;
8500;23282;14239;12215;11232;10753;10399;10206;10072;9913;9834;9768;9808;
8600;23460;14487;12291;11389;10854;10522;10268;10200;10039;9935;9850;9897;
8700;23809;14660;12460;11491;10997;10641;10420;10299;10204;10086;9969;9961;
8800;23965;14780;12596;11637;11143;10740;10554;10414;10372;10180;10093;10117;
8900;24473;14946;12737;11815;11269;10838;10659;10512;10453;10325;10149;10214;
9000;24628;15158;12846;11924;11353;10940;10817;10652;10577;10429;10263;10299;
9100;24910;15305;12999;12060;11486;11087;10968;10739;10664;10534;10377;10418;
9200;25229;15430;13190;12208;11641;11171;11058;10903;10767;10665;10509;10548;
9300;25518;15611;13268;12322;11771;11321;11205;10986;10889;10746;10604;10657;
9400;25778;15750;13414;12456;11865;11472;11285;11118;11037;10783;10703;10751;
9500;25920;15920;13596;12563;11919;11570;11398;11213;11128;10926;10844;10845;
9600;26080;16114;13687;12701;12081;11734;11536;11302;11256;11050;10981;10947;
9700;26583;16194;13844;12803;12258;11844;11595;11411;11392;11141;11047;11036;
9800;26736;16414;13983;12963;12345;11952;11718;11472;11425;11284;11180;11145;
9900;27075;16630;14090;13071;12466;12080;11893;11580;11579;11416;11320;11258;
10000;27465;16798;14217;13188;12631;12127;12007;11674;11659;11507;11411;11343;
