N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;30.182777;18.275667;17.663522;20.928450;18.627936;23.000000;27.549955;24.474477;26.870058;24.637370;24.494897;31.080541;
200;47.592016;32.372828;30.033315;26.324893;27.748874;32.202484;26.739484;30.347982;30.099834;24.269322;29.715316;36.455452;
300;75.571159;38.314488;35.071356;34.205263;32.756679;37.148351;39.025633;38.065733;30.215890;28.757608;28.390139;31.937439;
400;82.873397;58.889727;39.623226;41.255303;40.607881;44.877611;42.272923;47.201695;44.609416;29.427878;36.152455;38.000000;
500;93.600214;53.898052;49.537864;45.310043;39.446166;46.626173;46.861498;59.287435;45.552168;49.769469;38.105118;35.199432;
600;98.574845;61.991935;50.783856;41.036569;50.901866;42.249260;54.258640;47.370877;71.477269;37.336309;39.786933;46.151923;
700;145.013792;59.464275;51.855569;55.127126;53.329167;45.530210;52.792045;52.096065;49.969991;72.849159;44.181444;53.235327;
800;153.013071;88.820043;63.063460;47.759816;55.416604;51.497573;62.016127;59.991666;56.008928;67.705244;64.930732;88.645361;
900;159.659012;85.924385;69.512589;68.644009;50.724747;55.542776;54.972721;65.719099;63.631753;55.991071;91.809586;83.024093;
1000;182.137311;103.629146;75.511589;68.029405;53.385391;65.184354;66.475559;69.771054;79.107522;59.632206;65.414066;80.106180;
1100;203.897033;91.646058;64.366140;60.307545;63.411355;71.693793;81.369527;58.180753;59.573484;77.012986;68.403216;96.275646;
1200;206.295904;95.226047;70.242437;62.161081;58.429445;57.697487;71.791364;60.530984;78.421936;68.971008;75.742986;83.666003;
1300;243.714997;93.429118;76.622451;72.208033;64.381674;69.885621;75.657121;69.094139;69.455021;75.841941;69.985713;62.537988;
1400;220.102249;96.597101;78.287930;70.880181;78.224037;71.624018;68.359345;79.170702;72.000000;81.902381;79.006329;83.456576;
1500;242.435558;113.061930;91.246918;86.838931;78.727378;66.490601;77.466122;76.315136;69.949982;82.237461;109.854449;83.892789;
1600;233.072950;120.656537;102.039208;96.374270;70.484041;66.880490;70.915443;78.854296;73.450664;79.000000;93.171884;115.978446;
1700;234.895722;114.673449;95.514397;78.421936;74.323617;83.689904;65.688660;85.592056;88.521184;76.459139;99.075729;92.736185;
