N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;300;224;197;214;214;208;216;209;220;226;239;242;
200;592;417;394;356;385;370;366;366;371;381;377;413;
300;907;584;541;504;504;513;521;497;506;507;486;474;
400;1143;836;704;660;673;671;683;666;639;717;681;665;
500;1464;948;901;821;779;793;743;811;839;806;848;821;
600;1788;1170;995;1001;962;931;934;880;992;928;969;953;
700;2101;1352;1131;1101;1087;1016;1075;1033;1107;1139;1089;1011;
800;2307;1530;1336;1264;1245;1156;1219;1204;1154;1270;1273;1257;
900;2616;1716;1494;1412;1301;1309;1276;1321;1260;1256;1421;1372;
1000;2925;1921;1675;1568;1449;1453;1393;1499;1439;1401;1457;1499;
1100;3168;2105;1771;1653;1607;1614;1587;1584;1570;1575;1456;1687;
1200;3436;2223;1941;1796;1718;1741;1721;1672;1731;1705;1645;1751;
1300;3794;2413;2038;1944;1882;1802;1819;1768;1812;1883;1779;1692;
1400;4037;2622;2214;2074;1985;1965;1976;1948;1937;1983;2031;1867;
1500;4307;2740;2434;2236;2223;2083;2087;2063;1991;2079;2177;2009;
1600;4570;2939;2528;2394;2246;2159;2215;2166;2104;2207;2266;2319;
1700;4846;3119;2698;2545;2378;2383;2258;2346;2305;2307;2366;2330;
1800;5187;3250;2793;2630;2516;2553;2418;2395;2432;2393;2490;2493;
1900;5499;3528;2978;2770;2636;2646;2571;2539;2535;2460;2611;2638;
2000;5770;3642;3156;2924;2824;2733;2685;2641;2672;2609;2658;2743;
2100;6045;3831;3270;3102;2911;2857;2795;2766;2735;2683;2705;2841;
2200;6254;4022;3429;3178;3031;2994;2918;2893;2940;2900;2856;3043;
2300;6660;4078;3578;3400;3173;3078;3132;2951;3050;3029;2930;3039;
2400;6768;4297;3750;3429;3361;3266;3149;3112;3227;3264;3016;3172;
2500;7147;4534;3852;3617;3461;3404;3300;3223;3302;3352;3258;3159;
2600;7644;4736;3960;3754;3535;3464;3480;3373;3355;3370;3315;3278;
2700;7783;4842;4124;3887;3633;3662;3560;3510;3448;3588;3429;3360;
2800;8128;4991;4294;3968;3795;3729;3719;3573;3578;3616;3573;3535;
2900;8417;5211;4394;4092;3981;3825;3845;3718;3731;3687;3773;3661;
3000;8694;5421;4602;4211;4089;3966;3898;3901;3801;3903;3891;3880;
3100;8941;5678;4775;4412;4294;4139;4101;3972;3848;3967;4021;3938;
3200;9151;5831;4886;4586;4364;4282;4175;4110;4039;4121;4139;4068;
3300;9547;5947;5126;4717;4485;4393;4315;4240;4132;4237;4254;4217;
3400;9820;6113;5159;4775;4673;4531;4384;4413;4248;4314;4373;4397;
3500;9984;6283;5321;4951;4747;4610;4460;4581;4346;4314;4508;4452;
3600;10345;6377;5447;5077;4879;4896;4643;4652;4590;4469;4557;4510;
3700;10618;6589;5674;5234;5008;5066;4821;4809;4665;4545;4761;4711;
3800;10998;6779;5828;5401;5104;4967;4841;4946;4708;4694;4784;4837;
3900;11075;6881;6024;5549;5286;5109;4981;5105;4917;4816;4966;5006;
4000;11485;7187;6052;5657;5452;5253;5059;5101;5028;4995;5039;5087;
4100;11823;7278;6194;5734;5608;5436;5301;5315;5226;5061;5081;5195;
4200;12177;7627;6392;5940;5668;5527;5407;5374;5287;5211;5095;5325;
4300;12372;7586;6511;6009;5754;5678;5463;5496;5445;5295;5333;5492;
4400;12527;7830;6715;6212;5930;5739;5654;5482;5627;5440;5343;5570;
4500;13001;8023;6797;6415;6179;5914;5753;5642;5752;5566;5481;5599;
4600;13225;8059;7017;6392;6133;5963;5881;5762;5796;5669;5667;5724;
4700;13493;8245;7116;6596;6372;6128;6061;5906;5890;5778;5696;5778;
4800;13711;8450;7160;6682;6406;6159;6119;6188;6060;5885;5792;5900;
4900;14069;8651;7395;6773;6474;6409;6246;6160;6213;6054;6003;5966;
5000;14423;8817;7423;6933;6647;6568;6437;6177;6325;6289;6087;6062;
5100;14603;9051;7645;7124;6809;6599;6469;6314;6359;6380;6240;6204;
5200;15227;9196;7773;7198;6890;6685;6662;6511;6439;6363;6285;6255;
5300;15104;9255;7946;7389;6990;6836;6722;6560;6664;6520;6499;6315;
5400;15679;9512;8086;7473;7108;6913;6856;6776;6759;6757;6582;6519;
