N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;154;134;121;108;131;114;109;104;99;108;118;106;
200;365;247;241;237;229;222;246;234;223;245;223;178;
300;515;406;382;346;331;343;355;299;360;358;331;320;
400;763;517;528;454;498;440;490;457;415;544;504;448;
500;1004;718;628;634;586;558;503;561;550;542;625;630;
600;1289;868;729;764;689;685;659;664;689;737;728;759;
700;1279;1031;885;790;810;814;839;752;846;783;861;781;
800;1546;1166;1012;962;924;923;907;913;882;941;969;878;
900;1833;1320;1137;1034;1042;1043;1016;1014;959;984;1066;986;
1000;2069;1275;1281;1154;1212;1119;1092;1134;1036;1086;1154;1141;
1100;2165;1559;1396;1364;1305;1236;1170;1319;1257;1183;1149;1254;
1200;2425;1665;1573;1514;1417;1455;1375;1327;1363;1340;1269;1350;
1300;2593;1936;1575;1639;1566;1459;1418;1412;1502;1509;1431;1388;
1400;2905;2055;1780;1678;1651;1601;1619;1555;1549;1581;1577;1491;
1500;3188;2070;1908;1828;1796;1734;1689;1687;1612;1692;1590;1627;
1600;3327;2293;1980;1853;1933;1885;1838;1820;1690;1826;1754;1722;
1700;3663;2522;2143;2097;1998;1943;1865;1891;1815;1961;1881;1837;
1800;4149;2582;2212;2204;2174;2086;2075;1954;1958;1935;2048;1998;
1900;4058;2850;2471;2263;2253;2220;2194;2165;2035;2061;2180;2136;
2000;4323;3064;2446;2496;2403;2328;2210;2297;2201;2138;2239;2255;
2100;4696;3089;2607;2673;2445;2413;2347;2388;2296;2249;2281;2318;
2200;4537;3288;2900;2712;2619;2576;2453;2468;2398;2389;2359;2399;
2300;4759;3357;3016;2792;2808;2678;2609;2495;2591;2509;2411;2521;
2400;4991;3549;3102;3043;2801;2851;2750;2623;2651;2631;2593;2630;
2500;5901;3859;3344;3094;2992;2902;2764;2810;2831;2771;2675;2717;
2600;5978;3931;3421;3140;3009;2890;2981;2880;2930;2885;2808;2734;
2700;6009;3958;3361;3354;3200;3214;3160;3040;3081;3030;2935;2812;
2800;5957;4211;3686;3348;3288;3277;3246;3117;3080;3139;3028;3028;
2900;6265;4113;3882;3469;3388;3416;3308;3240;3223;3293;3134;3138;
3000;6553;4392;3862;3669;3502;3455;3472;3387;3320;3296;3306;3207;
3100;6742;4641;4048;3835;3719;3563;3621;3433;3386;3352;3381;3327;
3200;6634;4526;4221;3857;3774;3730;3725;3483;3468;3605;3464;3475;
3300;6498;4700;4295;3937;3872;3748;3775;3674;3611;3736;3657;3636;
3400;7694;5019;4413;4141;3887;3824;3892;3841;3733;3829;3705;3660;
3500;7230;5008;4523;4312;4102;4031;3985;3856;3788;3906;3841;3778;
3600;7484;5443;4647;4364;4283;4135;3954;3964;3735;4013;3959;3893;
3700;8570;5297;4628;4410;4231;4311;4110;4217;4086;4115;4134;3963;
3800;7678;5648;5091;4766;4428;4464;4270;4183;4260;4057;4172;4129;
3900;8092;5838;5103;4991;4424;4501;4339;4450;4262;4172;4236;4265;
4000;8747;5829;5392;4850;4839;4643;4514;4594;4401;4378;4420;4378;
4100;8947;6082;5347;5083;4975;4498;4597;4662;4568;4486;4541;4398;
4200;9537;6149;5551;5083;4858;4616;4838;4808;4670;4601;4642;4623;
4300;9015;6135;5755;5311;5054;4959;4985;4861;4875;4660;4791;4726;
4400;9535;6114;5658;5215;5208;4952;4956;4979;4860;4804;4792;4874;
4500;10166;7028;5906;5528;5470;5069;5098;5090;5038;4844;4835;4954;
4600;9920;6504;5993;5536;5470;5266;5256;5201;5059;5076;4925;5058;
4700;10743;6906;6144;5692;5415;5481;5347;5342;5269;5158;4983;4985;
4800;11139;7227;6212;5914;5760;5553;5404;5447;5313;5246;5199;5114;
4900;10631;7489;6445;5931;5780;5764;5621;5401;5514;5431;5326;5415;
5000;10657;7595;6567;6139;6011;5728;5791;5649;5565;5552;5445;5358;
5100;11152;7423;6567;6135;5969;5958;5846;5604;5628;5700;5464;5546;
5200;11458;7504;6710;6361;6044;6004;5984;5754;5847;5754;5745;5602;
5300;11139;7435;6725;6577;6157;6071;6051;5884;5941;5714;5691;5662;
5400;12630;7756;7084;6696;6408;6250;6190;6055;6121;5932;5907;5757;
5500;12457;8182;7186;6786;6562;6336;6194;6143;6129;6018;5920;5824;
5600;12975;8490;7444;6947;6560;6475;6386;6232;6117;6178;6205;5945;
5700;12039;8511;7399;7030;6752;6625;6520;6408;6435;6307;6132;6130;
5800;12689;8786;7474;6947;6595;6771;6532;6385;6226;6297;6139;6298;
5900;14137;8512;7759;7162;6838;6435;6753;6685;6588;6534;6464;6425;
6000;14008;9095;7883;7422;7073;6900;6847;6725;6696;6698;6452;6407;
6100;14069;9289;7989;7423;7049;6924;6962;6757;6530;6676;6719;6453;
6200;13164;9118;8090;7719;7411;7282;6990;6699;6854;6858;6709;6707;
6300;14530;9554;8093;7595;7532;7237;7327;7090;7117;6953;6775;6785;
6400;14073;9637;8065;7824;7436;7510;7199;7274;7125;7252;7073;6989;
6500;14704;9694;8461;7886;7604;7468;7313;7310;7092;7030;7058;6966;
6600;16058;9863;8318;7821;7769;7509;7472;7373;7418;7325;7216;7189;
6700;15276;10186;8819;8247;7650;7735;7451;7481;7346;7494;7452;7231;
6800;15971;9491;8840;8390;8023;7737;7630;7617;7642;7599;7459;7458;
6900;15491;10059;8784;8469;8135;8086;7847;7913;7645;7739;7543;7563;
7000;15010;10335;9234;8479;8356;8095;7987;7825;7475;7807;7722;7518;
7100;15922;10774;9116;8558;8305;8217;7864;7982;7910;7841;7791;7583;
7200;16507;10925;9363;8889;8556;8403;8056;8047;7893;7933;7913;7922;
7300;16738;10985;9748;9062;8501;8415;8175;8147;7730;7983;8105;7978;
7400;17392;10806;9953;9179;8775;8556;8458;8246;8230;8220;8085;8047;
7500;17588;11192;9764;9142;8429;8763;8304;8374;8312;8345;8257;8225;
7600;16393;11306;10098;9393;9147;8832;8834;8511;8165;8360;8412;8397;
7700;19348;11884;9928;9370;9078;8731;8879;8585;8598;8484;8413;8334;
7800;18097;11684;10070;9514;9054;9004;8782;8848;8556;8640;8492;8525;
7900;18266;11467;9816;9832;9192;9025;8924;8948;8758;8704;8515;8643;
8000;18063;11838;10543;9806;9441;9196;9118;8989;8837;8834;8787;8676;
8100;18683;12111;10704;10013;9736;9518;9101;9177;9023;8911;8981;8918;
8200;18835;12751;10703;10268;9841;9485;9235;9250;9065;9150;8938;9122;
8300;19152;12650;10964;9777;9774;9614;9426;9318;9204;9087;9178;8975;
