N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;11;7;6;5;5;4;4;4;4;4;4;4;
200;20;14;12;11;10;9;9;9;9;9;9;9;
300;31;21;18;16;15;14;14;14;13;14;14;14;
400;40;28;25;22;21;20;19;19;19;19;19;19;
500;52;34;30;27;26;24;24;23;24;24;23;24;
600;59;40;34;32;30;29;29;29;28;28;29;29;
700;68;47;40;37;35;33;33;33;33;34;34;34;
800;77;53;46;42;41;38;38;38;38;39;40;39;
900;87;59;51;47;45;43;43;43;43;44;44;44;
1000;105;68;59;52;50;49;48;47;47;48;49;49;
1100;109;73;61;57;57;52;53;53;52;53;54;54;
1200;114;76;67;62;61;58;57;57;56;56;58;59;
1300;123;82;69;66;63;59;60;61;61;61;62;62;
1400;129;89;77;70;67;66;65;65;65;66;67;67;
1500;138;92;79;75;73;69;69;70;70;71;72;72;
1600;155;103;88;82;79;75;76;76;77;77;78;79;
1700;162;105;90;86;83;79;83;81;81;83;83;83;
1800;172;112;99;91;88;84;84;83;83;86;87;88;
1900;180;115;102;96;94;88;90;89;91;90;94;92;
2000;189;123;105;98;95;91;92;91;92;93;95;95;
2100;190;123;110;103;101;96;97;96;97;99;101;102;
2200;210;131;115;108;106;101;102;102;102;104;106;106;
2300;218;141;123;114;113;109;111;109;109;111;115;115;
2400;230;145;126;123;118;121;115;115;114;117;119;120;
2500;255;158;135;130;125;118;121;119;119;121;123;125;
2600;249;166;147;134;130;124;125;126;125;126;129;131;
2700;257;166;143;138;133;127;129;128;129;131;133;134;
2800;261;171;147;142;139;131;132;132;132;138;137;140;
2900;284;179;155;148;147;137;137;139;138;140;145;143;
3000;279;183;160;150;151;139;140;141;142;146;148;149;
3100;300;184;160;156;152;145;144;143;145;147;151;152;
3200;296;189;164;157;160;152;153;149;151;157;158;159;
3300;311;199;174;165;162;154;156;156;159;163;165;165;
3400;328;205;176;169;169;161;161;162;162;165;168;170;
3500;354;213;185;176;178;166;168;167;169;174;176;178;
3600;348;221;190;180;181;170;169;172;170;175;175;179;
3700;356;224;194;181;179;173;174;171;173;179;182;184;
3800;366;226;202;189;187;180;181;180;182;185;188;192;
3900;381;239;207;197;196;189;189;185;189;192;198;201;
