N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;3.000000;1.732051;1.414214;1.414214;1.000000;1.414214;1.000000;1.000000;1.000000;1.000000;1.414214;1.000000;
200;5.477226;4.123106;3.000000;2.645751;2.645751;2.645751;2.236068;2.236068;2.236068;2.236068;2.828427;2.236068;
300;10.770330;5.000000;4.242641;3.741657;3.741657;3.605551;3.741657;3.464102;3.316625;3.316625;4.000000;3.464102;
400;10.049876;6.633250;13.638182;9.746794;4.898979;4.690416;4.472136;4.472136;4.472136;4.358899;4.582576;4.582576;
500;25.238859;8.485281;6.928203;5.916080;5.567764;5.567764;5.291503;5.656854;5.477226;5.916080;5.656854;5.385165;
600;13.747727;9.433981;8.124038;7.211103;6.782330;6.480741;6.855655;6.557439;6.244998;6.000000;6.557439;6.633250;
700;16.000000;10.049876;8.660254;7.937254;7.810250;7.483315;7.681146;7.280110;7.211103;7.348469;7.211103;12.328828;
800;17.832555;12.124356;10.723805;9.165151;11.401754;8.602325;8.306624;8.660254;8.831761;9.110434;9.380832;9.219544;
900;19.519221;12.083046;10.816654;10.440307;9.949874;9.746794;9.746794;9.219544;9.695360;10.099505;10.049876;9.746794;
1000;50.289164;21.794495;15.968719;11.789826;12.369317;14.966630;10.583005;10.049876;11.832160;10.440307;10.770330;10.488088;
1100;38.522721;26.324893;13.928388;14.035669;22.737634;12.000000;12.369317;12.124356;11.789826;12.288206;12.884099;12.609520;
1200;25.787594;17.029386;14.798649;13.820275;20.248457;15.231546;13.379088;13.000000;13.114877;13.416408;13.341664;20.074860;
1300;33.015148;19.157244;16.852300;16.673332;15.459625;14.832397;14.966630;15.066519;14.730920;15.033296;15.231546;15.491933;
1400;31.953091;30.951575;28.142495;17.406895;16.552945;24.207437;17.804494;16.401219;16.462078;17.029386;16.911535;17.117243;
1500;34.568772;22.472205;19.646883;18.275667;18.165902;17.175564;17.720045;17.972201;17.320508;18.193405;18.083141;18.867962;
1600;47.581509;29.949958;22.627417;20.199010;19.183326;17.888544;18.574176;19.078784;19.798990;19.078784;19.697716;20.149442;
1700;40.062451;25.219040;21.563859;21.071308;19.595918;19.364917;28.337255;24.799194;24.535688;28.722813;19.570386;19.519221;
1800;43.749286;27.459060;36.249138;23.874673;21.771541;20.371549;19.773720;19.974984;20.000000;20.615528;20.663978;21.000000;
1900;52.201533;28.530685;23.958297;29.206164;32.140317;20.832667;30.265492;26.645825;27.349589;22.803509;33.301652;23.473389;
2000;60.066630;35.651087;25.416530;23.515952;22.627417;21.377558;21.886069;22.135944;22.248595;22.472205;23.086793;23.043437;
2100;46.711883;29.816103;26.514147;25.119713;25.199206;24.392622;24.738634;24.392622;25.455844;24.959968;25.748786;26.400758;
2200;64.761099;33.256578;27.910571;26.944387;26.095977;24.677925;24.839485;24.799194;25.199206;25.942244;26.191602;25.845696;
2300;59.506302;39.623226;31.144823;27.838822;28.017851;26.739484;28.160256;27.258026;26.324893;26.720778;27.568098;27.459060;
2400;61.245408;33.763886;29.171904;33.837849;27.349589;42.638011;25.748786;24.637370;25.099801;25.592968;25.903668;25.670995;
2500;73.749576;42.296572;33.075671;38.522721;35.071356;24.738634;32.186954;25.768197;26.134269;25.768197;26.758176;28.390139;
2600;59.531504;48.733972;48.383882;32.341923;29.206164;26.532998;26.758176;27.092434;26.476405;26.925824;28.740216;27.622455;
2700;52.943366;34.641016;31.064449;35.270384;29.291637;27.892651;29.103264;27.928480;33.301652;29.883106;29.154759;28.530685;
2800;55.208695;36.110940;31.304952;32.233523;30.083218;27.964263;28.478062;28.071338;28.548205;36.000000;30.016662;30.610456;
2900;78.255990;39.153544;33.882149;33.030289;43.231933;28.248894;28.178006;28.913665;29.171904;30.659419;38.327536;31.622777;
3000;64.420494;45.672749;34.612137;32.588341;41.988094;30.838288;31.764760;32.388269;32.062439;33.645208;33.615473;34.117444;
3100;78.835271;41.521079;35.972211;41.976184;39.076847;37.121422;32.403703;31.638584;33.090784;32.249031;33.793490;34.205263;
3200;66.887966;42.166337;38.236109;33.941125;49.446941;40.385641;44.654227;33.286634;30.919250;37.934153;34.799425;34.452866;
3300;71.414284;42.988371;38.910153;35.930488;34.626579;33.151169;32.893768;33.496268;35.028560;34.612137;35.397740;34.626579;
3400;76.190551;42.743421;39.420807;36.027767;37.960506;33.541020;32.588341;32.233523;33.970576;34.597688;35.171011;35.566838;
3500;93.434469;42.976738;38.118237;35.735137;52.735187;34.756294;34.394767;34.510868;34.058773;40.607881;35.944402;37.709415;
3600;77.595103;51.874849;40.224371;38.457769;50.059964;37.509999;36.523965;45.782093;37.202150;42.731721;39.306488;39.949969;
3700;89.089842;58.480766;48.785244;40.410395;39.395431;38.548671;42.011903;38.418745;39.661064;42.379240;41.243181;41.593269;
3800;90.077744;50.179677;42.083251;40.865633;40.286474;39.000000;40.323690;39.012818;41.024383;39.786933;40.024992;42.095130;
3900;94.148818;57.070132;43.092923;41.496988;41.725292;38.729833;44.665423;38.118237;38.897301;40.187063;43.988635;45.166359;
4000;125.367460;60.605280;44.877611;48.218254;41.713307;42.083251;40.323690;40.024992;44.631827;40.099875;40.012498;44.418465;
4100;92.504054;51.739733;46.497312;42.497059;50.980388;40.249224;40.546270;39.749214;40.877867;41.364236;42.708313;43.011626;
4200;91.411159;70.689462;44.833024;42.391037;46.389654;39.344631;40.938979;41.701319;42.555846;44.395946;49.264592;44.955534;
4300;92.498649;59.849812;48.692915;41.904654;42.449971;41.856899;42.906876;44.204072;42.520583;43.174066;48.877398;46.043458;
4400;97.483332;80.647381;55.344376;48.342528;49.689033;46.561787;48.373546;47.275787;46.989360;48.662100;53.150729;51.730069;
4500;99.854895;69.021736;54.854353;57.610763;61.927377;47.885280;47.381431;53.721504;47.801674;48.404545;53.160135;51.507281;
4600;105.342299;60.983604;53.712196;51.400389;54.064776;52.105662;49.295030;48.404545;49.173163;49.517674;50.089919;58.532043;
4700;107.935166;63.458648;57.436922;64.132675;53.990740;52.981129;53.094256;52.057660;51.980766;53.619026;55.578773;57.870545;
4800;119.737212;66.098411;65.696271;71.714713;54.653454;52.592775;52.592775;52.782573;54.827001;54.221767;55.901699;55.317267;
