N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;25;12;10;8;8;8;8;8;7;7;7;9;
200;34;36;19;18;16;20;14;16;15;15;23;14;
300;105;32;29;26;25;25;32;23;21;23;33;25;
400;68;43;151;107;33;30;29;29;29;29;30;30;
500;273;68;47;38;37;36;32;37;36;45;34;34;
600;88;54;52;46;44;42;50;47;44;41;44;47;
700;106;65;55;51;48;45;46;44;43;46;47;134;
800;103;79;83;58;108;52;54;55;56;65;59;57;
900;113;83;71;66;62;59;59;58;66;77;73;62;
1000;401;186;139;92;90;154;66;61;105;69;76;67;
1100;291;288;84;112;246;78;75;77;72;74;79;81;
1200;147;102;89;82;170;136;78;76;75;80;79;207;
1300;267;110;95;107;90;78;81;84;81;83;88;90;
1400;183;309;289;99;99;237;145;96;100;96;96;101;
1500;214;131;109;102;102;95;106;103;107;123;112;117;
1600;410;246;159;127;123;112;119;120;119;120;121;124;
1700;238;158;129;124;111;127;280;213;192;271;114;120;
1800;332;198;360;177;122;117;110;110;111;118;118;118;
1900;462;173;140;280;328;118;300;217;235;142;295;181;
2000;553;322;149;132;126;123;123;124;121;125;124;126;
2100;248;166;154;143;163;143;162;162;162;158;171;179;
2200;432;182;166;165;165;162;148;157;156;165;153;155;
2300;448;313;226;163;170;164;161;166;162;170;168;172;
2400;522;215;178;304;172;364;176;175;172;170;170;174;
2500;547;377;287;330;356;162;326;167;171;170;178;213;
2600;504;480;410;273;213;169;185;201;184;178;190;184;
2700;367;214;204;325;189;181;187;179;313;208;194;199;
2800;380;241;202;247;211;175;186;178;182;350;211;204;
2900;553;266;277;297;417;196;179;231;186;192;307;198;
3000;376;401;210;205;366;184;199;214;219;226;226;235;
3100;615;256;230;395;347;334;217;185;207;184;200;211;
3200;456;251;203;192;436;346;353;228;193;362;250;254;
3300;422;266;305;232;213;211;228;219;292;260;271;215;
3400;536;264;268;250;303;226;203;208;207;209;218;221;
3500;627;295;246;236;564;220;221;225;234;369;249;277;
3600;546;480;244;238;396;243;236;401;240;361;279;278;
3700;612;463;413;256;228;238;343;223;252;282;291;236;
3800;671;305;270;262;290;287;280;275;345;262;255;271;
