N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;398;295;268;264;268;255;257;240;233;245;261;256;
200;863;608;546;525;535;492;514;491;471;482;488;478;
300;1311;946;828;782;754;754;744;715;733;733;719;695;
400;1796;1262;1126;1031;1024;977;1014;971;931;1006;986;953;
500;2314;1555;1393;1299;1232;1237;1193;1220;1243;1158;1240;1209;
600;2712;1901;1665;1566;1502;1497;1457;1408;1444;1480;1449;1481;
700;3265;2212;1941;1808;1740;1696;1712;1652;1678;1702;1703;1615;
800;3768;2553;2235;2064;2000;1937;1943;1909;1847;1940;1968;1868;
900;4225;2845;2488;2334;2250;2183;2125;2175;2085;2048;2160;2141;
1000;4800;3183;2793;2617;2492;2431;2366;2390;2371;2277;2362;2381;
1100;5240;3522;3042;2846;2747;2680;2603;2604;2608;2541;2472;2613;
1200;5703;3835;3319;3128;2970;2925;2851;2800;2828;2806;2738;2808;
1300;6251;4151;3599;3375;3249;3145;3095;3021;3067;3034;2993;2919;
1400;6691;4500;3881;3610;3474;3370;3346;3271;3235;3309;3246;3139;
1500;7261;4808;4169;3861;3760;3631;3583;3510;3420;3518;3481;3387;
1600;7742;5138;4442;4105;3977;3845;3807;3725;3651;3749;3716;3653;
1700;8173;5476;4699;4393;4253;4094;4034;3986;3871;3927;3980;3925;
1800;8777;5791;4980;4653;4482;4343;4243;4221;4125;4095;4220;4156;
1900;9166;6077;5271;4916;4708;4607;4462;4455;4380;4289;4406;4400;
2000;9817;6406;5576;5199;4981;4821;4697;4666;4619;4516;4615;4631;
2100;10299;6793;5836;5438;5199;5084;4929;4899;4828;4752;4739;4842;
2200;10773;7059;6122;5707;5454;5316;5180;5115;5081;5030;4930;5034;
2300;11406;7363;6407;5960;5711;5557;5403;5321;5337;5232;5171;5287;
2400;11791;7685;6689;6217;5961;5811;5660;5545;5538;5484;5392;5456;
2500;12326;8066;6959;6434;6192;6038;5915;5772;5753;5708;5631;5602;
2600;12964;8370;7224;6723;6405;6229;6135;6005;5979;5939;5859;5771;
2700;13461;8705;7481;6973;6630;6490;6382;6230;6206;6203;6087;6021;
2800;13834;8959;7772;7222;6905;6743;6652;6440;6387;6394;6342;6228;
2900;14434;9327;8052;7472;7169;6962;6870;6713;6616;6674;6543;6490;
3000;14915;9701;8364;7715;7432;7177;7101;6942;6837;6873;6781;6716;
3100;15456;10084;8616;7973;7683;7466;7337;7179;7040;7105;7033;6953;
3200;16007;10344;8839;8217;7908;7708;7531;7390;7268;7326;7285;7174;
3300;16413;10690;9146;8513;8113;7927;7779;7664;7483;7511;7505;7409;
3400;16980;10955;9430;8778;8451;8188;7986;7858;7746;7730;7732;7640;
3500;17608;11274;9729;9043;8673;8417;8196;8153;7947;7913;7967;7919;
3600;18090;11648;10063;9280;8902;8637;8398;8370;8174;8108;8194;8075;
3700;18423;11976;10267;9537;9143;8882;8704;8565;8417;8324;8373;8325;
3800;19171;12275;10587;9823;9381;9161;8909;8823;8661;8545;8594;8626;
3900;19735;12628;10848;10051;9655;9368;9140;9027;8939;8800;8808;8814;
4000;20168;12984;11080;10340;9922;9612;9349;9285;9137;8997;9023;9032;
4100;20708;13332;11369;10625;10120;9854;9616;9502;9348;9237;9210;9215;
4200;21209;13618;11763;10866;10345;10098;9847;9734;9595;9458;9395;9445;
4300;21769;13997;12035;11086;10601;10318;10052;9969;9853;9691;9640;9721;
4400;22353;14266;12238;11374;10852;10542;10284;10199;10068;9883;9796;9901;
4500;22805;14573;12500;11575;11114;10761;10556;10409;10316;10141;9997;10116;
4600;23045;14888;12836;11962;11382;11018;10808;10602;10522;10350;10261;10308;
4700;23695;15172;13034;12185;11644;11226;11049;10850;10774;10603;10453;10520;
4800;24376;15502;13362;12383;11861;11506;11266;11063;11006;10853;10690;10723;
4900;24865;15828;13609;12612;12143;11737;11511;11305;11195;11073;10922;10917;
5000;25475;16146;13888;12893;12332;11976;11756;11505;11433;11284;11158;11089;
5100;25729;16537;14180;13129;12572;12173;11994;11695;11662;11487;11360;11304;
5200;26386;16888;14464;13417;12802;12393;12205;11924;11891;11741;11593;11501;
5300;26978;17182;14736;13703;13030;12667;12458;12231;12138;12015;11891;11725;
5400;27257;17543;15016;13978;13289;12899;12675;12451;12323;12217;12094;11930;
5500;27990;17785;15305;14156;13513;13141;12957;12626;12532;12484;12290;12130;
5600;28416;18168;15576;14441;13770;13409;13185;12852;12752;12702;12507;12398;
5700;29052;18494;15894;14646;13982;13643;13394;13110;12980;12913;12776;12599;
5800;29406;18879;16166;14916;14273;13843;13612;13384;13159;13140;12978;12838;
5900;30108;19158;16429;15157;14535;14081;13880;13613;13418;13373;13219;13051;
6000;30885;19560;16689;15435;14781;14320;14100;13856;13600;13580;13416;13300;
6100;31389;19783;16955;15697;15026;14617;14347;14055;13832;13808;13730;13533;
6200;31889;20254;17224;15856;15263;14865;14533;14280;14092;14060;13916;13732;
6300;32156;20570;17595;16244;15477;15090;14760;14525;14306;14279;14133;13959;
6400;32874;20911;17738;16457;15776;15296;15023;14762;14531;14459;14417;14198;
6500;33459;21104;18049;16748;15993;15572;15258;15005;14783;14673;14630;14444;
6600;33634;21582;18384;16969;16237;15793;15423;15234;14995;14914;14832;14666;
6700;34319;21838;18638;17268;16457;16020;15657;15455;15237;15139;15073;14907;
6800;34773;22130;18944;17528;16719;16277;15871;15676;15424;15305;15268;15107;
6900;35438;22457;19246;17783;17033;16557;16093;15873;15589;15551;15484;15357;
7000;35892;22810;19528;18034;17258;16752;16311;16209;15805;15717;15755;15544;
7100;36280;23081;19816;18284;17447;17021;16551;16431;16051;15996;15923;15810;
7200;37064;23320;20068;18528;17748;17221;16791;16683;16319;16192;16138;16015;
7300;37509;23697;20320;18799;17926;17456;17053;16845;16582;16385;16326;16272;
7400;38076;23988;20619;19093;18226;17689;17303;17030;16791;16637;16580;16476;
7500;38425;24365;20982;19351;18481;17963;17486;17300;17062;16877;16830;16763;
7600;38806;24704;21113;19637;18695;18262;17730;17551;17254;17062;17061;16971;
7700;39789;25064;21377;19804;19001;18430;17916;17782;17485;17261;17221;17184;
7800;40056;25395;21748;20122;19238;18649;18181;18010;17678;17512;17457;17430;
7900;40649;25700;22037;20343;19479;18864;18401;18231;17889;17709;17652;17589;
8000;41386;26119;22339;20704;19708;19099;18628;18456;18169;17992;17903;17808;
8100;41709;26492;22615;20893;19930;19395;18896;18698;18416;18171;18125;18060;
8200;42158;26796;22824;21221;20224;19635;19150;18942;18623;18432;18306;18281;
8300;42856;27093;23210;21421;20441;19854;19386;19192;18855;18634;18504;18452;
8400;43348;27403;23439;21684;20687;20072;19626;19341;19085;18860;18713;18671;
8500;44069;27826;23780;21928;20943;20302;19849;19561;19301;19080;18889;18906;
8600;44578;28121;23985;22134;21160;20550;20077;19794;19502;19365;19156;19138;
8700;45144;28298;24199;22384;21434;20731;20261;20009;19813;19573;19366;19361;
8800;45570;28618;24530;22718;21700;20995;20532;20244;20067;19783;19592;19578;
8900;46121;29022;24760;22959;21920;21223;20783;20513;20290;20038;19756;19790;
9000;46288;29414;25066;23252;22225;21444;21051;20717;20488;20239;19992;19984;
9100;47222;29659;25317;23519;22360;21629;21295;20870;20672;20471;20185;20250;
9200;47386;29978;25543;23797;22657;21924;21446;21174;20891;20706;20464;20444;
9300;48150;30268;25928;24045;22922;22140;21762;21404;21165;20898;20684;20637;
9400;48634;30665;26183;24220;23127;22399;21926;21630;21370;21059;20884;20843;
9500;49415;30968;26467;24502;23363;22620;22108;21812;21612;21356;21124;21074;
9600;49890;31124;26781;24703;23621;22912;22429;22010;21905;21497;21358;21258;
9700;50482;31604;27024;25015;23858;23169;22643;22207;22095;21741;21595;21507;
9800;50331;31898;27252;25254;24127;23367;22892;22418;22278;22012;21782;21672;
9900;51324;32232;27532;25545;24356;23550;23107;22596;22494;22272;22048;21870;
10000;52033;32489;27922;25676;24608;23792;23376;22875;22734;22492;22296;22119;
