N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;38.858718;26.248809;26.589472;26.038433;21.840330;27.037012;29.647934;32.969683;33.316662;25.139610;28.896367;30.397368;
200;77.207513;42.743421;32.969683;35.369478;26.925824;36.027767;32.863353;28.053520;29.291637;22.912878;31.064449;30.838288;
300;103.024269;65.429351;53.347915;33.896903;40.987803;38.884444;43.208795;43.324358;27.838822;28.670542;31.336879;30.870698;
400;140.099964;66.603303;56.612719;49.112117;44.988888;49.749372;49.678969;60.564016;52.763624;32.046841;31.320920;42.225585;
500;129.147203;79.768415;67.985293;54.936327;48.744230;60.926185;58.232293;65.391131;41.821047;57.714816;38.574603;38.948684;
600;193.238195;94.884140;82.903558;54.772256;53.131911;51.068581;65.513357;56.115951;75.193085;41.303753;55.371473;48.414874;
700;206.910609;91.531415;76.948034;67.475922;65.681047;58.719673;58.352378;57.515215;51.390661;84.622692;48.497423;60.580525;
800;223.188261;117.961858;84.005952;67.111847;70.221079;73.375745;60.183054;66.490601;66.219333;60.819405;50.566788;79.868642;
900;238.421895;120.341182;98.244593;80.882631;66.843100;73.715670;57.628118;62.337790;86.052310;61.122827;91.651514;104.024036;
1000;202.857093;118.878089;90.515192;77.233412;72.698005;73.837660;83.988094;67.052218;82.891495;81.215762;72.746134;99.383097;
1100;317.167148;142.989510;112.218537;90.016665;89.235643;89.078617;81.332650;67.815927;75.146524;91.071401;76.452600;94.899947;
1200;374.073522;151.739909;111.968746;86.631403;84.267431;79.018985;87.326972;80.293213;84.805660;92.666067;79.906195;90.293964;
1300;267.874971;167.032931;117.983050;98.701570;88.300623;80.262071;85.164547;89.302855;81.418671;101.108852;105.133249;88.684835;
1400;444.669540;127.730184;104.359954;95.608577;92.509459;81.847419;95.404402;95.812317;81.086374;91.241438;90.895544;81.381816;
1500;332.819771;180.529776;132.770479;106.845683;87.806606;79.069590;92.757749;93.177250;92.097774;99.724621;116.743308;97.580736;
1600;417.499701;207.243818;151.380316;115.784282;111.901743;98.051007;88.470334;86.092973;96.379458;71.930522;108.563346;109.922700;
1700;478.974947;184.065206;162.345311;126.162594;107.112091;101.034648;89.044932;117.609523;103.169763;93.257707;116.739025;110.819673;
1800;380.456305;159.267071;139.215660;99.579114;108.871484;129.139460;91.197588;102.601170;109.073370;86.046499;97.277952;121.156923;
1900;494.354124;192.522726;166.358048;137.102152;94.398093;101.405128;105.047608;91.098847;112.889326;98.833193;81.486195;115.191145;
2000;496.700111;198.683165;176.785180;153.736788;119.109194;109.590146;105.023807;91.120799;101.567711;110.909873;83.642095;116.730459;
2100;480.679727;221.941434;184.143965;128.736164;110.245181;119.235062;100.618090;100.558441;118.894912;111.269942;85.755466;119.008403;
2200;588.551612;239.858291;193.095831;152.289199;131.308796;103.841225;118.978990;101.118742;112.543325;116.056021;117.230542;125.837196;
2300;511.515396;274.878155;147.461859;146.003425;118.033893;99.055540;124.643492;106.705201;125.395375;106.023582;98.731960;119.874935;
