N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;478;350;328;325;313;314;322;322;329;335;338;343;
200;991;699;611;606;597;595;599;581;564;553;587;606;
300;1490;1090;953;851;860;880;848;822;792;822;827;774;
400;2027;1413;1238;1128;1152;1115;1133;1114;1050;1122;1091;1119;
500;2545;1717;1527;1409;1329;1361;1339;1340;1380;1319;1350;1340;
600;3036;2064;1841;1680;1624;1635;1608;1564;1589;1578;1596;1665;
700;3552;2401;2110;1963;1912;1815;1848;1765;1795;1906;1845;1772;
800;4198;2727;2385;2207;2143;2092;2080;2041;1992;2109;2107;2094;
900;4565;3065;2659;2511;2405;2319;2284;2293;2284;2195;2364;2347;
1000;5263;3392;3003;2752;2671;2643;2540;2580;2549;2481;2537;2673;
1100;5739;3758;3209;3006;2917;2860;2799;2735;2780;2764;2680;2809;
1200;6231;4086;3511;3272;3179;3098;3060;3038;3032;3013;2912;3017;
1300;6801;4404;3803;3653;3418;3318;3334;3227;3304;3260;3274;3085;
1400;7272;4724;4117;3796;3708;3538;3626;3456;3399;3503;3454;3353;
1500;7887;5152;4410;4058;4041;3846;3761;3730;3641;3689;3705;3616;
1600;8279;5505;4696;4325;4249;4065;4007;3897;3843;3898;3923;3906;
1700;8842;5746;4980;4639;4531;4302;4234;4248;4118;4200;4204;4204;
1800;9417;6036;5225;4821;4661;4595;4463;4432;4416;4334;4447;4369;
1900;9984;6381;5606;5166;4997;4797;4743;4659;4696;4533;4615;4654;
2000;10517;6765;5897;5470;5272;5075;4907;4884;4840;4784;4807;4902;
2100;10970;7118;6083;5754;5412;5373;5211;5109;5107;4989;4904;5092;
2200;11564;7428;6448;5939;5696;5502;5447;5316;5283;5285;5163;5275;
2300;12242;7813;6784;6178;5971;5762;5707;5611;5637;5536;5458;5587;
2400;12664;8071;6988;6475;6257;6077;5887;5744;5774;5794;5787;5752;
2500;13118;8482;7228;6715;6443;6253;6244;6062;6054;6052;6015;5809;
2600;13706;8718;7562;7101;6658;6449;6497;6279;6211;6296;6117;6069;
2700;14370;9115;7804;7206;6885;6722;6611;6496;6397;6497;6395;6312;
2800;14687;9377;8170;7511;7175;6985;6970;6680;6620;6657;6602;6462;
2900;15283;9738;8418;7707;7457;7249;7196;6989;6904;7010;6889;6772;
3000;15885;10137;8622;8156;7670;7434;7405;7267;7072;7104;7056;7173;
3100;16294;10511;9000;8318;7996;7724;7585;7560;7417;7378;7366;7380;
3200;16901;10850;9159;8583;8148;7994;7735;7727;7479;7654;7622;7507;
3300;17605;11105;9501;8911;8323;8245;8085;7903;7759;7793;7851;7736;
3400;18007;11459;9784;9093;8700;8452;8217;8217;8062;7979;8043;7916;
3500;18481;11714;10041;9426;8972;8689;8473;8458;8236;8128;8225;8317;
3600;19033;12232;10433;9669;9130;8947;8611;8806;8519;8497;8448;8444;
3700;19584;12536;10754;9874;9434;9248;8993;8904;8698;8625;8734;8755;
3800;20269;12776;10907;10139;9719;9445;9340;9117;9036;8844;8915;8991;
3900;20644;13121;11253;10462;10075;9691;9431;9304;9287;9116;9143;9139;
4000;21107;13512;11455;10645;10261;9938;9749;9579;9431;9286;9280;9422;
4100;21787;13824;11939;11011;10435;10209;9889;9738;9724;9573;9431;9591;
4200;22320;14181;12095;11169;10739;10395;10223;10114;9840;9784;9713;9818;
4300;22841;14585;12381;11435;10987;10660;10422;10205;10201;10013;9974;10150;
4400;23365;14716;12645;11792;11278;10885;10639;10458;10372;10224;10227;10229;
4500;24081;15207;13116;12050;11457;11257;10998;10700;10608;10620;10361;10466;
4600;24474;15416;13235;12318;11709;11276;11285;10880;10938;10684;10719;10732;
4700;25089;15757;13603;12505;11995;11566;11351;11138;11096;11015;10822;10762;
