N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;320;223;201;202;219;202;196;190;187;200;219;201;
200;639;473;460;433;466;412;442;431;418;445;430;422;
300;946;755;702;696;657;685;642;619;661;666;637;626;
400;1406;1070;960;885;911;885;917;852;814;943;901;848;
500;1927;1291;1168;1134;1089;1068;1053;1067;1137;1047;1162;1104;
600;2142;1615;1445;1388;1392;1400;1291;1285;1260;1390;1292;1389;
700;2462;1953;1709;1599;1561;1562;1550;1531;1562;1501;1586;1486;
800;2943;2180;1951;1846;1823;1738;1794;1754;1671;1753;1821;1719;
900;3577;2322;2195;2158;2047;2011;1992;2011;1871;1878;1960;1894;
1000;4059;2691;2514;2369;2279;2251;2177;2244;2079;2116;2214;2169;
1100;4280;3013;2692;2566;2506;2451;2376;2363;2407;2271;2287;2413;
1200;4267;3257;2981;2801;2745;2763;2649;2637;2567;2503;2537;2648;
1300;5371;3596;3224;3029;2952;2893;2861;2824;2896;2760;2744;2683;
1400;5055;3964;3563;3295;3178;3133;3074;2973;3026;3044;3075;2967;
1500;5819;4209;3729;3557;3472;3374;3324;3123;3178;3286;3113;3133;
1600;6074;4552;3930;3768;3635;3573;3561;3513;3396;3486;3403;3346;
1700;6265;4793;4148;3967;3877;3779;3675;3659;3608;3621;3695;3664;
1800;7420;5182;4581;4354;4154;3989;3935;3910;3917;3891;3959;3809;
1900;7497;5475;4748;4540;4502;4310;4208;4223;4133;4033;4198;4115;
2000;7601;5678;4941;4534;4615;4541;4412;4402;4295;4269;4405;4382;
2100;8860;5893;5241;5049;4836;4733;4666;4596;4582;4402;4495;4562;
2200;8750;6035;5333;5158;5059;4957;4848;4856;4780;4690;4650;4694;
2300;9009;6330;5814;5463;5284;5282;5073;5050;4974;4909;4959;4991;
2400;10116;6521;6208;5799;5292;5389;5276;5149;5115;5221;5081;5197;
2500;10344;7207;6328;5973;5644;5699;5635;5501;5371;5363;5405;5338;
2600;10351;7358;6351;6312;5913;5832;5838;5632;5735;5471;5548;5562;
2700;11386;7747;6933;6445;6276;6088;5935;5963;5944;5879;5780;5585;
2800;10441;7731;7277;6636;6348;6316;6307;6015;6030;6091;5992;6001;
2900;12135;8008;7365;7059;6734;6514;6351;6350;6269;6260;6253;6216;
3000;11837;8339;7642;7100;6871;6678;6760;6646;6475;6539;6307;6355;
3100;12109;9119;7739;7345;7268;7063;6896;6727;6749;6753;6629;6574;
3200;11751;9397;7700;7593;7564;7229;7058;7024;6895;6904;6811;6726;
3300;11586;9429;8069;7786;7602;7517;7361;7394;7041;7175;7169;7061;
3400;13643;9553;8425;8228;7876;7791;7580;7446;7422;7354;7264;7185;
3500;14958;9766;8707;8491;8289;7977;7636;7827;7533;7541;7587;7502;
3600;15321;10510;9393;8473;8335;8186;8007;7855;7731;7814;7845;7590;
3700;15544;10671;9352;8658;8693;8423;8226;8217;7928;7826;7883;7915;
3800;16381;10589;9655;9162;8625;8553;8410;8327;8205;8239;8200;8189;
3900;16244;11152;10137;9117;8993;8934;8687;8619;8391;8234;8358;8214;
4000;17022;11566;10019;9460;9289;9130;8855;8774;8656;8564;8594;8604;
4100;17178;11943;10020;9875;9574;9389;9095;8982;8854;8837;8775;8660;
4200;17017;11736;10673;10034;9605;9523;9436;9316;9132;9066;9064;9008;
4300;18767;12487;11186;10222;9967;9661;9416;9584;9471;9265;9274;9229;
4400;19460;12813;11330;10199;10205;9903;9750;9692;9556;9202;9355;9393;
4500;19546;12889;11646;10865;10442;10195;9958;9862;9753;9731;9623;9693;
4600;18320;13391;11265;11318;10429;10420;10340;10220;10131;9834;9814;9940;
4700;18620;13601;11936;11378;11019;10522;10421;10445;10282;10020;9964;10188;
4800;19295;13819;12304;11571;10937;10713;10768;10404;10347;10393;10400;10302;
4900;20892;13663;12414;11795;11368;11126;11080;10658;10750;10674;10538;10468;
5000;21529;14117;12752;11742;11503;11409;11048;10707;10759;10902;10698;10753;
5100;20618;14676;12842;12053;11806;11416;11384;11189;11066;11105;10969;10827;
5200;21315;14719;13394;12185;11980;11747;11679;11261;11508;11258;11120;11097;
5300;23215;14932;13599;12590;12307;12034;11996;11641;11659;11413;11449;11318;
5400;21880;15769;14005;13175;12313;12231;11876;12018;11714;11733;11631;11366;
5500;23664;15760;13956;13261;12747;12234;12418;12143;11907;11861;11738;11545;
5600;23065;16536;14061;13455;13044;12872;12604;12241;12186;12178;11996;11924;
5700;24984;15823;14415;13690;12956;12964;12462;12577;12440;12341;12244;11999;
