N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;236;173;159;156;168;155;158;143;138;149;167;162;
200;499;347;313;300;316;281;311;289;275;283;292;282;
300;744;527;466;437;421;433;428;402;430;431;418;395;
400;1015;701;625;569;573;539;585;551;517;599;582;550;
500;1301;852;763;712;674;690;650;691;713;639;732;703;
600;1505;1037;908;853;819;827;805;767;816;848;813;871;
700;1817;1192;1045;983;941;919;942;901;940;969;968;891;
800;2084;1381;1206;1104;1083;1040;1064;1046;994;1096;1129;1040;
900;2334;1532;1337;1249;1211;1173;1138;1195;1126;1099;1220;1208;
1000;2646;1717;1501;1403;1345;1307;1265;1302;1300;1216;1314;1340;
1100;2877;1893;1620;1516;1473;1439;1391;1406;1427;1371;1311;1466;
1200;3120;2044;1765;1667;1580;1563;1524;1497;1540;1529;1470;1556;
1300;3426;2206;1908;1805;1735;1675;1653;1604;1666;1651;1617;1550;
1400;3657;2392;2053;1917;1836;1790;1787;1741;1732;1806;1761;1667;
1500;3955;2550;2204;2033;1993;1924;1913;1863;1805;1911;1892;1807;
1600;4204;2728;2348;2151;2100;2030;2023;1971;1923;2031;2017;1965;
1700;4436;2908;2484;2308;2252;2168;2138;2123;2035;2106;2172;2131;
1800;4757;3070;2621;2443;2368;2294;2239;2244;2179;2164;2299;2256;
1900;4966;3211;2775;2584;2480;2440;2349;2361;2318;2245;2378;2386;
2000;5329;3392;2938;2742;2636;2551;2466;2464;2444;2366;2480;2509;
2100;5580;3603;3069;2855;2737;2690;2584;2586;2547;2494;2500;2613;
2200;5821;3729;3218;2993;2869;2790;2720;2694;2689;2660;2584;2705;
2300;6159;3877;3361;3123;3001;2913;2833;2794;2828;2750;2708;2844;
2400;6357;4037;3511;3254;3135;3046;2970;2906;2925;2893;2826;2908;
2500;6640;4240;3639;3356;3244;3162;3106;3018;3031;3008;2957;2952;
2600;7006;4399;3768;3519;3339;3247;3219;3142;3144;3133;3077;3009;
2700;7266;4563;3893;3646;3438;3398;3354;3247;3258;3282;3192;3145;
2800;7446;4692;4059;3768;3585;3535;3506;3354;3339;3368;3339;3251;
2900;7769;4880;4195;3888;3726;3637;3609;3508;3460;3534;3438;3400;
3000;8023;5084;4359;4010;3870;3733;3728;3627;3565;3632;3565;3519;
3100;8297;5289;4485;4134;3995;3901;3848;3749;3662;3745;3711;3652;
3200;8593;5412;4597;4258;4111;4025;3935;3848;3780;3856;3851;3762;
3300;8803;5591;4761;4421;4212;4133;4068;3997;3885;3935;3958;3890;
3400;9101;5725;4904;4552;4400;4274;4149;4095;4024;4043;4077;4012;
3500;9435;5893;5061;4684;4514;4393;4251;4271;4125;4126;4199;4183;
3600;9686;6084;5235;4806;4625;4494;4349;4380;4239;4213;4323;4240;
3700;9855;6255;5339;4937;4746;4620;4529;4466;4369;4319;4395;4378;
3800;10273;6407;5497;5089;4877;4775;4627;4605;4504;4428;4506;4557;
3900;10588;6594;5635;5209;5029;4873;4738;4705;4660;4563;4611;4649;
4000;10805;6797;5744;5367;5166;5001;4844;4835;4751;4657;4720;4752;
4100;11084;6984;5897;5512;5256;5129;4989;4952;4858;4782;4798;4835;
4200;11348;7125;6117;5637;5361;5261;5107;5068;4989;4895;4884;4953;
4300;11639;7315;6247;5736;5493;5354;5199;5194;5136;5023;5012;5121;
4400;11944;7439;6341;5893;5629;5458;5324;5310;5243;5115;5063;5191;
4500;12180;7595;6471;5978;5763;5554;5474;5413;5376;5253;5158;5300;
4600;12292;7748;6646;6199;5898;5686;5609;5499;5479;5354;5302;5382;
4700;12637;7886;6739;6309;6031;5790;5734;5646;5613;5498;5395;5486;
4800;12988;8057;6908;6396;6141;5938;5832;5748;5735;5639;5516;5587;
4900;13240;8226;7028;6512;6287;6062;5962;5869;5818;5742;5633;5671;
5000;13573;8398;7175;6656;6374;6175;6096;5931;5942;5846;5771;5747;
5100;13697;8606;7326;6782;6494;6268;6221;6021;6058;5944;5861;5852;
5200;14061;8780;7469;6937;6604;6378;6313;6138;6177;6091;5988;5938;
5300;14363;8924;7598;7085;6707;6528;6456;6313;6311;6257;6167;6052;
5400;14521;9112;7749;7228;6845;6659;6572;6420;6388;6348;6261;6149;
5500;14899;9234;7903;7303;6941;6789;6730;6496;6487;6492;6356;6242;
5600;15124;9426;8038;7448;7080;6926;6840;6613;6595;6607;6462;6400;
5700;15456;9590;8211;7542;7182;7047;6946;6755;6720;6707;6617;6490;
5800;15639;9781;8346;7680;7340;7134;7048;6906;6804;6822;6716;6618;
5900;16034;9930;8477;7810;7482;7261;7192;7029;6943;6940;6844;6729;
6000;16430;10147;8609;7952;7602;7378;7299;7161;7014;7050;6936;6866;
6100;16698;10260;8736;8078;7726;7543;7419;7247;7144;7162;7130;6991;
6200;16956;10500;8877;8153;7839;7668;7507;7360;7276;7297;7222;7088;
6300;17079;10674;9074;8357;7954;7775;7626;7490;7381;7407;7328;7202;
6400;17460;10838;9145;8452;8114;7882;7763;7614;7499;7488;7500;7329;
6500;17770;10929;9307;8614;8219;8028;7893;7743;7636;7590;7608;7466;
6600;17828;11185;9469;8716;8342;8136;7943;7871;7738;7720;7701;7581;
6700;18199;11312;9597;8876;8445;8250;8056;7976;7870;7831;7829;7714;
6800;18424;11450;9759;8993;8590;8387;8142;8088;7945;7901;7918;7807;
6900;18779;11618;9925;9130;8766;8545;8250;8178;7998;8025;8021;7942;
7000;19027;11798;10063;9250;8869;8628;8356;8384;8098;8100;8171;8035;
7100;19214;11936;10212;9386;8964;8771;8488;8504;8225;8257;8243;8181;
7200;19636;12046;10331;9504;9118;8863;8610;8631;8379;8356;8353;8288;
7300;19851;12238;10457;9643;9199;8980;8755;8694;8517;8444;8432;8428;
7400;20148;12398;10609;9794;9353;9100;8890;8773;8623;8577;8581;8531;
7500;20333;12593;10802;9932;9486;9245;8975;8925;8784;8693;8713;8695;
7600;20543;12771;10850;10074;9593;9416;9092;9060;8865;8773;8829;8799;
7700;21088;12967;10984;10156;9764;9481;9175;9180;8980;8873;8887;8910;
7800;21255;13134;11183;10328;9898;9590;9326;9293;9092;9006;9020;9042;
7900;21558;13297;11333;10446;10014;9692;9426;9396;9174;9098;9106;9098;
8000;21945;13522;11492;10643;10135;9816;9544;9516;9342;9267;9241;9212;
8100;22108;13725;11630;10723;10242;9974;9687;9635;9468;9336;9356;9345;
8200;22331;13877;11741;10897;10392;10106;9833;9773;9574;9486;9435;9463;
8300;22690;14025;11956;10985;10496;10210;9946;9901;9697;9576;9521;9538;
8400;22950;14175;12064;11109;10613;10315;10068;9960;9801;9688;9622;9642;
8500;23333;14406;12231;11248;10749;10416;10189;10064;9916;9811;9718;9773;
8600;23579;14548;12328;11353;10860;10551;10293;10186;10023;9975;9865;9889;
8700;23876;14627;12438;11469;10995;10611;10391;10283;10217;10075;9962;10009;
8800;24104;14777;12606;11651;11137;10766;10525;10418;10343;10177;10075;10112;
8900;24384;14983;12716;11764;11251;10864;10657;10555;10459;10323;10141;10211;
9000;24463;15182;12864;11920;11404;10962;10807;10658;10560;10426;10249;10309;
9100;24975;15312;12975;12069;11454;11045;10941;10720;10634;10542;10348;10455;
9200;25018;15462;13083;12202;11614;11203;11007;10891;10740;10671;10506;10540;
9300;25425;15609;13295;12332;11764;11303;11170;11019;10894;10712;10620;10635;
9400;25663;15816;13418;12424;11851;11440;11242;11135;10991;10788;10716;10732;
9500;26076;15975;13558;12548;11961;11563;11323;11205;11120;10960;10839;10851;
9600;26318;16040;13725;12656;12098;11715;11507;11298;11283;11005;10958;10946;
9700;26648;16290;13852;12807;12223;11851;11611;11378;11372;11131;11082;11062;
9800;26532;16428;13959;12927;12366;11940;11735;11460;11442;11275;11173;11124;
9900;27060;16626;14109;13078;12474;12017;11848;11532;11556;11417;11316;11230;
10000;27439;16756;14301;13130;12593;12150;12008;11681;11680;11544;11458;11370;
