N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;26.981475;20.566964;20.420578;20.832667;19.849433;24.228083;25.845696;27.946377;28.635642;24.124676;28.035692;29.529646;
200;50.872389;32.480764;26.739484;28.757608;27.477263;30.903074;29.171904;24.207437;25.553865;21.817424;30.149627;30.182777;
300;67.275553;47.465777;40.348482;27.676705;34.785054;35.651087;37.161808;36.972963;27.676705;27.586228;30.182777;30.099834;
400;91.678787;49.507575;41.725292;38.574603;40.298883;41.797129;49.071377;52.554733;43.382024;32.171416;30.659419;41.194660;
500;84.214013;55.479726;50.209561;41.617304;39.471509;50.950957;49.244289;60.390397;40.323690;51.088159;37.094474;37.255872;
600;120.407641;64.156060;62.177166;42.391037;45.022217;46.421978;56.276105;48.072861;69.526973;39.862263;50.309045;47.381431;
700;133.450365;63.007936;53.581713;50.764161;54.972721;48.918299;51.078371;49.040799;50.398413;79.780950;47.095647;52.773099;
800;143.843665;79.718254;62.433965;49.709154;54.827001;59.472683;54.479354;58.206529;55.650696;62.856981;51.546096;72.904047;
900;150.834346;75.577775;68.146900;64.272856;52.516664;62.465991;49.869831;56.382621;76.504902;54.525224;86.069739;94.556861;
1000;129.942295;81.111035;67.260687;58.574739;57.017541;62.673758;70.491134;62.880840;74.047282;72.256488;69.778220;91.547802;
1100;193.896880;92.477024;77.311060;65.604878;70.149840;72.422372;69.720872;63.095166;66.580778;80.684571;66.932802;89.627005;
1200;228.026314;97.933651;80.839347;63.379808;63.269266;67.660919;75.325958;66.128662;77.343390;81.780193;70.285134;87.464278;
1300;168.062488;107.703296;77.942286;75.033326;66.708320;66.528190;71.217975;75.432089;76.354437;90.399115;93.866927;76.778903;
1400;266.326867;81.939002;73.375745;71.428286;74.033776;62.825154;81.160335;81.798533;70.448563;85.737973;82.012194;71.624018;
1500;206.237727;114.429017;91.027468;74.531872;68.234888;66.985073;78.172885;79.044291;77.298124;91.334550;105.185550;85.603738;
1600;251.408035;132.887170;102.146953;80.049984;88.555068;77.129761;72.691127;73.579889;80.286985;64.969223;96.679884;100.279609;
1700;281.232999;115.325626;105.858396;87.160771;79.868642;77.272246;72.587878;98.595132;87.218117;82.921650;104.785495;101.449495;
1800;235.231801;104.919016;91.192105;74.712783;80.876449;103.658092;75.372409;87.326972;95.409643;74.141756;92.725401;108.889853;
1900;293.233695;118.915937;111.058543;99.834864;74.551995;82.915620;85.498538;72.076348;98.503807;80.752709;76.190551;105.280578;
2000;293.491056;123.081274;120.449159;107.219401;87.086164;84.303025;84.894052;75.239617;89.403579;96.062480;77.601546;110.299592;
2100;284.209430;141.308174;116.910222;89.117899;85.883642;92.703829;84.047606;86.087165;104.297651;95.822753;77.980767;110.954946;
2200;342.946060;148.529458;121.995902;109.036691;99.030298;81.406388;98.934322;83.048179;92.146622;102.484145;98.107084;114.821601;
2300;300.206596;168.674242;103.223059;101.690708;91.880357;80.174809;97.662685;84.427484;110.090872;91.716956;84.764379;111.400180;
2400;340.746240;175.456547;104.966661;93.246984;109.489726;95.446320;95.754895;92.477024;102.000000;100.314505;110.399275;108.637010;
2500;327.298029;139.982142;111.323852;105.114224;111.445054;87.429972;89.151556;85.451741;106.461261;115.943952;102.083299;90.559373;
2600;328.992401;160.742029;115.429632;109.284034;105.588825;100.866248;93.706990;102.454868;95.257546;115.390641;104.431796;97.672924;
2700;317.460234;158.710428;109.581020;107.200746;86.792857;96.902012;101.754607;95.592887;91.148231;109.558204;111.350797;109.022933;
2800;417.263706;192.948180;119.209899;91.120799;112.142766;95.320512;103.821963;87.584245;92.514864;105.811153;102.727796;90.459936;
2900;331.324614;188.528512;133.817039;103.783428;107.958325;113.030969;112.481110;110.471716;93.493315;128.467895;120.569482;114.934764;
3000;428.228911;193.703381;125.900755;116.691902;108.087927;100.463924;111.386714;94.063808;86.075548;108.286657;128.685664;119.883277;
