N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;291;217;198;203;209;210;217;215;222;239;244;247;
200;599;416;367;373;378;375;392;373;348;354;389;408;
300;863;645;571;496;516;542;515;494;489;497;513;474;
400;1184;819;714;645;676;657;702;683;616;715;674;701;
500;1469;969;866;792;763;790;771;811;846;783;840;813;
600;1713;1148;1061;946;930;959;926;921;963;942;923;1038;
700;2036;1338;1164;1106;1100;1012;1066;1000;1061;1164;1101;1034;
800;2381;1519;1327;1215;1213;1195;1198;1171;1111;1267;1266;1261;
900;2569;1674;1472;1409;1315;1282;1297;1296;1314;1243;1421;1403;
1000;2944;1867;1663;1519;1499;1508;1432;1494;1469;1414;1485;1606;
1100;3214;2073;1765;1657;1603;1609;1562;1541;1584;1579;1510;1660;
1200;3443;2204;1902;1808;1730;1727;1727;1709;1734;1712;1630;1763;
1300;3816;2373;2046;2048;1876;1840;1879;1767;1897;1863;1884;1708;
1400;4046;2556;2221;2070;2020;1918;2047;1913;1898;1996;1950;1860;
1500;4366;2816;2391;2182;2258;2130;2080;2065;1986;2075;2099;2002;
1600;4564;3012;2514;2318;2324;2220;2194;2144;2096;2174;2210;2210;
1700;4886;3098;2708;2546;2467;2344;2340;2351;2251;2379;2386;2397;
1800;5158;3263;2815;2578;2531;2504;2458;2427;2443;2382;2524;2461;
1900;5493;3424;3038;2797;2730;2600;2572;2534;2600;2465;2584;2632;
2000;5766;3632;3206;2967;2878;2779;2654;2667;2648;2635;2664;2774;
2100;6013;3848;3247;3090;2917;2951;2836;2785;2798;2716;2658;2860;
2200;6308;3981;3443;3195;3065;2946;2943;2869;2860;2899;2795;2938;
2300;6726;4189;3653;3302;3195;3101;3106;3021;3123;3034;2937;3122;
2400;6908;4289;3727;3485;3381;3277;3166;3103;3159;3176;3166;3204;
2500;7135;4527;3834;3599;3452;3376;3403;3245;3315;3337;3311;3146;
2600;7505;4643;4025;3817;3559;3448;3549;3388;3382;3471;3313;3235;
