N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;181;121;106;109;127;111;107;101;98;112;123;107;
200;358;251;247;229;254;216;248;238;227;248;240;224;
300;503;393;369;367;331;374;334;313;364;371;337;333;
400;771;565;506;456;478;468;491;447;414;536;495;446;
500;1060;687;599;593;558;551;540;559;597;537;656;599;
600;1168;850;746;721;720;738;662;656;651;739;670;780;
700;1322;1029;898;823;802;806;801;804;824;783;859;771;
800;1576;1146;1003;963;936;893;936;907;846;914;985;902;
900;1923;1199;1143;1092;1064;1011;1021;1054;947;951;1038;974;
1000;2193;1411;1306;1210;1187;1191;1118;1168;1051;1086;1187;1144;
1100;2287;1559;1401;1351;1285;1242;1212;1205;1263;1135;1156;1288;
1200;2264;1678;1530;1453;1414;1428;1386;1355;1312;1262;1273;1407;
1300;2902;1880;1666;1572;1540;1492;1455;1450;1514;1394;1384;1350;
1400;2697;2095;1866;1713;1620;1612;1588;1516;1560;1562;1604;1512;
1500;3156;2184;1936;1849;1805;1711;1735;1558;1624;1725;1566;1589;
1600;3215;2377;2037;1924;1873;1816;1856;1820;1733;1834;1751;1698;
1700;3335;2497;2163;2039;2016;1949;1883;1881;1819;1858;1921;1913;
1800;3980;2716;2376;2217;2130;2012;2000;2015;2009;1992;2063;1956;
1900;3959;2829;2414;2330;2337;2230;2167;2197;2101;2048;2188;2111;
2000;4038;2952;2551;2300;2390;2346;2224;2283;2186;2162;2313;2276;
2100;4747;3078;2719;2603;2478;2419;2383;2354;2310;2208;2292;2356;
2200;4612;3123;2737;2633;2572;2554;2460;2488;2456;2403;2373;2381;
2300;4793;3296;3043;2800;2711;2745;2556;2596;2546;2505;2541;2595;
2400;5408;3345;3240;2995;2678;2772;2719;2625;2573;2636;2583;2690;
2500;5467;3755;3227;3033;2863;2894;2882;2825;2735;2734;2746;2730;
2600;5450;3799;3230;3232;3038;2962;3018;2878;2930;2767;2833;2808;
2700;6095;3996;3548;3313;3226;3099;3011;3062;3004;3013;2977;2796;
2800;5464;4033;3761;3417;3233;3240;3292;3066;3084;3087;3036;3040;
2900;6458;4117;3809;3589;3409;3331;3229;3221;3200;3210;3212;3145;
3000;6321;4314;3950;3642;3478;3387;3461;3415;3303;3374;3194;3253;
3100;6374;4752;4002;3747;3713;3619;3558;3400;3449;3434;3366;3295;
3200;6178;4870;3912;3874;3855;3698;3587;3589;3515;3527;3485;3422;
3300;6044;4893;4109;4041;3900;3871;3796;3756;3571;3669;3635;3582;
3400;7169;4911;4343;4189;4007;4010;3858;3788;3802;3783;3720;3599;
3500;7910;5038;4482;4343;4243;4093;3864;4041;3854;3852;3909;3795;
3600;8080;5437;4874;4327;4291;4190;4128;3985;3926;4008;4040;3864;
3700;8220;5514;4793;4461;4481;4295;4189;4130;4008;3945;3995;3998;
3800;8721;5469;4906;4675;4427;4384;4280;4232;4187;4175;4214;4142;
3900;8582;5743;5176;4612;4566;4574;4413;4469;4251;4121;4258;4175;
4000;9025;5997;5111;4838;4757;4690;4466;4438;4401;4320;4404;4414;
4100;9068;6215;5063;5038;4872;4800;4620;4635;4491;4517;4463;4404;
4200;8994;6092;5448;5124;4901;4897;4845;4739;4684;4597;4637;4559;
4300;9935;6444;5759;5257;5121;4939;4748;4924;4844;4704;4736;4746;
4400;10355;6599;5818;5157;5239;5078;4984;4944;4867;4609;4709;4782;
4500;10375;6657;5975;5567;5331;5195;5052;5030;5015;4928;4897;4939;
4600;9729;6908;5716;5822;5284;5328;5310;5225;5197;4964;4973;5127;
4700;9767;6966;6059;5817;5661;5351;5341;5334;5241;5059;5005;5175;
4800;10157;7105;6338;5936;5547;5486;5572;5274;5269;5330;5272;5279;
4900;11048;7036;6352;6091;5775;5668;5620;5406;5525;5454;5360;5305;
5000;11405;7360;6519;6015;5941;5842;5638;5411;5440;5498;5464;5519;
5100;10849;7536;6581;6110;6013;5848;5784;5673;5694;5685;5512;5514;
5200;11195;7672;6854;6201;6086;6002;5916;5700;5890;5716;5667;5673;
5300;12260;7663;6918;6456;6300;6151;6112;5938;6002;5842;5830;5746;
5400;11490;8058;7199;6791;6210;6212;6079;6075;5993;5988;5927;5705;
5500;12488;8085;7110;6729;6450;6233;6397;6232;6048;6068;5897;5754;
5600;12170;8442;7214;6832;6615;6582;6453;6245;6252;6210;6085;6035;
5700;13256;8097;7362;6947;6546;6648;6314;6383;6367;6315;6281;6038;
5800;12309;9232;7516;6898;6803;6717;6547;6475;6429;6398;6243;6273;
5900;12994;8702;7736;7194;7008;6582;6842;6556;6633;6442;6495;6284;
6000;14039;8992;7964;7436;7065;6960;6834;6816;6621;6692;6428;6531;
6100;14073;9043;7787;7443;7312;6971;6976;6772;6639;6761;6758;6690;
6200;14403;9818;8093;7558;7365;7178;7026;7004;6885;7006;6829;6633;
6300;13396;9362;8429;7610;7398;7200;7063;7053;7069;7053;6873;6897;
6400;14907;9573;8137;7769;7662;7430;7109;7099;7046;7181;7047;6934;
6500;16316;9513;8203;8095;7724;7716;7347;7429;7254;7117;7189;7086;
6600;14600;9659;8355;8041;7677;7555;7466;7422;7318;7225;7168;7106;
6700;14822;9640;8876;8063;7896;7740;7573;7518;7454;7520;7192;7451;
6800;15630;10407;8867;8324;7808;7743;7745;7567;7544;7509;7592;7395;
6900;15882;10579;9123;8535;8110;7981;7744;7651;7328;7597;7426;7487;
7000;15939;10492;9304;8639;8387;8147;7825;7797;7675;7570;7794;7646;
7100;15653;10478;9014;8651;8317;8318;7925;8000;7862;7911;7736;7744;
7200;15738;10747;9532;8645;8446;8410;8127;8114;7761;7965;7809;7870;
7300;16653;10761;9127;8360;8459;8283;8242;8185;7960;7933;7930;7907;
7400;17005;10351;9641;9229;8758;8284;8523;8182;8125;8117;8000;8095;
7500;16312;10686;9615;9040;8764;8734;8383;8331;8355;8363;8294;8357;
7600;15839;11509;9937;9453;8990;8839;8560;8521;8432;8381;8377;8055;
7700;16562;11815;9930;9288;9338;8878;8709;8772;8494;8433;8228;8297;
7800;17587;11554;10289;9568;9123;9193;8686;8707;8552;8608;8546;8587;
7900;17569;11806;10293;9553;9304;9098;8916;8984;8812;8683;8728;8595;
8000;18071;11995;10642;9344;9465;9125;9116;9087;8841;8753;8704;8591;
8100;17816;12407;10990;9933;9618;9482;9221;9171;9082;8753;8922;8872;
8200;18412;12383;10248;10431;9763;9496;9199;9285;9107;9027;8962;8987;
8300;19334;12410;10919;10446;9873;9550;9347;9413;9072;9094;9091;9007;
8400;19392;12812;10969;10521;9924;9606;9434;9243;9365;9349;9209;9090;
8500;19494;13036;11118;10572;10246;9887;9603;9602;9325;9171;9310;9410;
8600;19750;13265;11239;10484;10167;9552;9758;9616;9418;9553;9499;9284;
8700;20463;13134;11307;10564;10202;10007;9800;9487;9699;9580;9316;9471;
8800;20090;12646;11793;10827;10213;10218;9715;9800;9712;9772;9667;9529;
8900;19285;13002;11214;10961;10446;10283;9751;9900;9875;9793;9669;9668;
9000;19352;13426;11602;11030;10934;10350;10040;10074;9960;9884;9878;9795;
9100;20445;13722;11878;11285;10753;10522;10436;10162;10127;10105;9798;10031;
9200;19962;13852;11969;11380;11039;10633;10375;10356;10152;10132;10050;10079;
9300;21312;13691;12167;11389;11113;10706;10534;10446;10458;10002;10024;10038;
9400;21544;14079;12362;11135;11149;10685;10510;10723;10408;10329;10320;10170;
