N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;3.464102;1.732051;1.414214;1.414214;1.000000;1.414214;1.414214;1.414214;1.000000;1.000000;1.414214;1.000000;
200;6.164414;4.000000;3.000000;3.000000;3.000000;3.000000;2.645751;2.645751;2.828427;3.000000;3.162278;3.316625;
300;7.874008;5.385165;4.690416;4.123106;3.741657;3.741657;3.872983;3.605551;3.464102;3.464102;3.605551;3.605551;
400;10.535654;7.141428;6.000000;14.035669;7.348469;5.000000;4.582576;4.690416;4.690416;4.690416;4.795832;4.690416;
500;12.247449;8.660254;7.211103;6.324555;6.082763;5.744563;5.656854;5.567764;10.000000;5.567764;10.295630;6.082763;
600;17.549929;13.000000;10.148892;7.615773;7.483315;7.141428;6.782330;7.000000;6.782330;13.527749;7.000000;6.782330;
700;20.371549;11.000000;9.327379;8.660254;7.937254;7.810250;7.681146;8.062258;7.810250;8.000000;7.874008;7.549834;
800;27.147744;12.083046;10.392305;9.848858;9.433981;30.149627;8.888194;8.717798;8.831761;8.944272;9.165151;9.486833;
900;20.445048;14.422205;12.409674;10.954451;10.440307;10.246951;9.643651;9.643651;9.949874;9.848858;10.099505;9.949874;
1000;32.480764;27.766887;31.080541;27.892651;12.124356;12.609520;11.045361;10.862780;11.269428;11.045361;11.357817;11.045361;
1100;31.080541;16.062378;14.071247;12.529964;12.922848;12.328828;11.661904;12.489996;11.832160;12.083046;12.409674;12.609520;
1200;36.276714;17.635192;17.291616;14.106736;14.106736;15.297059;13.000000;15.099669;14.798649;13.711309;13.453624;13.527749;
1300;43.011626;26.362853;16.703293;15.684387;15.231546;14.247807;14.317821;14.106736;14.491377;14.212670;14.933185;15.099669;
1400;40.087405;21.400935;17.146428;16.370706;25.059928;14.832397;14.628739;14.866069;14.628739;15.231546;15.716234;15.937377;
1500;32.419130;22.181073;19.078784;18.055470;17.117243;18.439089;17.406895;16.093477;16.492423;16.492423;17.175564;17.233688;
1600;84.599054;25.436195;20.396078;19.416488;18.734994;17.832555;17.435596;17.349352;17.916473;18.574176;22.472205;22.360680;
1700;38.678159;25.514702;21.517435;20.832667;24.899799;24.979992;20.024984;20.445048;19.339080;28.106939;24.269322;23.558438;
1800;45.387223;53.544374;25.592968;21.610183;20.760539;33.436507;19.949937;19.974984;20.736441;20.518285;21.540659;21.283797;
1900;42.673177;28.722813;24.413111;27.422618;23.706539;30.610456;21.307276;22.847319;20.952327;21.447611;21.424285;21.563859;
2000;51.701064;36.027767;27.748874;34.278273;23.043437;22.226111;22.383029;22.715633;22.649503;23.622024;23.727621;23.409400;
2100;48.155997;30.951575;26.172505;25.495098;24.269322;23.537205;23.790755;23.874673;24.515301;26.267851;24.899799;27.202941;
2200;83.504491;34.669872;28.948230;27.549955;26.305893;25.632011;25.806976;25.922963;25.495098;26.683328;32.372828;26.419690;
2300;68.439755;38.781439;29.171904;27.820855;26.981475;26.627054;26.776856;26.683328;26.419690;27.110883;28.017851;28.071338;
2400;56.920998;35.114100;29.966648;29.189039;34.146742;29.444864;30.282008;27.440845;26.814175;27.073973;30.199338;36.496575;
2500;67.631354;48.041649;32.695565;29.427878;29.765752;27.294688;27.166155;28.266588;28.705400;28.442925;28.965497;30.248967;
2600;74.256313;52.124850;34.770677;38.639358;37.643060;28.965497;29.512709;29.393877;29.546573;30.016662;31.000000;31.827661;
2700;61.489837;39.987498;33.316662;33.600595;32.326460;31.224990;31.984371;31.464265;32.326460;31.416556;32.817678;33.181320;
2800;86.931007;49.497475;33.541020;37.161808;33.331667;32.480764;31.796226;31.937439;31.733263;32.171416;32.186954;33.030289;
2900;67.156534;57.236352;35.028560;51.068581;37.349699;32.186954;32.264532;32.726136;32.218007;39.089641;34.713110;34.525353;
3000;70.235319;44.373415;48.620983;44.474712;40.074930;35.679126;34.073450;35.608988;35.777088;39.191836;38.366652;37.509999;
