N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;27;11;9;13;7;7;8;11;7;6;7;10;
200;54;27;18;18;17;17;17;15;19;18;19;20;
300;43;32;31;26;21;22;28;22;23;20;21;23;
400;57;41;35;152;73;31;27;30;32;30;33;27;
500;68;53;42;45;35;33;33;33;106;35;101;44;
600;155;118;95;44;46;44;44;44;42;144;43;42;
700;199;65;58;50;47;45;45;52;47;50;48;45;
800;284;71;58;56;68;328;51;51;51;55;54;57;
900;118;86;72;69;66;62;59;56;57;58;62;61;
1000;280;239;254;306;76;102;70;66;65;63;79;63;
1100;265;99;80;75;74;77;69;75;72;69;74;74;
1200;341;102;145;81;103;135;72;131;128;89;78;81;
1300;394;258;98;99;95;94;104;105;102;97;97;98;
1400;356;124;109;92;263;87;86;90;87;91;99;101;
1500;184;126;115;134;113;155;139;90;100;99;100;95;
1600;887;158;124;118;114;98;96;100;102;103;198;201;
1700;208;138;117;126;195;191;161;163;119;221;188;186;
1800;380;520;180;132;123;352;130;125;153;115;134;126;
1900;231;155;131;243;160;304;114;177;114;116;123;123;
2000;407;343;216;335;144;140;133;146;136;147;148;130;
2100;268;168;146;142;134;138;139;129;145;157;149;167;
2200;469;203;151;150;150;152;132;138;149;155;285;149;
2300;487;316;163;156;144;141;145;145;141;144;160;156;
2400;314;200;168;161;313;215;238;150;143;150;231;344;
2500;470;428;198;180;191;159;160;186;174;162;168;170;
2600;469;452;275;294;355;168;172;172;166;172;178;175;
2700;406;240;197;192;188;187;183;179;202;183;186;185;
2800;771;425;194;311;197;191;191;188;190;189;187;195;
2900;438;389;217;501;328;198;195;203;209;342;223;222;
3000;483;269;389;384;330;255;226;248;244;282;266;256;
3100;530;292;265;254;402;246;253;264;356;273;286;270;
3200;532;311;291;338;354;309;365;271;268;272;273;289;
3300;569;289;281;261;276;264;265;281;274;324;337;300;
3400;696;400;295;299;247;249;243;250;252;251;251;248;
3500;654;382;274;244;225;234;253;246;232;264;342;275;
3600;470;293;267;237;233;230;223;333;318;432;317;317;
3700;693;518;324;293;303;385;297;296;305;410;329;689;
3800;627;456;338;300;285;304;317;307;317;362;331;340;
3900;647;387;326;324;312;319;310;304;325;348;388;401;
4000;602;455;315;279;337;240;254;423;349;261;275;376;
4100;609;317;434;353;279;362;282;270;287;296;293;301;
4200;721;437;300;273;274;260;279;294;299;295;299;325;
4300;667;503;464;278;376;253;269;261;253;270;273;272;
4400;665;569;470;267;272;269;278;415;300;300;295;307;
4500;641;347;300;442;286;284;424;329;392;310;310;321;
4600;662;453;453;300;447;283;472;391;298;308;314;320;
4700;642;360;413;330;491;305;342;327;322;329;352;358;
4800;797;418;506;451;310;299;311;395;304;320;314;313;
4900;758;454;467;312;306;322;324;379;322;346;471;369;
5000;873;641;464;331;310;327;340;351;369;367;348;378;
5100;882;424;345;334;320;362;329;314;307;318;324;458;
5200;819;551;350;625;342;344;344;354;347;356;362;400;
5300;803;540;404;504;510;465;444;469;388;355;377;392;
5400;1111;458;497;403;366;349;358;365;437;374;408;399;
5500;926;616;365;599;344;476;425;345;353;400;415;396;
5600;1270;571;498;511;386;430;334;369;555;491;370;460;
5700;869;500;408;493;495;383;410;405;461;423;432;445;
5800;891;532;488;420;385;405;387;520;411;395;500;377;
