N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;42.860238;29.171904;31.416556;33.882149;21.863211;30.016662;31.272992;41.436699;35.986108;36.864617;35.312887;38.366652;
200;73.212021;46.626173;43.081318;42.555846;30.561414;48.031240;36.180105;36.796739;38.884444;42.801869;35.042831;44.362146;
300;102.615788;60.141500;44.418465;41.279535;50.019996;46.604721;59.648973;58.000000;43.185646;43.393548;42.953463;47.958315;
400;126.897597;70.746025;57.332364;53.860932;43.278170;46.130250;49.446941;66.128662;57.122675;55.045436;48.414874;52.449976;
500;166.562301;84.463010;65.878676;55.416604;55.892754;59.808026;63.537391;62.633857;59.966657;63.340350;58.206529;60.646517;
600;193.137257;96.721249;74.893257;58.625933;76.111760;68.825867;73.695319;64.117080;73.307571;56.991227;67.564784;60.415230;
700;212.760429;99.191734;77.711003;74.973329;61.514226;63.126856;74.222638;74.946648;59.110067;90.493094;63.237647;92.336342;
800;208.990430;93.257707;97.020616;64.171645;68.847658;75.835348;76.980517;74.839829;78.701969;80.149860;71.295161;85.240835;
900;262.289916;115.052162;100.493781;77.633756;68.117545;70.760158;69.942834;75.894664;79.158070;75.584390;95.807098;107.615055;
1000;232.540319;124.975998;101.133575;84.107075;86.515894;73.864741;82.825117;75.093275;79.372539;88.634079;83.671979;122.951210;
1100;339.774926;150.532389;122.319254;97.928545;81.792420;84.154620;76.974022;73.641021;89.078617;93.994681;91.400219;127.518626;
1200;281.289886;151.132392;122.016392;88.555068;101.444566;78.083289;94.260278;80.535706;88.904443;97.867257;113.022122;106.803558;
1300;327.493511;160.443136;129.533779;92.428351;85.340494;87.407094;91.224997;87.578536;96.550505;107.837841;109.872654;97.683161;
1400;387.829860;178.244214;132.049233;96.705739;86.521674;86.348133;97.948966;100.434058;84.029757;90.316112;112.898184;110.340382;
1500;368.118188;165.039389;137.226091;115.823141;95.524866;103.551919;95.577194;101.454423;89.179594;118.600169;102.274141;106.362587;
1600;355.866548;234.271210;141.992958;144.613277;84.297094;97.108187;84.243694;101.774260;105.052368;119.247641;103.077641;132.845775;
1700;388.543434;195.320250;141.869658;132.140077;102.396289;112.312065;88.255311;94.254973;112.494444;100.732319;124.406591;117.230542;
1800;459.364779;179.719225;150.263103;104.465305;119.841562;118.334272;94.530418;100.394223;105.924501;101.847926;102.985436;133.746028;
1900;406.588244;199.030148;160.816666;126.419935;113.595775;107.819293;106.164966;131.734582;113.705761;97.498718;112.552210;139.194109;
2000;486.734014;225.426263;163.954262;133.577693;119.121786;110.846741;116.516093;104.057676;105.309069;119.369175;109.325203;121.774382;
2100;561.162187;242.177621;199.967497;121.045446;152.545075;98.802834;120.859422;110.340382;116.901668;115.650335;97.498718;114.612390;
2200;607.856891;285.830369;216.817896;153.772559;141.124059;127.628367;130.545011;102.381639;122.727340;134.193890;117.711512;149.743113;
2300;575.619666;205.786297;178.815547;131.137333;160.234204;115.290936;114.302231;96.793595;129.255561;129.483590;128.152253;127.121989;
2400;491.765188;215.188290;180.299750;160.570857;139.348484;146.406967;145.134420;119.553335;129.564656;123.389627;132.729047;124.454811;
2500;452.655498;262.689931;144.720420;141.583897;124.663547;111.722871;132.045447;123.304501;125.892812;142.919558;128.241959;104.302445;
2600;702.919626;242.245743;156.172981;173.458929;161.848695;144.388365;131.468627;135.284885;115.823141;127.906216;133.966414;136.301137;
2700;465.247246;302.180410;184.325799;160.539715;138.275088;138.441323;133.086438;125.729869;118.418749;122.368297;126.003968;136.539372;
2800;567.994718;296.103023;208.096132;154.444165;138.434100;150.794562;134.647688;118.190524;115.438295;140.342438;145.179200;143.631473;
2900;628.518894;289.070926;168.611981;155.106415;157.232312;149.026843;172.014534;147.231111;120.673112;140.317497;130.537351;129.587808;
3000;518.645351;313.485247;256.052729;165.942761;159.263932;137.269807;127.090519;144.093720;150.059988;138.787608;157.362639;148.684229;
3100;671.352366;308.298557;202.706685;184.358347;143.568799;139.154590;136.619911;128.183462;140.310370;129.892263;152.082215;149.438951;
3200;777.667667;355.876383;238.384144;211.007109;158.075931;139.330542;124.008064;137.262522;135.897020;120.440857;147.037410;158.738779;
3300;737.783844;307.332068;220.628647;177.490845;155.067727;152.505738;109.288609;149.090576;127.287077;141.003546;153.332971;151.360497;
3400;826.832510;400.565850;260.994253;187.291217;141.085081;148.828761;141.276325;133.641311;138.462991;142.190014;171.049700;149.789853;
3500;545.727038;290.227497;219.733930;193.827243;187.978722;158.754527;133.656276;142.267354;163.018404;128.883668;142.109113;161.851784;
3600;957.127473;278.969532;220.120422;215.020929;160.558401;160.156174;148.848917;161.678694;146.921748;143.268978;171.877864;172.203368;
3700;860.366201;258.557537;209.828501;194.828129;184.279679;169.091691;158.514984;157.626140;138.956828;137.382677;171.944759;172.956642;
3800;739.380822;350.643694;281.369863;192.766698;180.864590;161.331956;150.804509;143.373638;137.589971;138.520757;148.438539;163.410526;
3900;808.777472;302.251551;199.657206;179.373911;189.786722;165.716626;165.215011;159.909349;148.519359;159.317293;165.015151;164.204141;
4000;971.303763;329.161055;269.063190;237.701493;192.603219;160.922342;181.656269;164.380656;160.103092;169.044373;137.952891;192.743353;
4100;779.368976;363.693552;255.699042;183.259379;166.141506;171.116919;163.389106;168.508160;157.822685;172.331077;132.355582;169.537606;
4200;988.365823;375.965424;246.251904;185.396872;233.505889;163.055205;169.693842;138.466602;172.098809;194.056693;153.209008;178.429258;
4300;981.401549;407.210020;307.650776;216.861707;170.657552;195.783043;175.536321;155.235305;160.249805;184.864815;147.383853;188.902091;
4400;496.420185;342.312723;209.403916;221.981981;224.356859;151.818971;191.083751;150.691738;174.292857;158.905632;157.092330;172.997110;
4500;941.066948;430.886296;245.574836;188.082429;178.185297;169.522860;164.344151;127.847565;179.412932;158.297189;155.045155;172.191754;
4600;970.314897;354.434761;254.841127;226.203448;204.482273;199.115544;159.398871;148.033780;185.526278;157.025476;182.027470;158.641104;
4700;1080.370307;465.225752;246.217384;217.811845;191.752445;155.090296;197.603138;169.463860;187.090887;159.502351;169.251292;157.238672;
4800;1011.965414;362.753360;282.825034;170.052933;207.349946;160.302838;194.301312;179.872177;194.458222;188.297637;201.258540;161.489938;
4900;1265.729829;416.998801;291.085898;234.130306;232.105579;185.908580;162.702182;163.777288;153.583853;166.168589;167.044904;156.811989;
5000;1048.720172;395.459227;251.575039;235.486730;218.968034;180.499307;192.870423;184.821536;145.626234;191.400104;176.000000;162.963186;
5100;1490.212736;457.405728;371.541384;232.680038;200.922871;166.478227;168.148744;183.412104;153.570831;189.267007;208.456230;166.859222;
5200;971.466932;527.311104;331.847857;224.815480;205.029266;164.359362;189.129585;159.474136;161.235852;208.413051;182.745725;181.455229;
