N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;511;397;347;352;347;328;333;340;358;343;357;386;
200;1011;713;678;633;637;620;629;611;631;618;600;611;
300;1543;1077;965;867;897;925;900;897;902;879;848;873;
400;2046;1437;1303;1182;1142;1160;1167;1177;1159;1228;1154;1139;
500;2584;1718;1588;1439;1395;1410;1361;1421;1411;1394;1442;1433;
600;3087;2074;1834;1773;1685;1666;1669;1599;1703;1681;1653;1678;
700;3629;2396;2116;2022;1925;1893;1941;1860;1903;1977;1942;1870;
800;4179;2815;2482;2266;2185;2127;2117;2189;2166;2230;2235;2190;
900;4652;3071;2687;2508;2406;2415;2308;2447;2368;2261;2476;2405;
1000;5195;3450;3050;2784;2666;2736;2603;2624;2639;2614;2638;2737;
1100;5699;3775;3279;3090;2940;2907;2831;2820;2876;2901;2828;2973;
1200;6210;4105;3585;3373;3251;3138;3118;3054;3146;3061;3046;3153;
1300;6882;4541;3916;3695;3478;3400;3341;3264;3403;3351;3294;3255;
1400;7361;4837;4115;3843;3702;3636;3643;3580;3500;3611;3580;3478;
1500;7849;5193;4409;4181;4074;3950;3818;3812;3708;3941;3798;3677;
1600;8313;5528;4728;4501;4268;4105;4077;4074;4013;4032;4070;4089;
1700;8911;5786;5061;4658;4491;4364;4235;4242;4220;4192;4226;4242;
1800;9407;6142;5291;5033;4738;4621;4450;4506;4508;4420;4465;4543;
1900;9925;6466;5642;5213;4937;4836;4714;4831;4724;4605;4781;4710;
2000;10548;6870;5853;5433;5216;5135;5021;4940;4933;4939;4907;4971;
2100;11128;7133;6181;5736;5515;5337;5351;5229;5251;5120;5058;5214;
2200;11927;7429;6464;5953;5843;5608;5514;5366;5522;5403;5329;5467;
2300;12205;7823;6758;6307;6087;5888;5723;5597;5633;5560;5593;5705;
2400;12809;8229;7036;6558;6222;6091;5971;5889;5872;5812;5892;5866;
2500;13385;8417;7249;6761;6452;6291;6318;6129;6112;6245;5934;5927;
2600;13898;8805;7533;7072;6756;6598;6510;6391;6380;6378;6213;6152;
2700;14219;9184;7869;7278;6976;6801;6794;6595;6658;6561;6497;6425;
2800;14886;9482;8202;7510;7259;7111;7033;6788;6708;6865;6760;6683;
2900;15488;9909;8428;7813;7571;7255;7224;7123;7008;7078;6933;6832;
3000;15910;10239;8845;8075;7824;7519;7439;7341;7244;7232;7267;7108;
3100;16408;10576;9054;8287;8018;7813;7587;7512;7425;7495;7427;7376;
3200;16912;10848;9248;8728;8245;7983;7899;7762;7807;7653;7764;7540;
3300;17680;11221;9683;8887;8522;8350;8183;8020;7856;7958;7963;7859;
3400;18283;11492;9862;9186;8840;8649;8312;8307;8236;8127;8234;8030;
3500;18692;11826;10217;9417;9001;8858;8692;8542;8347;8296;8339;8414;
3600;19267;12199;10471;9688;9229;9061;8811;8869;8525;8568;8682;8583;
3700;19550;12426;10703;9918;9469;9273;9002;8974;8879;8667;8880;8971;
3800;20213;12944;11069;10185;9742;9539;9355;9226;9040;8908;9084;9048;
3900;20831;13188;11296;10521;9981;9771;9480;9462;9326;9197;9236;9300;
4000;21290;13531;11594;10974;10281;10002;9869;9713;9548;9443;9376;9599;
4100;22088;13847;11876;11005;10523;10325;9987;9950;9809;9685;9593;9618;
4200;22445;14246;12143;11263;10770;10498;10248;10083;10118;9908;9855;9950;
4300;23107;14521;12448;11455;11006;10764;10491;10364;10238;10211;10091;10194;
4400;23381;14844;12785;11802;11255;10847;10969;10561;10534;10367;10292;10448;
