N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;269;218;188;182;213;181;175;177;183;171;177;167;
200;687;469;440;424;481;402;457;429;424;422;415;386;
300;983;787;717;688;669;685;580;576;688;607;618;633;
400;1479;1092;989;943;934;910;923;873;857;911;875;867;
500;1731;1361;1211;1144;1084;1135;1067;1129;1099;1051;1111;1121;
600;2164;1702;1458;1427;1350;1314;1324;1314;1318;1354;1336;1375;
700;2670;1877;1699;1648;1628;1586;1590;1533;1606;1578;1601;1486;
800;3143;2385;1996;1971;1824;1777;1784;1806;1769;1818;1880;1762;
900;3446;2584;2237;2056;2069;2041;2004;2069;1966;1920;2033;1894;
1000;3852;2696;2512;2401;2239;2233;2162;2282;2208;2173;2206;2179;
1100;3991;3069;2684;2648;2590;2421;2442;2470;2414;2383;2237;2382;
1200;4491;3336;3003;2936;2721;2718;2647;2599;2656;2595;2475;2648;
1300;5279;3747;3252;3103;3042;2958;2910;2904;2871;2878;2792;2733;
1400;5245;3770;3589;3333;3290;3081;3184;3134;3111;3147;3004;2980;
1500;6111;4220;3731;3556;3517;3305;3406;3356;3307;3267;3315;3205;
1600;6615;4432;3964;3750;3807;3610;3711;3454;3427;3488;3616;3415;
1700;6771;4830;4248;4029;3969;3822;3840;3725;3759;3705;3722;3667;
1800;6891;5025;4594;4416;4137;3956;4049;4015;3927;3799;4012;3854;
1900;7335;5362;4763;4539;4392;4317;4230;4216;4118;4105;4216;4058;
2000;8217;5602;5158;4719;4722;4603;4436;4393;4443;4298;4398;4420;
2100;8623;5873;5315;5110;4687;4832;4682;4573;4561;4547;4520;4711;
2200;8500;6169;5311;5324;5117;4872;4844;4888;4871;4691;4735;4738;
2300;9465;6721;5857;5359;5158;5288;5161;5102;5001;4975;4945;5043;
2400;9694;6724;6196;5634;5510;5378;5363;5319;5186;5157;5105;5237;
2500;10294;6899;6472;6010;5850;5776;5624;5518;5484;5433;5366;5435;
2600;9603;7442;6715;6154;5937;5907;5875;5704;5724;5653;5670;5556;
2700;11291;7581;6928;6439;6305;6060;6147;5909;5961;6017;5889;5752;
2800;11691;7659;7083;6704;6578;6388;6155;6312;6075;6165;6084;5984;
2900;12331;7927;7453;6847;6672;6461;6379;6400;6218;6381;6339;6135;
3000;13212;8158;7501;7056;6902;6784;6757;6602;6500;6578;6420;6344;
3100;12928;8734;7954;7431;7307;7074;7032;6835;6699;6725;6779;6620;
3200;13084;9073;8170;7650;7442;7355;7265;6980;6898;7045;7042;6742;
3300;13470;9423;8292;8077;7687;7457;7611;7363;7153;7233;7158;7167;
3400;13677;9248;8496;8230;8075;7780;7433;7569;7455;7382;7476;7384;
3500;15207;10143;9149;8516;8100;7930;7853;7671;7518;7683;7601;7545;
3600;14603;10349;9408;8348;8427;8169;8089;7939;7910;7693;7802;7896;
3700;14375;11007;9624;9007;8559;8316;8118;8100;8190;8039;8023;7966;
3800;16138;10947;9457;9281;8761;8765;8553;8559;8332;8279;8047;8252;
3900;15559;11606;10349;9759;9023;8933;8745;8709;8574;8346;8430;8439;
4000;15925;11683;10195;9443;9359;9183;8676;8844;8759;8587;8616;8699;
4100;17241;11844;10306;10069;9710;9421;9074;9127;9023;8842;8883;8804;
4200;17656;12331;10862;10174;9692;9567;9291;9248;9226;9044;9017;9065;
4300;17577;12513;10930;10387;9963;9752;9673;9619;9477;9302;9266;9165;
