N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;248;182;164;165;180;171;172;170;178;173;183;173;
200;504;354;318;309;329;306;341;330;327;310;305;296;
300;754;527;477;443;437;443;452;429;479;468;444;422;
400;1029;701;634;580;589;566;605;597;566;642;606;583;
500;1296;858;775;725;687;704;675;726;745;680;759;735;
600;1530;1042;921;858;823;831;834;798;868;882;845;906;
700;1831;1203;1043;1015;968;943;975;945;985;1000;1011;921;
800;2081;1412;1216;1123;1113;1061;1087;1089;1044;1138;1162;1102;
900;2354;1555;1347;1262;1217;1191;1158;1230;1191;1144;1261;1234;
1000;2645;1720;1512;1410;1341;1330;1284;1339;1335;1280;1341;1374;
1100;2877;1891;1640;1526;1472;1456;1408;1444;1460;1418;1351;1525;
1200;3178;2069;1795;1678;1605;1580;1547;1529;1598;1577;1508;1606;
1300;3442;2240;1922;1811;1750;1686;1675;1639;1694;1720;1653;1584;
1400;3698;2387;2062;1928;1860;1824;1824;1774;1771;1847;1804;1731;
1500;4013;2569;2214;2065;2013;1946;1942;1896;1866;1968;1954;1873;
1600;4247;2745;2371;2190;2124;2062;2066;2020;1996;2068;2099;2028;
1700;4477;2919;2511;2331;2264;2197;2157;2143;2114;2150;2193;2162;
1800;4757;3082;2645;2474;2377;2323;2262;2286;2228;2197;2309;2306;
1900;5056;3244;2796;2601;2483;2447;2378;2401;2365;2308;2428;2426;
2000;5345;3415;2936;2752;2634;2572;2497;2520;2495;2419;2504;2549;
2100;5588;3595;3086;2858;2741;2723;2620;2636;2602;2545;2528;2676;
2200;5828;3731;3209;2978;2885;2808;2733;2720;2752;2686;2641;2784;
2300;6121;3916;3372;3159;3007;2935;2880;2822;2867;2800;2755;2893;
2400;6411;4085;3529;3263;3129;3046;2995;2939;2987;2905;2872;2958;
2500;6701;4268;3657;3389;3285;3187;3131;3065;3091;3061;3003;2970;
2600;6906;4433;3791;3527;3371;3273;3253;3162;3196;3203;3147;3060;
2700;7319;4573;3914;3664;3489;3400;3379;3294;3309;3348;3270;3186;
2800;7549;4770;4094;3787;3605;3542;3534;3415;3387;3450;3399;3313;
2900;7798;4921;4215;3897;3765;3647;3621;3565;3509;3553;3502;3438;
3000;8135;5113;4356;4039;3900;3773;3755;3687;3609;3672;3620;3571;
3100;8352;5289;4514;4156;4028;3927;3857;3794;3711;3798;3755;3701;
3200;8549;5444;4647;4292;4135;4043;4019;3914;3835;3897;3907;3803;
3300;8848;5642;4789;4439;4262;4143;4121;4051;3953;3998;3992;3950;
3400;9130;5743;4914;4569;4411;4305;4178;4151;4065;4079;4137;4078;
3500;9446;5930;5104;4686;4509;4455;4282;4322;4191;4151;4242;4188;
3600;9542;6118;5229;4824;4628;4514;4393;4426;4295;4266;4363;4347;
3700;9940;6267;5369;4963;4748;4661;4531;4531;4452;4369;4473;4440;
3800;10235;6445;5493;5099;4888;4791;4660;4649;4572;4490;4561;4583;
3900;10556;6635;5659;5280;5042;4895;4756;4772;4676;4585;4667;4696;
4000;10797;6817;5799;5376;5178;5029;4880;4865;4795;4703;4742;4810;
4100;11114;6979;5948;5498;5283;5174;5035;4994;4907;4810;4846;4908;
4200;11322;7143;6110;5632;5383;5292;5140;5118;5037;4933;4937;5021;
4300;11643;7290;6228;5733;5530;5358;5248;5214;5146;5064;5032;5156;
4400;12028;7435;6398;5884;5651;5459;5360;5328;5302;5188;5133;5264;
4500;12147;7579;6488;6061;5786;5575;5500;5435;5425;5321;5236;5362;
4600;12479;7791;6646;6173;5897;5708;5669;5555;5531;5449;5336;5450;
4700;12720;7897;6814;6307;6028;5850;5774;5687;5650;5570;5457;5558;
4800;13017;8127;6941;6449;6145;5984;5872;5789;5759;5675;5568;5645;
4900;13204;8268;7081;6566;6290;6079;5983;5920;5890;5791;5704;5726;
5000;13535;8451;7205;6672;6399;6202;6140;5982;6007;5917;5821;5804;
5100;13683;8640;7310;6807;6529;6326;6253;6066;6117;6030;5942;5881;
5200;14109;8776;7471;6985;6627;6429;6342;6203;6234;6155;6048;5989;
5300;14216;8946;7601;7096;6728;6542;6490;6351;6329;6306;6181;6112;
