N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;28.442925;18.193405;22.360680;24.000000;17.663522;24.839485;25.632011;34.568772;30.033315;32.787193;34.583233;37.629775;
200;48.031240;30.708305;27.495454;30.166206;24.248711;36.027767;28.844410;31.032241;33.436507;36.318040;32.295511;42.201896;
300;65.566760;36.796739;28.896367;27.802878;33.823069;32.465366;42.755117;37.255872;32.124757;33.926391;31.080541;33.331667;
400;79.158070;43.416587;37.868192;35.832946;30.446675;35.693137;37.255872;52.602281;43.139309;41.340053;37.107951;46.690470;
500;100.975244;54.277067;39.408121;34.741906;32.031235;45.869380;41.243181;51.215232;40.422766;48.363209;46.097722;50.089919;
600;114.424648;57.584720;44.833024;34.278273;47.349762;41.821047;51.613952;43.150898;58.642988;37.336309;40.657103;46.786750;
700;128.074197;60.975405;49.487372;46.551047;37.496667;36.359318;52.239832;48.569538;53.272882;72.270326;44.810713;63.340350;
800;125.725892;56.276105;58.583274;43.231933;48.124838;49.446941;57.157677;58.206529;54.175640;63.308767;57.706152;70.014284;
900;158.786020;67.163978;62.577951;46.000000;45.497253;50.547008;52.535702;55.208695;58.068925;61.546730;85.632938;89.493016;
1000;134.279559;73.790243;59.749477;53.721504;55.650696;53.665631;57.930993;56.435804;56.877060;60.133186;67.052218;100.019998;
1100;204.132310;93.546780;71.126648;59.126982;46.754679;58.796258;47.791213;60.440053;66.498120;67.193750;53.656314;98.671171;
1200;164.176734;85.041167;74.578817;55.253959;61.000000;47.497368;58.446557;50.980388;67.933791;74.665923;73.027392;91.224997;
1300;194.555905;96.052069;72.277244;57.463032;49.436828;51.980766;59.590268;60.613530;62.841069;78.542982;77.801028;65.703881;
1400;226.874415;107.861022;78.185676;56.462377;57.515215;53.141321;57.905095;69.921384;71.154761;64.195015;81.332650;71.491258;
1500;215.399629;99.232051;81.412530;68.644009;57.402091;62.481997;64.876806;66.992537;62.136946;81.092540;79.887421;68.818602;
1600;215.065106;136.436799;79.536155;78.377293;50.049975;58.172158;54.055527;66.805688;68.095521;84.658136;67.889616;93.075238;
1700;227.281763;117.537228;85.404918;79.416623;60.704201;64.707032;61.870833;70.540768;76.550637;79.347338;98.198778;83.755597;
1800;266.934449;109.224539;96.560862;64.420494;69.397406;70.285134;60.852280;70.971825;76.596345;84.964699;88.521184;99.949987;
1900;235.029785;116.619038;89.493016;74.746237;64.753378;62.569961;70.292247;82.534841;74.551995;71.958321;89.011235;101.715289;
2000;288.020833;128.000000;98.939375;75.940766;68.789534;65.084560;71.547187;72.124892;74.712783;82.358970;88.192970;89.532117;
2100;326.026073;137.218803;117.145209;71.042241;82.734515;66.272166;70.675314;69.238717;79.931220;74.973329;81.719031;89.688349;
2200;350.819042;163.765076;127.023620;94.005319;84.089238;74.779676;75.239617;77.788174;78.160092;81.951205;87.846457;113.075196;
2300;333.913162;114.315353;101.350876;78.727378;96.317184;68.738635;67.941151;67.201190;86.907997;86.394444;88.119237;92.141196;
2400;282.641115;120.474064;102.479266;96.446877;83.671979;83.934498;89.916628;74.276510;88.419455;80.678374;78.076885;101.212647;
2500;267.480840;152.610616;84.799764;79.416623;76.275815;67.683085;83.060219;73.769913;75.973680;99.080775;84.528102;91.214034;
2600;411.760853;142.228689;94.233752;100.806746;88.673559;86.058120;74.746237;78.460181;75.292762;88.825672;91.580566;91.000000;
2700;280.342647;173.841882;103.556748;99.824847;81.387960;84.705372;78.492038;79.548727;86.896490;91.307174;90.730370;84.888162;
2800;333.878720;163.923763;119.289564;91.716956;74.819783;88.932559;83.210576;69.296465;95.629493;99.398189;92.563492;90.194235;
2900;365.350517;166.285898;99.473615;80.672176;90.603532;91.241438;109.068786;89.565618;93.840290;95.671312;91.164686;83.294658;
3000;297.786837;172.496377;141.449638;90.868036;84.888162;82.103593;77.265775;86.931007;86.648716;93.193347;109.640321;101.784085;
3100;387.758946;171.008772;114.481440;103.130985;80.628779;91.493169;74.919957;77.019478;82.619610;91.618775;105.066646;109.004587;
3200;445.946185;203.705670;135.598673;114.166545;91.296221;92.114060;86.539009;86.936759;79.649231;85.480992;111.704969;112.592184;
3300;416.769721;175.570499;118.359621;100.309521;86.614087;88.164619;75.485098;91.793246;82.182723;96.948440;102.083299;98.412398;
3400;468.680061;225.805226;147.787009;105.513032;79.843597;86.226446;94.868330;86.075548;86.423376;98.828134;117.251866;104.785495;
3500;313.062294;170.196945;121.770276;109.201648;121.610032;89.442719;76.432977;95.754895;95.304774;93.797655;102.995146;112.383273;
3600;542.539399;164.945446;125.343528;122.126983;93.322023;97.974486;89.582364;94.963151;90.022219;98.777528;114.131503;121.185808;
3700;490.325402;149.959995;120.361954;106.113147;101.059388;95.010526;104.809351;94.952620;88.204308;93.850946;118.304691;115.303946;
3800;428.745845;192.875608;152.816884;106.127282;105.422958;102.718061;85.486841;92.693042;87.028731;93.834962;97.426896;125.554769;
3900;471.660895;170.566702;114.402797;94.889409;119.511506;97.108187;94.292099;104.837970;98.163130;103.493961;115.433964;114.227842;
4000;558.322487;190.680361;147.227715;142.414887;114.873844;91.918442;111.758669;101.183003;88.988763;101.400197;95.942691;132.302683;
4100;451.147426;207.680042;141.749780;114.433387;99.428366;96.529788;87.407094;102.068604;97.979590;100.623059;110.630014;109.512556;
4200;564.265009;213.258060;144.806768;107.172758;135.148067;89.459488;99.030298;87.355595;107.261363;108.637010;112.449989;123.927398;
4300;562.466888;230.008695;180.836943;121.659361;90.049986;118.228592;106.099010;94.673122;95.467272;114.315353;106.018866;128.732280;
4400;297.121187;189.015872;119.578426;131.719399;138.336546;91.131773;101.232406;89.095454;105.744976;100.209780;105.441927;116.060329;
4500;528.725827;238.922582;142.509649;103.841225;103.605019;105.489336;92.368826;78.587531;108.664622;95.472509;104.388697;125.861034;
4600;555.116204;193.072525;142.182981;133.674979;117.498936;101.089070;97.390965;92.870878;115.069544;92.644482;114.673449;120.933866;
4700;615.827898;257.571349;134.629120;122.543870;103.286011;78.377293;120.548745;100.905897;118.270876;92.978492;114.332847;122.319254;
4800;571.290644;202.622802;161.285461;106.127282;121.375451;89.788641;114.345966;106.911178;113.017698;121.156923;114.669089;142.513157;
4900;714.119038;238.832577;157.996835;132.969921;132.223296;110.783573;89.123510;92.287594;95.619036;106.070731;104.450945;117.247601;
5000;596.525775;227.209155;137.134970;129.514478;117.838873;111.593011;109.302333;110.779059;109.612955;118.549568;112.596625;128.327706;
5100;835.036526;252.400475;208.050475;134.959253;110.213429;107.531391;100.776981;100.697567;99.352906;120.635816;127.165247;110.815161;
5200;538.479340;286.794351;179.242852;127.871029;119.937484;102.873709;101.784085;96.721249;100.005000;129.406337;119.306328;118.363846;
5300;861.767370;256.204996;167.621598;129.726636;125.702029;121.478393;111.709445;87.091905;106.259117;124.374435;129.745906;114.769334;
5400;580.175835;215.041856;154.003247;117.643529;102.235023;130.307329;122.882057;103.595367;121.445461;122.036880;111.843641;116.142154;
5500;721.309226;233.970084;192.730382;140.804829;117.430831;140.363813;108.374351;117.885538;113.767306;109.890855;109.412065;126.099167;
5600;713.035062;291.821863;173.334936;124.169239;143.415480;111.973211;131.324027;111.076550;95.603347;132.268666;113.701363;129.147203;
5700;526.731431;258.203408;176.153342;120.012499;148.151949;114.297856;125.023998;104.732994;108.558740;131.236428;114.113978;111.121555;
5800;625.845828;261.891199;174.857085;169.425500;131.186890;122.122889;105.142760;110.476242;99.523866;116.563288;117.251866;118.038129;
5900;465.695179;321.322268;191.083751;166.730321;122.914605;166.168589;119.582607;117.017093;124.137021;106.981307;132.249764;128.856509;
6000;736.565001;301.590782;156.339374;148.838839;116.614750;120.610945;102.620661;105.342299;109.717820;116.241129;120.058319;109.206227;
6100;640.406121;284.439800;178.168460;158.524446;116.880281;133.244137;126.103132;110.285992;105.437185;113.185688;110.738431;125.335550;
6200;817.262504;325.425875;192.826347;142.576295;129.745906;108.143423;129.201393;124.145076;112.680966;112.889326;132.204387;128.464003;
6300;703.248178;324.836882;187.952122;156.898056;144.339877;116.301333;123.689126;116.331423;115.771326;118.245507;140.381623;134.476764;
6400;534.260236;280.017857;175.119959;143.968747;136.169013;112.871608;123.381522;110.932412;104.976188;111.651243;147.993243;139.273113;
6500;620.969403;258.329247;217.554591;150.303027;169.136040;159.430236;122.943076;122.392810;115.792919;110.625494;117.966097;125.654288;
6600;742.880879;273.722487;170.593083;168.979289;143.589693;126.877894;107.851750;126.858189;125.658267;129.876865;138.325703;126.585939;
6700;706.286061;309.925798;180.072208;184.472220;151.324155;121.494856;107.805380;114.021928;120.283000;123.693169;154.214137;116.858889;
6800;939.199659;296.666479;229.791210;179.966664;104.532292;137.182360;123.959671;134.115622;108.581766;114.812891;112.214081;143.310851;
6900;778.643050;364.480452;229.331638;175.658760;135.051842;137.611773;122.433656;114.127122;118.574871;123.121891;122.343778;147.736251;
7000;848.231101;261.082362;179.969442;154.835396;137.175071;146.690150;133.322916;123.336937;117.396763;103.773792;135.074054;129.591666;
7100;994.795959;330.762755;228.503829;161.192432;151.703658;166.538284;122.441823;148.862353;133.566463;117.753981;137.778808;132.022725;
7200;797.371306;411.464458;206.016990;188.708770;185.326738;144.100659;134.840647;143.157256;130.184484;120.345336;119.657846;144.526814;
7300;681.502018;290.370453;187.733854;164.432357;162.095651;138.397977;142.702488;121.206435;107.126094;133.270402;121.515431;150.166574;
7400;646.650601;377.102108;251.093608;153.482898;157.006369;141.926037;127.878849;144.381439;120.270528;107.898100;141.269246;129.127844;
7500;878.510102;431.310793;224.004464;146.707191;169.026625;164.987878;124.503012;128.156155;134.089522;111.888337;138.495487;138.083308;
7600;460.957699;453.813838;250.373721;156.304191;119.188926;132.121157;141.527383;119.490585;133.112734;120.428402;117.358425;173.259920;
7700;1019.719569;241.818113;249.865964;203.108345;148.926156;138.787608;134.268388;131.871149;124.627445;123.105646;136.040435;141.340016;
7800;661.233695;234.897850;206.797002;153.521985;169.690895;130.942736;173.181985;110.706820;123.951603;132.774244;134.710801;154.081147;
7900;569.927188;407.984068;175.633140;155.833244;168.561561;132.713978;147.868185;143.669760;136.073510;106.587992;150.462620;145.113748;
8000;735.544696;336.466937;202.380829;188.310913;139.416642;132.510377;142.140775;143.310851;137.684422;126.881835;137.978259;143.055933;
8100;797.657195;365.394308;255.607120;162.904880;154.068167;159.831161;140.174891;126.321020;135.841820;138.600144;139.974998;164.939383;
8200;834.593314;424.247569;206.450963;164.115813;137.778808;142.446481;164.286335;119.339851;121.490740;111.346307;138.470213;130.931280;
8300;788.990494;316.047465;223.188261;172.377493;204.193536;166.475223;120.548745;168.130901;158.514984;156.524758;117.690271;157.286363;
8400;649.993846;346.368301;240.960578;165.051507;168.175504;173.533858;147.726098;133.603892;145.886943;120.237265;132.796837;139.370011;
8500;824.445875;281.160097;303.079198;164.611664;133.600150;180.524237;133.322916;129.510617;140.278295;128.763349;138.441323;132.936075;
