N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;303;249;211;217;223;206;224;231;246;250;259;283;
200;595;422;385;368;382;374;402;385;402;401;391;397;
300;898;600;548;502;520;548;526;512;574;574;513;536;
400;1160;788;733;658;653;674;694;714;683;762;704;709;
500;1469;966;854;805;759;793;758;848;849;829;907;893;
600;1742;1140;1003;956;944;911;946;889;979;984;944;1042;
700;2043;1311;1130;1094;1058;1017;1068;1065;1103;1114;1146;1060;
800;2353;1535;1328;1242;1234;1180;1197;1218;1209;1302;1294;1300;
900;2604;1679;1465;1354;1309;1314;1286;1373;1315;1309;1451;1427;
1000;2876;1853;1621;1529;1437;1458;1428;1459;1457;1459;1551;1612;
1100;3174;2054;1743;1653;1585;1604;1528;1579;1613;1592;1502;1761;
1200;3418;2206;1922;1797;1747;1698;1682;1620;1736;1735;1677;1810;
1300;3834;2415;2057;1966;1852;1807;1805;1769;1856;1887;1840;1785;
1400;4058;2554;2187;2044;1981;1965;2005;1949;1952;1999;1991;1893;
1500;4292;2760;2345;2198;2120;2090;2076;2072;2003;2196;2117;2027;
1600;4550;2969;2500;2352;2235;2201;2187;2238;2143;2235;2297;2236;
1700;4867;3124;2685;2479;2409;2332;2317;2280;2299;2374;2422;2345;
1800;5170;3265;2807;2638;2494;2455;2420;2438;2496;2374;2503;2521;
1900;5446;3431;2977;2750;2621;2593;2522;2572;2526;2482;2637;2609;
2000;5816;3603;3120;2872;2757;2703;2639;2658;2647;2597;2780;2744;
2100;6051;3820;3230;3026;2917;2868;2844;2775;2811;2756;2754;2898;
2200;6496;3972;3383;3147;3052;2966;2919;2890;3001;2864;2873;3035;
2300;6745;4151;3545;3303;3193;3111;3010;2990;3066;2991;2961;3157;
2400;6927;4296;3677;3431;3279;3227;3189;3091;3177;3093;3085;3229;
2500;7252;4480;3799;3517;3429;3356;3336;3225;3255;3348;3165;3234;
2600;7491;4658;3911;3693;3557;3434;3412;3420;3449;3417;3343;3283;
2700;7689;4829;4091;3870;3624;3552;3548;3467;3577;3534;3460;3449;
2800;8084;4980;4269;3910;3754;3697;3734;3580;3611;3654;3674;3532;
2900;8373;5239;4395;4032;3929;3836;3876;3782;3694;3775;3698;3573;
3000;8604;5386;4603;4193;4061;3978;3973;3863;3796;3881;3864;3804;
3100;8940;5514;4697;4358;4191;4093;4011;4002;3867;3991;3988;3964;
3200;9117;5723;4878;4477;4324;4185;4201;4115;4060;4124;4234;4007;
3300;9483;5913;4999;4597;4388;4340;4294;4199;4200;4280;4209;4186;
3400;9800;5996;5156;4769;4617;4477;4354;4390;4282;4284;4369;4330;
3500;10034;6187;5333;4872;4729;4605;4438;4495;4376;4379;4499;4460;
3600;10367;6375;5457;5029;4785;4716;4582;4659;4505;4530;4727;4614;
3700;10516;6534;5586;5161;4920;4824;4728;4721;4629;4624;4795;4819;
3800;10979;6715;5706;5307;5074;4962;4842;4878;4781;4715;4791;4876;
3900;11279;6896;5899;5469;5212;5153;4927;4966;4901;4894;4953;4939;
4000;11491;7102;6051;5628;5381;5234;5136;5073;5003;4984;4954;5038;
4100;11868;7248;6141;5758;5467;5355;5205;5271;5178;5031;5146;5174;
4200;12018;7453;6311;5837;5590;5472;5337;5356;5291;5121;5193;5276;
4300;12391;7592;6484;5908;5708;5584;5456;5402;5334;5276;5277;5476;
4400;12520;7674;6623;6194;5840;5654;5583;5535;5534;5408;5409;5551;
4500;12801;7862;6702;6219;5958;5794;5733;5574;5667;5584;5477;5623;
4600;13457;8113;6900;6418;6095;5904;5887;5711;5732;5636;5562;5691;
4700;13392;8270;7056;6508;6180;6052;6000;5895;5890;5788;5686;5825;
4800;13796;8414;7195;6656;6331;6196;6086;5993;6072;5958;5804;5945;
4900;14007;8561;7277;6758;6470;6279;6164;6133;6070;6063;5915;5946;
