N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;145;118;97;95;126;96;94;93;95;90;91;85;
200;384;247;229;223;274;215;263;240;234;231;222;211;
300;538;432;401;384;363;389;331;327;416;368;371;346;
400;810;598;517;512;522;494;511;477;451;549;510;485;
500;948;737;641;620;578;596;584;628;640;572;648;649;
600;1176;911;765;773;717;720;693;704;741;775;760;810;
700;1442;992;900;862;869;825;832;831;850;841;912;795;
800;1701;1272;1041;1032;977;911;946;954;919;995;1029;932;
900;1892;1365;1189;1070;1112;1061;1035;1088;1023;1022;1117;1042;
1000;2121;1426;1332;1268;1172;1183;1150;1217;1176;1133;1210;1168;
1100;2122;1617;1387;1386;1360;1294;1280;1299;1311;1259;1189;1324;
1200;2416;1782;1561;1515;1443;1444;1425;1380;1398;1375;1305;1368;
1300;2845;1964;1681;1624;1618;1553;1498;1489;1567;1534;1496;1420;
1400;2796;1977;1882;1738;1694;1620;1711;1591;1628;1704;1587;1535;
1500;3294;2229;1921;1842;1862;1709;1802;1727;1718;1746;1747;1695;
1600;3569;2329;2094;1924;1983;1911;1895;1824;1818;1889;1930;1779;
1700;3611;2495;2226;2094;2101;2003;2018;1959;1967;1877;1973;1934;
1800;3640;2611;2354;2300;2159;2085;2084;2104;2029;1929;2097;1989;
1900;3930;2782;2491;2343;2300;2271;2194;2175;2128;2123;2210;2147;
2000;4364;2939;2654;2521;2435;2419;2325;2279;2338;2241;2315;2325;
2100;4564;3097;2761;2659;2460;2526;2456;2391;2377;2366;2329;2484;
2200;4526;3208;2759;2733;2641;2539;2560;2524;2562;2455;2453;2513;
2300;5118;3509;2987;2766;2672;2774;2672;2683;2611;2573;2531;2641;
2400;5168;3482;3218;2873;2844;2808;2781;2751;2754;2699;2693;2727;
2500;5457;3569;3370;3051;3015;3031;2855;2853;2877;2818;2767;2775;
2600;4988;3791;3456;3200;3091;3006;3059;2931;2987;3003;2924;2884;
2700;6023;3940;3573;3349;3248;3099;3193;3053;3076;3156;3106;2972;
2800;6203;3994;3656;3442;3411;3249;3228;3177;3061;3191;3131;3134;
2900;6557;4081;3804;3518;3444;3319;3276;3321;3132;3316;3266;3211;
3000;7106;4276;3905;3671;3613;3458;3568;3412;3375;3442;3352;3326;
3100;6850;4583;4114;3834;3789;3584;3692;3568;3457;3501;3517;3425;
3200;6942;4702;4227;3958;3852;3775;3732;3668;3620;3675;3671;3539;
3300;7186;4931;4256;4159;3983;3863;3947;3841;3689;3738;3756;3723;
3400;7273;4760;4323;4252;4199;4026;3725;3920;3844;3836;3882;3804;
3500;8092;5271;4734;4375;4058;4178;4104;3981;3934;3928;3998;3900;
3600;7707;5361;4852;4317;4323;4185;4128;4105;4085;3962;4105;4074;
3700;7565;5745;4970;4629;4414;4309;4191;4224;4205;4111;4132;4184;
3800;8573;5677;4878;4785;4518;4470;4440;4450;4356;4223;4222;4295;
3900;8221;5997;5306;4976;4657;4581;4486;4501;4364;4346;4373;4444;
4000;8313;6049;5214;4829;4775;4750;4526;4521;4565;4346;4480;4492;
4100;9172;6113;5328;5139;5001;4915;4782;4706;4689;4626;4606;4604;
4200;9319;6435;5541;5184;4897;4957;4837;4832;4756;4620;4585;4698;
4300;9289;6469;5614;5357;5170;5027;4876;4978;4922;4809;4774;4774;
4400;10878;6808;6058;5535;5221;5189;5106;5084;4958;4882;4874;4998;
4500;9567;6710;6042;5466;5462;5250;5202;5214;5079;5103;4930;5079;
4600;10045;7030;6017;5618;5548;5345;5376;5286;5169;5207;5035;5134;
4700;10631;7015;5966;5845;5624;5621;5385;5412;5336;5354;5208;5201;
4800;10301;7313;6285;5888;5440;5643;5461;5412;5462;5332;5175;5374;
4900;10379;7153;6147;5939;5717;5665;5626;5617;5633;5529;5390;5402;
5000;10710;7673;6633;6287;5936;5796;5645;5624;5735;5555;5506;5454;
5100;10724;7801;6401;6279;6077;5921;5935;5801;5879;5683;5573;5537;
5200;11522;7303;6809;6515;6228;6083;6107;5977;5959;5829;5810;5715;
5300;10953;7893;6900;6596;6305;6183;6103;6071;6053;5879;5829;5904;
5400;12096;8204;7140;6826;6500;6187;6181;6071;6039;6134;5968;5908;
