N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;11;7;6;5;5;5;4;5;5;4;4;4;
200;21;14;12;11;11;10;10;9;10;10;9;10;
300;30;21;20;17;16;15;15;15;15;14;14;15;
400;39;28;24;22;23;20;20;20;20;19;20;20;
500;54;34;30;27;26;25;25;25;24;25;25;25;
600;58;41;34;32;31;30;30;30;29;32;30;30;
700;72;47;40;37;36;34;35;35;34;35;36;36;
800;79;53;46;42;42;39;39;42;43;41;42;41;
900;86;59;51;47;46;44;44;44;46;45;46;46;
1000;104;66;62;53;52;49;52;50;52;51;51;52;
1100;104;72;62;59;56;54;54;55;55;56;56;57;
1200;120;78;68;64;61;59;60;60;59;60;61;61;
1300;132;86;72;69;67;63;64;64;64;65;67;68;
1400;137;92;78;77;73;69;70;73;70;71;72;73;
1500;147;98;85;80;78;73;73;74;74;74;76;77;
1600;152;100;92;84;81;77;78;79;79;84;83;85;
1700;162;108;91;90;89;87;86;84;84;87;87;88;
1800;172;112;102;96;93;89;88;88;88;91;92;93;
1900;180;121;109;98;97;94;93;94;93;95;96;97;
2000;187;121;107;101;101;96;98;96;97;104;102;102;
2100;191;125;110;104;103;99;100;103;103;106;107;106;
2200;206;131;118;110;109;104;105;105;106;108;110;111;
2300;221;143;123;115;114;109;112;111;114;115;122;121;
2400;219;145;127;122;118;114;114;115;113;117;123;122;
2500;239;153;133;126;126;120;121;123;119;122;125;127;
2600;240;156;139;130;127;124;132;133;128;135;132;134;
2700;256;161;141;136;133;127;130;130;135;134;135;136;
2800;262;175;149;146;147;142;137;137;139;143;148;144;
2900;284;180;153;147;146;138;140;142;144;144;149;149;
3000;287;181;158;152;153;142;143;146;145;148;150;153;
3100;295;186;163;156;154;148;148;151;150;154;157;158;
3200;293;197;173;172;161;151;157;155;155;158;161;163;
3300;315;200;172;163;168;158;158;157;159;162;165;169;
3400;317;201;174;168;166;160;160;159;159;163;168;170;
3500;349;203;180;172;167;165;163;167;167;170;174;174;
3600;318;205;182;172;172;164;165;165;167;171;174;175;
3700;339;212;186;180;177;173;172;172;174;178;181;185;
3800;354;223;195;183;183;177;180;178;179;184;191;191;
3900;366;228;196;187;183;178;182;179;185;183;192;191;
4000;355;235;200;186;185;177;184;179;181;189;190;197;
4100;373;229;202;190;190;183;188;183;184;190;194;195;
4200;382;240;211;201;199;195;198;204;198;210;208;211;
4300;391;248;215;204;206;199;203;200;202;205;209;211;
4400;419;255;221;213;210;202;208;206;206;213;218;219;
4500;412;263;230;219;217;208;216;219;213;222;225;230;
4600;436;273;237;228;232;224;225;219;220;227;232;233;
4700;440;269;243;237;232;221;228;222;222;226;230;233;
4800;456;273;249;234;233;228;228;228;228;232;243;243;
4900;447;274;242;238;231;223;222;223;227;233;237;238;
5000;462;280;247;240;235;225;231;230;227;233;238;240;
5100;463;284;249;242;244;232;238;237;238;237;242;246;
5200;474;295;246;239;235;228;229;229;232;237;241;242;
5300;462;293;244;239;234;224;234;230;237;241;247;248;
5400;464;288;259;254;256;244;245;245;252;255;256;259;
5500;490;301;264;257;256;248;254;252;252;252;257;257;
5600;488;302;269;262;258;248;254;251;248;265;265;275;
5700;497;309;266;265;256;243;247;250;253;259;265;276;
5800;507;308;278;264;264;252;263;270;268;270;271;277;
5900;525;323;280;270;275;273;266;267;268;277;284;287;
6000;523;326;283;276;281;265;271;277;279;281;292;292;
6100;550;351;304;302;287;278;280;279;286;301;298;299;
6200;567;342;303;294;296;287;288;288;289;297;302;305;
6300;581;357;312;302;300;285;292;287;301;294;303;311;
6400;577;357;322;307;302;287;295;298;310;313;317;318;
6500;603;370;318;324;319;304;312;312;316;319;327;331;
6600;612;377;338;321;319;303;313;314;315;321;332;332;
