N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;3.000000;2.000000;2.000000;1.732051;1.414214;1.414214;1.732051;1.414214;1.414214;1.414214;1.414214;1.732051;
200;6.000000;4.123106;3.464102;3.000000;2.828427;2.645751;2.645751;2.828427;2.645751;2.645751;3.000000;2.645751;
300;8.246211;5.916080;21.213203;4.898979;4.123106;4.000000;4.000000;4.358899;8.246211;3.872983;3.872983;3.872983;
400;10.677078;7.280110;6.164414;5.744563;13.114877;5.196152;5.099020;5.291503;5.385165;5.385165;5.196152;5.744563;
500;35.000000;9.110434;7.549834;6.633250;6.782330;6.403124;6.480741;6.324555;6.082763;6.403124;6.403124;6.164414;
600;15.394804;10.440307;8.660254;7.937254;7.874008;7.549834;7.810250;7.745967;7.549834;22.135944;7.937254;7.810250;
700;31.240999;14.560220;10.198039;9.797959;9.380832;8.426150;9.000000;8.774964;8.717798;9.055385;10.049876;11.789826;
800;22.181073;13.228757;11.269428;10.630146;10.488088;9.949874;9.949874;22.068076;24.186773;10.440307;11.789826;10.677078;
900;22.315914;15.297059;13.527749;12.000000;11.874342;11.618950;11.357817;11.313708;19.183326;12.489996;11.747340;12.649111;
1000;52.697249;17.204651;45.486262;15.968719;14.177447;13.076697;22.759613;13.490738;18.520259;13.564660;13.747727;14.106736;
1100;27.928480;24.494897;15.588457;24.310492;14.662878;14.560220;13.820275;14.662878;14.866069;15.297059;15.000000;14.899664;
1200;38.470768;19.390719;17.117243;15.716234;15.297059;14.798649;15.033296;15.329710;14.696938;14.456832;14.491377;14.662878;
1300;64.039051;22.693611;16.763055;15.874508;19.026298;15.394804;14.899664;15.264338;15.033296;15.459625;15.874508;16.031220;
1400;42.813549;22.978251;18.055470;29.529646;17.058722;16.733201;16.852300;35.256205;16.278821;16.970563;17.000000;17.635192;
1500;34.234486;29.782545;27.495454;20.591260;18.330303;17.492856;17.291616;17.663522;17.832555;17.888544;18.275667;18.894444;
