N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;19;13;15;10;9;13;11;8;8;8;10;9;
200;37;28;23;17;16;17;17;16;16;16;17;18;
300;45;42;226;34;24;25;24;27;88;23;24;26;
400;63;43;36;34;141;31;31;32;36;33;32;42;
500;281;53;46;42;42;40;39;40;39;45;41;41;
600;91;59;52;49;49;49;47;52;49;235;53;51;
700;225;137;58;58;55;50;61;58;57;61;81;109;
800;158;83;66;65;61;61;63;238;261;68;98;68;
900;140;91;84;70;68;73;68;73;194;77;74;78;
1000;400;108;491;143;106;79;235;83;174;82;83;83;
1100;167;240;91;253;88;109;87;91;89;92;92;94;
1200;345;126;111;94;90;92;91;97;90;85;90;99;
1300;651;197;99;99;185;100;93;92;94;95;104;102;
1400;410;185;107;295;103;98;101;385;100;111;108;109;
1500;231;290;281;181;110;104;104;106;109;102;112;115;
1600;216;128;404;128;112;110;109;114;114;252;118;212;
1700;244;213;134;301;256;352;210;292;121;172;140;146;
1800;359;169;242;220;213;170;118;129;134;216;206;229;
1900;271;367;293;173;215;197;143;313;141;151;164;149;
2000;270;164;143;147;148;137;141;146;141;583;162;180;
2100;289;167;150;143;140;137;146;252;338;349;278;179;
2200;361;171;310;157;154;138;144;142;147;146;147;158;
2300;507;407;189;155;151;155;246;160;264;228;644;381;
2400;286;400;270;308;189;202;155;179;172;195;292;196;
2500;471;360;259;229;288;171;183;328;161;164;183;191;
2600;484;211;304;193;185;224;370;315;197;598;193;201;
2700;431;213;187;220;182;169;176;189;370;182;187;175;
2800;469;406;198;267;399;674;177;194;211;224;441;200;
2900;642;392;206;212;214;196;199;283;363;191;384;207;
3000;573;354;385;364;305;235;198;220;233;219;231;248;
3100;527;234;274;226;209;191;190;203;205;199;234;211;
3200;387;630;511;864;339;198;357;445;233;260;252;278;
3300;560;364;266;228;412;380;306;238;387;242;248;319;
3400;453;289;223;229;213;205;215;218;221;234;240;259;
3500;734;262;391;449;223;318;324;390;346;266;332;263;
3600;542;291;448;239;277;309;226;242;242;253;244;269;
3700;642;339;252;327;290;315;256;256;257;245;251;379;
3800;717;502;263;246;256;264;281;283;290;285;441;428;
3900;631;552;284;393;252;413;382;260;401;253;538;253;
4000;658;538;323;259;271;247;382;256;248;432;292;310;
4100;736;392;312;301;283;310;380;255;257;265;282;274;
4200;742;439;448;425;291;478;297;1044;315;903;317;317;
4300;609;540;335;325;309;315;307;306;330;347;352;330;
4400;721;505;308;294;287;271;384;277;283;404;331;321;
4500;608;467;323;296;340;302;450;525;295;474;316;349;
4600;740;484;405;477;696;388;452;285;320;351;366;369;
4700;656;402;464;461;443;316;612;317;454;393;396;406;
4800;932;389;605;336;334;442;416;386;362;351;580;361;
4900;744;516;464;654;358;406;282;364;312;347;405;394;
5000;884;445;436;443;508;323;347;318;321;390;409;407;
5100;788;411;381;369;432;515;496;521;467;467;394;359;
5200;1141;513;355;334;347;309;350;341;370;349;335;373;
5300;831;716;347;346;421;306;470;337;456;436;363;351;
5400;791;378;537;563;540;623;359;408;516;443;403;426;
5500;752;562;482;343;514;452;489;588;698;411;427;442;
5600;698;456;520;378;456;322;574;410;333;580;424;651;
5700;848;585;386;550;455;330;345;366;395;402;451;1186;
5800;905;592;566;414;411;415;479;722;477;474;440;432;
5900;1311;537;435;421;525;994;363;399;406;449;451;449;
6000;812;514;441;445;469;405;447;711;450;462;537;446;
6100;885;665;544;702;388;395;479;447;555;745;466;442;
6200;943;475;538;432;404;486;483;614;436;441;487;449;
6300;1121;613;475;501;434;360;731;429;1430;415;432;510;
6400;857;536;768;508;501;465;494;490;933;545;539;526;
6500;1060;560;503;621;743;508;744;691;561;507;563;520;
6600;1036;559;614;544;550;473;468;535;508;516;532;569;
6700;988;572;510;503;467;459;498;523;817;551;504;473;
6800;986;729;629;462;566;434;462;493;459;475;496;484;
6900;999;809;564;456;776;500;506;502;492;810;432;698;
7000;1017;582;529;603;552;520;567;867;512;519;555;568;
7100;1024;649;586;615;615;651;478;543;530;523;554;569;
7200;1053;676;658;604;578;893;650;616;737;618;608;525;
7300;1206;634;519;519;483;478;495;605;507;803;645;517;
7400;1038;786;595;522;581;644;736;625;628;557;539;565;
7500;1065;604;755;575;661;532;584;584;834;541;589;808;
7600;1558;740;723;623;598;617;1327;568;572;572;551;603;
7700;1131;773;550;594;482;496;645;616;536;583;794;628;
7800;1077;723;565;543;579;560;569;595;594;586;644;667;
7900;1232;763;658;568;553;588;589;577;573;651;684;656;
8000;1463;792;585;563;551;590;599;604;644;639;631;676;
8100;1142;828;626;570;615;606;614;628;533;700;533;582;
8200;1185;727;611;729;712;800;543;543;573;563;587;573;
8300;1127;675;728;509;638;525;640;526;1383;701;557;560;
8400;1250;732;677;542;653;705;587;551;584;549;788;956;
8500;1189;827;650;569;566;531;571;691;617;706;703;711;
8600;1221;730;632;711;714;634;642;574;609;644;1058;633;
8700;1234;1013;595;1336;756;660;695;630;639;656;670;630;
8800;1454;839;718;632;615;608;727;725;771;686;675;717;
8900;1424;803;703;640;636;628;660;657;655;681;753;689;
9000;1224;826;695;636;825;681;652;1119;726;757;713;707;
9100;1236;812;732;747;680;1364;750;636;860;861;635;687;
9200;1481;940;784;992;632;609;704;718;678;684;711;753;
9300;1270;711;672;706;640;646;687;688;1011;728;763;720;
9400;1427;823;652;623;595;598;719;721;665;1370;745;720;
9500;1245;824;1432;688;591;589;637;657;833;684;589;779;
9600;1285;924;778;568;561;749;676;917;639;821;753;669;
9700;1255;846;713;783;731;665;721;686;741;670;725;687;
9800;1393;914;723;729;603;603;596;615;895;654;701;724;
9900;1359;924;638;649;654;632;657;781;765;721;764;758;
10000;1630;814;728;719;661;920;833;908;753;784;807;828;
