N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;412;305;281;279;287;281;278;281;286;273;280;274;
200;867;622;563;540;551;528;552;539;534;515;504;502;
300;1331;959;845;793;779;783;777;756;797;783;756;729;
400;1839;1270;1136;1050;1046;1013;1054;1038;993;1066;1024;1001;
500;2306;1588;1423;1324;1268;1253;1232;1281;1291;1226;1309;1258;
600;2758;1924;1697;1574;1525;1517;1497;1453;1512;1525;1497;1528;
700;3304;2239;1963;1845;1773;1735;1763;1705;1742;1766;1766;1677;
800;3816;2607;2264;2090;2040;1981;1996;1976;1925;2011;2025;1947;
900;4252;2881;2512;2360;2281;2233;2171;2221;2169;2125;2218;2171;
1000;4826;3192;2825;2644;2508;2460;2402;2449;2420;2360;2430;2449;
1100;5241;3545;3088;2867;2770;2731;2654;2672;2671;2614;2560;2674;
1200;5759;3860;3394;3169;3012;2965;2902;2853;2904;2878;2806;2880;
1300;6293;4205;3619;3411;3271;3181;3139;3086;3122;3116;3071;2996;
1400;6745;4513;3910;3654;3502;3434;3401;3356;3313;3351;3322;3227;
1500;7381;4859;4201;3899;3811;3676;3632;3573;3517;3613;3567;3502;
1600;7802;5198;4480;4160;4017;3905;3865;3793;3745;3813;3802;3725;
1700;8268;5468;4732;4452;4286;4113;4088;4055;3986;3982;4039;3985;
1800;8838;5812;5017;4681;4496;4375;4300;4286;4204;4165;4274;4239;
1900;9226;6098;5296;4941;4745;4628;4521;4529;4449;4363;4497;4465;
2000;9890;6449;5614;5234;4993;4852;4743;4742;4694;4575;4680;4702;
2100;10319;6811;5892;5481;5265;5135;4977;4958;4919;4839;4814;4952;
2200;10771;7096;6129;5724;5496;5360;5228;5174;5166;5104;5010;5133;
2300;11474;7393;6466;6000;5745;5583;5483;5363;5416;5320;5227;5353;
2400;11885;7751;6740;6248;5963;5864;5730;5598;5595;5558;5473;5523;
2500;12434;8131;7002;6461;6249;6085;5958;5842;5860;5812;5710;5671;
2600;12914;8399;7277;6769;6466;6288;6201;6049;6061;6027;5954;5866;
2700;13415;8743;7549;7025;6691;6529;6446;6298;6319;6280;6197;6114;
2800;13847;8961;7822;7256;6966;6808;6691;6539;6488;6493;6452;6308;
2900;14508;9362;8098;7541;7236;7019;6936;6771;6704;6745;6640;6585;
3000;15012;9725;8410;7795;7489;7281;7159;7025;6930;6948;6873;6810;
3100;15502;10107;8664;8005;7728;7498;7375;7253;7151;7175;7142;7033;
3200;15971;10392;8918;8286;7953;7772;7625;7482;7354;7409;7354;7256;
3300;16487;10806;9229;8585;8167;7991;7854;7723;7589;7613;7621;7524;
3400;17063;11040;9497;8785;8474;8240;8065;7970;7843;7795;7815;7736;
3500;17576;11352;9795;9093;8736;8474;8245;8213;8057;7982;8030;7964;
3600;18116;11674;10091;9323;8942;8669;8465;8432;8285;8211;8242;8159;
3700;18582;11989;10335;9595;9190;8982;8742;8658;8522;8423;8508;8428;
3800;19120;12352;10583;9864;9403;9201;8960;8886;8723;8631;8679;8656;
3900;19781;12694;10891;10122;9671;9435;9189;9124;9006;8873;8896;8891;
4000;20170;12992;11192;10372;9951;9654;9450;9348;9206;9103;9104;9125;
4100;20786;13406;11442;10668;10145;9890;9656;9584;9434;9338;9274;9339;
4200;21146;13659;11782;10870;10417;10129;9883;9799;9680;9557;9472;9562;
4300;21837;14012;12079;11117;10678;10361;10145;10006;9915;9736;9694;9764;
4400;22346;14324;12299;11420;10941;10583;10351;10243;10166;9977;9898;10017;
4500;22820;14585;12568;11632;11149;10796;10610;10445;10395;10246;10133;10237;
4600;23091;14911;12842;11949;11444;11060;10866;10687;10600;10474;10363;10411;
4700;23691;15312;13129;12219;11662;11329;11148;10941;10860;10709;10565;10635;
4800;24342;15534;13359;12403;11881;11573;11320;11130;11102;10952;10763;10795;
4900;24986;15861;13704;12638;12218;11771;11557;11376;11309;11177;11013;10993;
5000;25511;16211;13956;12969;12393;12021;11830;11564;11517;11376;11242;11187;
5100;25730;16538;14209;13175;12610;12226;12067;11791;11766;11605;11477;11373;
5200;26528;16943;14514;13486;12823;12458;12283;12025;11946;11853;11708;11607;
5300;27176;17210;14756;13787;13103;12725;12511;12304;12171;12087;11952;11829;
5400;27255;17572;15033;13996;13311;12968;12754;12543;12416;12299;12184;12002;
5500;28097;17879;15367;14230;13603;13211;13028;12730;12625;12601;12415;12297;
