N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;42.684892;29.866369;27.202941;33.301652;23.769729;26.627054;27.928480;39.420807;39.217343;34.684290;39.344631;37.080992;
200;80.156098;43.566042;34.871192;39.509493;34.423829;41.267421;39.408121;35.496479;36.097091;42.883563;43.139309;33.970576;
300;105.366029;50.457903;46.518813;38.626416;54.845237;45.243784;51.097945;59.791304;37.669616;40.730824;52.287666;47.212287;
400;134.465609;75.762788;58.051701;51.836281;47.937459;50.408333;51.273775;58.514955;61.302528;54.460995;54.699177;51.923020;
500;166.844239;77.278716;75.986841;60.033324;58.728187;62.777384;60.124870;64.953830;49.628621;59.983331;65.092242;44.418465;
600;173.352243;99.458534;78.172885;65.023073;65.924199;61.155539;69.828361;73.891813;79.737068;59.590268;67.022384;66.977608;
700;208.060087;94.688965;77.871689;75.000000;66.166457;56.947344;61.822326;67.549981;68.869442;88.904443;58.566202;88.311947;
800;186.295464;113.661779;96.052069;70.448563;69.115845;76.138033;61.081912;71.288148;75.471849;80.074965;70.746025;79.818544;
900;246.791410;135.650286;94.878870;79.636675;65.306967;78.600254;70.128454;69.274815;84.982351;79.265377;110.022725;98.610344;
1000;236.033896;115.511904;88.096538;84.011904;78.460181;71.784399;84.011904;70.625774;91.978258;91.115312;91.323600;115.969824;
1100;303.344688;127.538230;110.575766;89.157165;75.716577;83.934498;88.729927;69.821200;104.206526;93.220169;92.422941;121.749743;
1200;316.583322;141.682744;101.725120;86.671795;82.510605;76.902536;84.888162;89.319651;101.321271;96.648849;93.005376;110.190744;
1300;327.279697;167.839209;117.422315;89.437129;87.584245;75.119904;93.664294;100.209780;99.849887;106.353185;109.091705;97.308787;
1400;428.359662;157.111425;111.382225;107.731147;94.535708;90.354856;84.876381;94.228446;91.021975;102.220350;99.378066;109.402925;
1500;293.049484;195.125601;126.400158;111.919614;103.130985;82.782848;92.666067;104.139330;96.135321;97.452553;108.784190;104.580113;
1600;367.420740;195.731960;135.277493;129.390881;101.656284;102.532922;88.391176;101.266974;91.902122;102.283919;102.630405;107.475579;
1700;485.994856;220.077259;154.612419;132.872119;97.277952;112.378824;76.315136;102.766726;108.862298;96.566040;128.506809;124.040316;
1800;354.032484;171.551741;169.891142;101.360742;116.421647;115.503247;87.229582;118.317370;118.574871;103.918237;100.463924;120.577776;
1900;505.359278;202.123724;180.382926;126.427845;99.221973;101.661202;116.185197;111.798927;117.974574;113.304898;106.461261;134.640261;
2000;429.656840;185.897821;140.171324;150.887375;119.180535;96.747093;111.458512;87.607077;114.825955;124.891953;113.362251;141.393069;
2100;562.424217;213.436173;174.942848;140.950346;97.488461;121.367211;112.893755;109.146690;120.270528;119.167949;104.532292;124.951991;
2200;610.018852;215.055807;185.798278;147.322775;116.709040;115.706525;126.285391;103.522944;136.652845;135.970585;121.655251;149.395448;
2300;437.363693;289.335445;139.939273;139.585099;111.004504;109.009174;130.441558;119.310519;126.055543;123.280169;130.510536;127.184905;
2400;521.708731;259.466761;172.148192;138.430488;151.254752;119.916638;102.640148;126.514821;117.660529;118.025421;119.029408;109.863552;
2500;464.640721;202.706685;173.631794;171.837132;133.787144;130.430058;122.821008;107.447662;132.729047;133.229126;138.455769;121.095004;
2600;593.638779;305.311317;149.786515;164.085344;148.074306;128.693434;150.562279;120.386876;120.565335;133.622603;132.698907;135.222040;
2700;551.104346;283.781606;133.753505;155.319027;166.451194;122.139265;120.842873;128.261452;105.721332;136.967149;137.597238;140.886479;
2800;742.206171;398.077882;200.032497;144.131884;153.479640;142.042247;139.172555;150.807825;100.985147;127.090519;134.029847;151.069520;
2900;563.061276;301.368545;190.814046;130.000000;148.996644;142.471050;133.146536;133.615119;131.343062;161.851784;139.892816;157.117790;
3000;768.692396;317.061508;207.631886;140.548924;151.426550;122.747709;119.507322;136.766224;133.660016;163.859696;151.019866;144.118007;
