N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;484;377;322;337;346;330;320;362;361;380;359;385;
200;1077;746;631;626;629;625;641;611;609;645;591;572;
300;1500;1082;929;879;891;874;910;910;880;889;864;906;
400;2120;1461;1276;1168;1160;1154;1154;1176;1166;1225;1166;1167;
500;2560;1749;1540;1440;1391;1401;1370;1417;1421;1363;1454;1383;
600;3034;2144;1893;1697;1667;1662;1664;1633;1744;1667;1717;1718;
700;3651;2442;2117;2004;1895;1858;1900;1886;1929;1945;1893;1862;
800;4152;2850;2454;2258;2200;2210;2136;2125;2094;2166;2195;2113;
900;4705;3162;2688;2577;2412;2410;2376;2429;2432;2310;2447;2396;
1000;5261;3414;3030;2817;2733;2616;2595;2613;2595;2531;2741;2673;
1100;5693;3779;3264;3041;2921;2945;2873;2850;2880;2879;2772;2884;
1200;6211;4110;3587;3305;3243;3161;3093;3070;3177;3199;3107;3132;
1300;6798;4460;3833;3606;3445;3443;3345;3285;3325;3393;3314;3243;
1400;7381;4766;4135;3917;3691;3634;3581;3593;3580;3587;3515;3484;
1500;7878;5222;4398;4117;4088;3869;3838;3793;3810;3828;3812;3760;
1600;8382;5514;4765;4418;4215;4206;4027;4033;4046;4029;4055;3990;
1700;9102;5754;4992;4639;4525;4357;4253;4282;4244;4212;4349;4305;
1800;9422;6088;5299;4892;4723;4628;4472;4590;4493;4392;4532;4481;
1900;9885;6514;5607;5230;5116;4839;4836;4765;4740;4669;4736;4765;
2000;10574;6819;5867;5498;5204;5142;5035;5009;4926;4871;4956;5038;
2100;11107;7109;6257;5777;5519;5498;5235;5186;5190;5232;5080;5238;
2200;11839;7427;6385;5982;5797;5594;5556;5361;5517;5344;5352;5478;
2300;12158;7778;6718;6270;6031;5824;5720;5633;5652;5599;5618;5628;
2400;12630;8194;7062;6497;6175;6113;5957;5927;5863;5817;5699;5799;
2500;13290;8449;7301;6828;6503;6340;6271;6133;6187;6120;6051;6089;
2600;13680;8860;7568;7099;6764;6514;6492;6339;6327;6324;6266;6202;
2700;14288;9139;7826;7291;6961;6786;6738;6597;6510;6594;6528;6432;
2800;14815;9429;8189;7540;7239;7101;6985;6879;6708;6787;6852;6664;
2900;15321;9837;8498;7813;7499;7296;7190;7060;7050;7224;6916;6935;
3000;15933;10259;8797;8050;7782;7564;7394;7283;7192;7269;7261;7104;
3100;16358;10619;9040;8349;8130;7733;7655;7553;7435;7465;7469;7371;
3200;17040;10965;9321;8647;8195;8151;7896;7814;7693;7638;7635;7594;
3300;17503;11223;9634;8918;8596;8241;8076;7985;8031;7859;7983;7972;
3400;18158;11497;9843;9141;8740;8489;8299;8333;8254;8066;8187;8294;
3500;18614;11815;10178;9373;9021;8786;8545;8557;8356;8261;8457;8373;
3600;19192;12171;10461;9698;9198;8979;8789;8754;8575;8575;8775;8545;
3700;19493;12480;10733;9942;9471;9356;9062;8929;8862;8903;8851;8859;
3800;20068;12798;10947;10231;9901;9568;9298;9157;9062;8920;9080;8995;
3900;20719;13205;11325;10518;9985;9762;9603;9423;9365;9232;9133;9369;
4000;21383;13428;11621;10725;10311;10112;9831;9629;9565;9500;9447;9688;
4100;21817;13976;11881;10995;10498;10312;10122;9897;9742;9692;9578;9797;
4200;22425;14161;12191;11297;10877;10521;10238;10167;10044;10054;9840;10035;
4300;22976;14456;12429;11568;11001;10777;10523;10281;10285;10157;10089;10295;
4400;23400;14733;12746;11800;11387;10942;10773;10517;10555;10344;10269;10361;
4500;24182;15092;13025;12064;11512;11148;11068;10785;10748;10652;10546;10544;
4600;24518;15479;13200;12299;11805;11393;11137;11016;11082;10877;10721;10770;
4700;25210;15878;13568;12560;12042;11787;11467;11283;11379;11101;10930;10954;
4800;25739;16263;13822;12876;12366;11932;11684;11502;11573;11353;11116;11120;
4900;26362;16470;14121;13031;12578;12005;11967;11677;11664;11624;11391;11417;
5000;26730;16911;14485;13386;12835;12327;12271;12086;11949;11812;11850;11508;
5100;27369;17194;14640;13646;13167;12614;12424;12122;12213;12103;11962;11864;
5200;27857;17781;14940;14099;13206;12858;12650;12399;12327;12225;12058;12001;
5300;28273;17747;15294;14200;13545;13221;12857;12702;12568;12558;12349;12271;
5400;28667;18157;15516;14382;13752;13356;13221;12884;12726;12780;12571;12400;
5500;29346;18534;15879;14675;13934;13647;13377;13090;12982;13015;12832;12831;
5600;30020;19092;16146;14893;14316;13952;13704;13366;13198;13239;12977;12959;
5700;30647;19422;16356;15252;14476;14033;13866;13635;13401;13388;13274;13082;
5800;31173;19558;16706;15431;14767;14322;14190;13836;13742;13635;13629;13364;
5900;31468;19967;17028;15628;14994;14580;14324;14133;13996;13821;13861;13808;
6000;32257;20362;17304;15956;15340;14885;14618;14350;14092;14038;13992;13796;
6100;33189;20479;17612;16185;15533;15174;14775;14556;14335;14326;14272;14010;
6200;33151;20811;17716;16428;15728;15282;15004;14764;14535;14458;14406;14359;
6300;33798;21249;18328;16739;15926;15586;15276;15037;14732;14721;14664;14598;
6400;34291;21789;18350;17007;16193;15772;15534;15485;15116;14963;15003;14690;
6500;34882;21890;18666;17377;16517;16026;15781;15561;15312;15213;15125;14930;
6600;35374;22328;18986;17552;16653;16401;15850;15653;15532;15398;15354;15234;
6700;35694;22579;19368;17823;16969;16500;16078;16020;15849;15511;15667;15444;
6800;36939;22840;19492;18073;17298;16787;16362;16167;15966;15768;15729;15772;
6900;36976;23231;19869;18319;17465;17144;16648;16342;16319;16044;16059;15882;
7000;37991;23479;20154;18589;17726;17278;16875;16764;16393;16180;16406;16321;
7100;38194;23870;20330;18719;18033;17469;16984;16946;16634;16542;16510;16495;
7200;38732;24247;20694;19042;18288;17815;17337;17255;16856;16688;16722;16666;
7300;39378;24580;20960;19382;18492;18176;17415;17377;17164;16900;17152;16834;
7400;39810;24925;21390;19623;18723;18205;17761;17710;17451;17220;17040;17088;
7500;40165;25385;21435;19892;19014;18584;17972;17781;17689;17323;17396;17333;
7600;40736;25462;21773;20260;19351;18685;18245;18127;17784;17557;17549;17662;
7700;41292;25984;22033;20526;19587;19021;18454;18390;17922;17828;17720;17768;
7800;41923;26402;22469;20679;19905;19255;18803;18504;18185;18020;17941;17994;
7900;42410;26650;22730;20986;19993;19469;18942;18737;18333;18246;18298;18181;
8000;42939;27015;22916;21286;20368;19732;19314;18931;18749;18615;18502;18509;
8100;43402;27187;23243;21484;20411;19914;19460;19156;19072;18920;18591;18634;
8200;43989;27502;23560;21616;20613;20114;19737;19384;19232;19001;18955;18862;
8300;45070;27917;23803;21945;21182;20403;20021;19765;19427;19195;19051;19094;
8400;45250;28248;24131;22229;21301;20598;20144;19818;19655;19430;19335;19365;
8500;46041;28616;24322;22577;21608;20825;20448;20132;20081;19669;19454;19536;
