N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;251;200;187;182;208;183;179;181;172;174;170;163;
200;684;519;488;439;449;408;443;431;423;417;399;394;
300;1061;807;715;680;598;664;670;582;710;612;604;599;
400;1420;1048;988;890;946;875;901;890;812;933;895;875;
500;1651;1384;1146;1158;1111;1098;1077;1093;1124;1072;1172;1135;
600;2298;1620;1505;1350;1366;1397;1283;1297;1318;1360;1304;1348;
700;2393;1888;1732;1658;1585;1591;1600;1522;1605;1549;1593;1488;
800;2959;2282;1998;1908;1834;1727;1794;1797;1695;1854;1818;1773;
900;3362;2467;2205;2200;2067;1989;1964;2040;1952;1906;1963;1959;
1000;4014;2814;2538;2418;2281;2300;2106;2258;2170;2111;2204;2187;
1100;4332;3127;2805;2613;2497;2472;2456;2515;2398;2361;2315;2416;
1200;4794;3425;3066;2872;2784;2788;2736;2591;2643;2547;2572;2626;
1300;5023;3542;3267;3199;3016;3000;2898;2824;2864;2858;2763;2776;
1400;5178;3914;3521;3392;3191;3174;3191;3111;3050;3084;3095;2949;
1500;6205;4290;3764;3528;3510;3431;3383;3307;3289;3364;3274;3212;
1600;6394;4470;4032;3848;3665;3622;3648;3557;3523;3545;3521;3426;
1700;6712;4445;4184;3949;3877;3812;3785;3814;3711;3711;3723;3691;
1800;7491;5200;4410;4302;4145;4126;4060;3883;3900;3942;4039;3897;
1900;7224;5474;4672;4550;4426;4375;4214;4272;4149;4096;4187;4165;
2000;8622;5677;5228;4687;4541;4465;4487;4551;4276;4229;4392;4320;
2100;7973;6035;5397;5013;5031;4849;4730;4687;4603;4510;4601;4607;
2200;8575;6258;5540;5237;5141;4970;4891;4884;4819;4795;4711;4699;
2300;9679;6408;5859;5550;5390;5250;5188;5007;5069;5028;4897;4960;
2400;10029;6716;5823;5614;5534;5453;5468;5259;5219;5245;5206;5263;
2500;10691;7361;6259;5925;5821;5599;5631;5527;5577;5448;5329;5363;
2600;9659;7411;6734;6302;6021;5915;5652;5750;5678;5682;5382;5533;
2700;11491;7590;7062;6463;6161;6108;6157;5951;6068;5975;5893;5815;
