N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;244;179;166;166;182;175;175;175;181;174;182;173;
200;500;355;322;308;329;305;338;324;323;306;304;299;
300;756;532;475;443;434;449;448;429;477;465;443;417;
400;1040;704;629;579;584;563;612;600;564;637;609;585;
500;1296;871;779;723;691;698;676;736;746;687;772;738;
600;1533;1048;923;853;831;834;829;790;867;881;844;902;
700;1839;1206;1053;1002;960;940;976;938;989;1013;1014;928;
800;2113;1411;1223;1118;1106;1067;1096;1093;1048;1142;1166;1093;
900;2345;1548;1347;1260;1221;1203;1168;1228;1187;1150;1253;1221;
1000;2659;1718;1518;1414;1350;1320;1289;1343;1331;1273;1359;1383;
1100;2873;1905;1641;1528;1482;1462;1418;1453;1465;1423;1364;1503;
1200;3153;2060;1812;1687;1604;1581;1550;1527;1592;1578;1511;1600;
1300;3448;2229;1912;1821;1747;1685;1677;1643;1704;1710;1672;1591;
1400;3690;2395;2062;1940;1854;1824;1820;1787;1777;1830;1814;1723;
1500;4025;2577;2217;2050;2026;1945;1937;1905;1871;1967;1950;1891;
1600;4237;2761;2366;2182;2115;2066;2056;2016;1988;2071;2072;2020;
1700;4489;2901;2502;2342;2264;2179;2167;2161;2110;2137;2207;2163;
1800;4800;3077;2637;2455;2372;2310;2265;2288;2235;2205;2332;2308;
1900;5002;3224;2783;2591;2498;2449;2381;2410;2365;2296;2436;2424;
2000;5373;3411;2954;2755;2635;2559;2489;2517;2491;2405;2533;2549;
2100;5586;3606;3097;2876;2767;2717;2615;2621;2606;2543;2536;2687;
2200;5811;3750;3219;2995;2890;2808;2744;2730;2741;2697;2626;2776;
2300;6198;3887;3389;3141;3014;2928;2883;2814;2885;2806;2738;2877;
2400;6406;4077;3530;3267;3133;3068;3012;2939;2970;2940;2876;2947;
2500;6704;4271;3658;3367;3275;3181;3128;3046;3098;3074;3004;2978;
2600;6973;4408;3791;3541;3367;3272;3250;3165;3198;3192;3135;3069;
2700;7240;4581;3927;3673;3476;3408;3378;3293;3324;3327;3260;3201;
2800;7455;4689;4079;3784;3615;3562;3516;3407;3394;3440;3411;3303;
2900;7805;4898;4213;3920;3765;3664;3644;3541;3510;3578;3510;3461;
3000;8076;5094;4380;4051;3904;3797;3756;3670;3616;3682;3628;3577;
3100;8321;5300;4511;4151;4021;3916;3875;3787;3729;3797;3774;3699;
3200;8563;5440;4639;4296;4135;4058;3991;3907;3828;3901;3893;3816;
3300;8844;5659;4806;4457;4243;4167;4117;4036;3952;3991;4038;3964;
3400;9145;5767;4941;4551;4404;4302;4192;4167;4086;4078;4118;4077;
3500;9415;5929;5090;4710;4549;4419;4274;4314;4195;4154;4239;4191;
