N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;29.325757;18.761663;19.748418;23.086793;18.439089;22.000000;24.617067;33.196385;33.376639;29.681644;36.373067;35.958309;
200;50.159745;28.600699;24.576411;27.946377;27.018512;32.372828;30.232433;29.631065;28.635642;35.679126;36.578682;34.438351;
300;64.420494;31.749016;30.298515;28.319605;33.778692;31.843367;37.107951;36.959437;29.866369;31.320920;38.275318;36.742346;
400;83.630138;48.020829;36.510273;33.526109;33.376639;34.985711;42.778499;46.754679;47.507894;39.025633;40.546270;43.794977;
500;104.182532;46.636895;46.206060;38.935845;37.509999;48.969378;39.496835;54.332311;35.327043;43.174066;45.332108;35.185224;
600;105.099952;59.808026;46.669048;38.548671;43.393548;38.845849;49.739320;44.966654;64.327288;38.755645;38.131352;48.908077;
700;129.344501;59.539903;44.237993;44.911023;42.237424;39.786933;43.150898;43.965896;53.141321;70.292247;39.025633;63.245553;
800;114.376571;72.408563;54.644304;48.404545;47.222876;49.426713;51.224994;54.981815;54.110997;61.081912;48.207883;64.529063;
900;147.549992;78.955684;58.906706;50.507425;42.130749;54.046276;48.600412;54.918121;65.924199;65.253352;86.313383;81.682311;
1000;142.003521;68.833132;52.659282;52.325902;51.468437;49.477268;56.929781;52.621288;64.007812;60.975405;72.097157;95.231297;
1100;177.617567;78.974679;66.332496;55.614746;46.076024;55.009090;56.665686;52.905576;75.379042;65.741920;56.196085;97.144223;
1200;187.784451;80.734132;59.287435;56.044625;51.884487;46.840154;59.194594;63.521650;72.553429;69.728043;63.576725;90.575935;
1300;199.007538;96.969067;71.986110;54.295488;51.942276;46.797436;58.779248;67.431447;72.048595;81.725149;74.141756;62.553977;
1400;250.181934;89.498603;65.322278;61.895073;60.158125;54.027771;55.668663;64.536811;72.000000;78.759126;72.856022;73.736016;
1500;176.249823;112.543325;75.213031;65.306967;62.353829;53.263496;61.846584;68.600292;63.427124;75.795778;82.661962;79.605276;
1600;220.501701;116.017240;77.665951;76.426435;67.394362;61.959664;62.209324;65.734314;65.681047;72.208033;74.846510;80.969130;
1700;280.082131;129.957685;87.034476;77.298124;60.704201;71.007042;49.517674;75.213031;74.893257;80.715550;94.297402;89.888820;
1800;204.875572;100.414142;95.645178;67.490740;66.970143;69.505395;65.000000;76.465679;82.358970;75.471849;91.224997;92.032603;
1900;298.010067;118.351172;104.857046;83.510478;65.984847;60.901560;61.822326;74.659226;76.974022;72.670489;84.894052;103.841225;
2000;253.793223;111.341816;81.871851;84.858706;74.202426;59.899917;67.193750;59.966657;76.262704;78.434686;78.562077;108.779594;
2100;330.207511;116.893114;100.224747;84.409715;55.407581;75.465224;65.992424;79.018985;74.491610;78.166489;88.741197;97.334475;
2200;351.710108;125.920610;106.550458;93.380940;67.149088;67.201190;73.925638;68.425142;88.408144;85.941841;79.277992;110.236110;
2300;254.580046;164.611664;78.504777;82.042672;61.465437;69.180922;76.085478;82.280010;83.671979;75.000000;79.711982;99.684502;
2400;307.416655;147.594038;96.337947;82.140124;89.370017;70.107061;65.612499;75.802375;80.467385;78.300702;78.625696;86.758285;
2500;266.814542;118.283558;101.424849;94.408686;80.820789;84.480767;76.400262;67.742158;91.005494;85.568686;85.679636;104.799809;
2600;344.213596;170.469939;86.660256;92.838570;82.589346;76.857010;91.071401;71.119618;77.517740;95.592887;88.459030;90.857031;
2700;323.456334;158.398232;74.013512;92.211713;93.343452;79.151753;75.246262;77.019478;74.739548;90.636637;93.946793;92.574294;
2800;432.699665;223.383079;110.562200;78.160092;82.164469;83.868945;82.668011;83.755597;82.352899;89.022469;82.987951;87.292611;
2900;329.189915;166.919142;102.200783;77.858847;87.361319;81.326502;84.516271;82.079230;88.277970;105.337553;97.570487;109.722377;
3000;432.845238;180.122181;116.309931;81.258846;84.433406;74.973329;75.683552;84.823346;85.358069;112.884897;98.264948;98.112181;
3100;370.733058;172.817823;118.093184;99.749687;97.175100;91.126286;77.794601;92.059763;74.866548;88.853813;95.052617;99.257242;
3200;431.817091;177.696370;121.737422;109.681357;76.236474;92.395887;85.428333;95.136744;95.199790;92.406710;115.251898;91.678787;
3300;472.630934;154.770798;130.046146;105.962257;96.353516;87.521426;83.264638;95.838406;97.872366;83.809307;112.245267;106.141415;
3400;467.573524;203.440409;138.538803;114.302231;89.252451;88.504237;89.308454;95.676538;73.972968;97.544861;118.532696;108.521887;
3500;432.470808;191.235457;129.637957;94.429868;98.249682;98.914104;89.788641;95.341491;83.510478;90.077744;103.995192;107.512790;
3600;381.965967;196.865436;123.846679;115.589792;103.493961;103.903802;87.189449;90.238573;94.217833;92.417531;114.175304;110.208893;
3700;438.748219;175.308300;143.784561;101.153349;84.053554;79.435508;86.145226;93.786993;93.557469;96.721249;119.000000;117.571255;
3800;409.632762;198.100984;126.913356;93.037627;110.385687;102.946588;97.313925;91.738760;101.276848;99.644368;112.227448;104.704346;
3900;383.092678;198.673098;137.553626;116.408763;97.277952;83.797375;93.043001;89.955545;88.413800;91.268834;93.493315;123.664870;
4000;420.805181;195.279287;141.636860;125.717938;107.898100;97.785479;89.358827;102.966014;88.594582;94.085068;115.277925;132.921029;
4100;405.704326;169.932339;174.315805;109.013761;128.992248;108.784190;105.636168;88.707384;95.131488;87.063195;104.321618;128.397819;
4200;510.975538;229.048030;150.273085;122.380554;106.798876;108.678425;102.547550;110.783573;90.199778;91.071401;128.370557;127.212421;
4300;529.729176;206.799420;114.341593;137.164135;104.220919;97.749680;92.590496;99.884934;95.723560;101.548018;100.434058;129.607099;
4400;403.872505;198.569887;137.036491;131.022899;132.604676;110.562200;109.663121;87.195183;126.392247;106.395489;107.990740;125.980157;
4500;550.449816;229.106962;153.407953;150.877434;147.353317;105.470375;110.022725;84.326745;102.917443;110.846741;106.357886;103.048532;
4600;726.768877;221.052030;145.062056;117.736995;109.635761;103.518114;107.070071;85.726309;104.096109;98.300560;99.498744;100.109940;
4700;667.702029;228.015350;180.864590;111.722871;108.871484;111.287915;106.766099;107.424392;111.651243;113.811247;112.507778;125.702029;
4800;573.110810;242.482989;172.843860;155.524918;103.923048;119.381741;108.268186;112.173972;101.034648;124.595345;100.891030;123.987903;
4900;493.271730;226.887637;165.903586;143.471251;96.218501;118.894912;99.423337;101.734950;108.866891;105.394497;102.815369;126.443663;
5000;468.844324;306.687137;176.881316;110.399275;127.526468;99.373035;113.969294;100.234725;118.650748;109.959083;120.174873;121.041315;
5100;695.236650;252.843825;159.182285;150.655236;136.073510;117.247601;114.939114;106.714573;111.870461;121.227060;121.659361;138.184659;
5200;645.661676;262.404268;159.762323;134.149171;139.638820;120.966938;109.128365;104.952370;118.890706;108.097179;110.408333;111.040533;
5300;443.257262;261.868288;165.096941;113.441615;113.964907;107.549988;101.680873;100.389242;106.075445;136.974450;113.154761;124.269868;
5400;792.311807;262.819330;169.209929;118.186294;124.277914;145.351299;133.289159;106.094298;102.410937;122.519386;107.060730;114.337221;
5500;595.979865;262.305166;182.964477;144.180443;117.418057;126.530629;125.721915;112.084789;106.259117;117.243337;119.812353;131.924221;
5600;734.151211;272.327009;196.509542;137.014598;121.503086;103.111590;102.576800;112.623266;111.673632;111.825757;128.817701;134.528807;
5700;511.567200;302.735858;188.613361;148.738025;130.276629;116.417353;133.345416;107.401117;123.430142;125.087969;115.931014;120.449159;
5800;735.208814;172.212079;149.164339;128.308223;117.545736;111.995536;125.876924;112.383273;111.332834;121.729208;121.082616;126.293309;
5900;721.390324;364.028845;179.002793;172.394896;125.023998;120.241424;128.179562;120.449159;99.237090;116.970082;118.038129;118.785521;
6000;549.309567;290.077576;188.244522;174.464896;142.091520;150.432709;112.214081;108.747414;118.911732;124.815864;128.003906;121.753850;
6100;686.624351;328.890559;205.883462;154.696477;113.423983;123.389627;97.647325;103.344085;118.574871;122.274282;132.230859;132.453766;
6200;604.996694;159.831161;206.884025;184.751184;139.814162;123.089398;118.743421;126.810883;89.213228;114.503275;123.312611;138.888444;
6300;733.181424;300.266548;186.327668;166.808273;147.536436;100.329457;149.137520;102.014705;116.511802;116.606175;121.449578;122.833220;
6400;606.555026;244.597629;247.499495;179.114489;127.687118;139.563606;125.558751;116.112015;110.245181;144.045132;131.022899;126.206181;
6500;585.389614;341.310709;195.849432;143.680200;133.439125;99.538937;123.834567;119.791486;125.191853;126.107097;139.291062;142.695480;
6600;809.231734;279.091383;184.981080;206.036405;135.399409;125.155903;127.471565;124.498996;115.368973;131.125894;135.716617;138.412427;
6700;788.716045;299.145450;203.248616;152.803796;147.203940;141.590960;133.240384;135.240526;104.961898;125.546804;134.205067;122.270193;
6800;708.886451;261.097683;166.568304;126.451572;181.256724;128.965112;118.810774;136.755256;104.129727;123.640608;146.734454;152.384382;
6900;760.015789;274.801747;209.599618;158.404545;147.427949;136.981751;123.583980;124.619421;147.197147;131.916640;135.362476;129.634100;
7000;754.439527;258.098818;203.044330;175.516381;133.633828;128.968989;112.791844;108.166538;142.870571;123.632520;149.733096;160.003125;
7100;835.372372;267.897368;175.985795;181.496556;203.612377;127.334206;127.651870;135.521216;119.641130;116.387285;125.351506;150.429385;
7200;689.159633;352.086637;184.672683;163.122653;126.802997;140.911320;99.292497;122.351951;103.353761;127.890578;159.918729;152.977122;
7300;610.950080;293.470612;177.000000;208.621667;172.165618;155.479902;130.705776;134.836939;128.300429;125.896783;145.931491;145.065502;
7400;706.929982;368.376166;211.749852;195.665531;156.990446;141.424892;125.107953;134.108165;139.488351;121.239433;136.462449;142.737521;
7500;912.829666;396.802218;180.629455;178.966477;136.191042;148.596770;124.731712;146.191655;119.524056;114.477072;135.192455;130.357202;
7600;879.644246;304.445397;202.427765;116.811814;167.717024;138.971220;147.932417;141.594491;122.873919;128.736164;112.836164;167.218420;
7700;767.542833;329.640714;229.902153;222.566844;126.011904;150.173233;128.179562;137.938392;106.066017;134.818396;139.269523;154.016233;
