N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;300;216;198;209;227;207;216;231;247;259;258;282;
200;629;422;371;376;379;375;410;384;391;396;373;377;
300;864;603;555;510;505;516;538;507;557;543;559;558;
400;1209;812;700;667;671;644;708;711;684;738;727;711;
500;1473;947;863;797;783;796;771;849;828;805;895;829;
600;1700;1169;1015;933;932;916;946;891;1021;989;988;1056;
700;2045;1329;1133;1089;1037;1021;1075;1030;1141;1134;1099;1066;
800;2335;1579;1316;1228;1199;1191;1212;1207;1177;1267;1289;1240;
900;2608;1685;1479;1389;1308;1299;1293;1336;1392;1350;1457;1406;
1000;2914;1849;1657;1530;1462;1424;1425;1435;1460;1387;1589;1559;
1100;3161;2039;1749;1637;1577;1594;1569;1596;1641;1588;1521;1674;
1200;3432;2204;1910;1793;1771;1698;1715;1662;1769;1771;1701;1797;
1300;3770;2387;2024;1934;1845;1815;1807;1768;1861;1865;1819;1788;
1400;4032;2555;2234;2071;1976;1919;1938;1948;2033;2054;1975;1923;
1500;4344;2797;2342;2195;2170;2079;2088;2036;2058;2145;2110;2087;
1600;4603;2939;2548;2305;2263;2209;2173;2139;2138;2202;2258;2209;
1700;4998;3098;2635;2476;2370;2325;2273;2309;2344;2319;2425;2367;
1800;5168;3259;2781;2586;2500;2466;2442;2518;2419;2391;2536;2549;
1900;5406;3454;3008;2811;2666;2603;2507;2572;2530;2529;2621;2674;
2000;5817;3661;3107;2899;2756;2713;2658;2669;2649;2617;2700;2854;
2100;6019;3793;3308;3031;2913;2925;2758;2790;2750;2738;2796;2909;
2200;6372;4018;3389;3160;3041;2981;2912;2873;2950;2887;2816;3066;
2300;6633;4141;3546;3281;3140;3103;3009;2996;3053;2950;3010;3067;
2400;6932;4294;3689;3419;3290;3223;3166;3097;3184;3190;3080;3163;
2500;7201;4452;3808;3543;3434;3346;3329;3197;3292;3288;3225;3255;
2600;7406;4662;3949;3719;3518;3450;3434;3360;3366;3435;3414;3325;
2700;7780;4785;4098;3815;3646;3574;3540;3463;3486;3529;3455;3463;
2800;8042;4982;4224;3927;3767;3735;3677;3586;3625;3664;3641;3493;
2900;8277;5130;4423;4111;3944;3805;3821;3808;3699;3861;3759;3720;
3000;8595;5402;4575;4235;4057;3974;3970;3872;3830;3919;3885;3810;
3100;8850;5582;4723;4316;4224;4042;4036;3965;3910;4028;3998;3920;
3200;9166;5734;4857;4475;4256;4241;4233;4109;4024;4091;4178;4066;
3300;9390;5901;5048;4644;4426;4329;4254;4238;4220;4224;4342;4215;
3400;9807;6035;5124;4724;4580;4485;4377;4407;4250;4308;4333;4383;
