N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;132;104;96;94;117;99;97;93;88;91;93;84;
200;398;289;264;233;241;217;254;240;244;226;220;208;
300;595;437;395;368;323;367;372;333;406;360;347;344;
400;758;566;520;479;511;476;483;474;438;546;510;488;
500;888;735;611;619;601;603;580;600;649;583;680;660;
600;1267;851;800;727;731;756;690;698;738;791;739;776;
700;1297;992;939;883;836;838;875;782;878;828;895;790;
800;1603;1213;1072;986;974;886;879;948;894;1020;1022;942;
900;1794;1312;1166;1142;1084;1067;1036;1103;1021;1001;1062;1049;
1000;2156;1479;1326;1270;1217;1217;1099;1221;1154;1107;1212;1182;
1100;2321;1601;1463;1362;1314;1332;1257;1336;1277;1251;1222;1331;
1200;2594;1796;1631;1506;1457;1477;1402;1384;1415;1397;1375;1389;
1300;2697;1832;1690;1686;1599;1570;1548;1460;1528;1506;1441;1459;
1400;2813;2078;1830;1771;1674;1675;1704;1634;1610;1648;1669;1582;
1500;3331;2245;1971;1856;1824;1765;1781;1717;1686;1799;1732;1700;
1600;3430;2359;2128;1957;1883;1902;1910;1836;1833;1854;1861;1801;
1700;3579;2321;2211;2105;2055;1991;1988;1985;1927;1905;1995;1947;
1800;4045;2746;2305;2202;2158;2135;2098;2042;2006;2033;2100;2071;
1900;3816;2873;2397;2360;2278;2291;2209;2210;2194;2118;2258;2173;
2000;4629;2941;2720;2459;2345;2357;2330;2375;2287;2200;2316;2297;
2100;4246;3186;2805;2628;2612;2512;2448;2431;2401;2299;2351;2401;
2200;4543;3287;2892;2719;2659;2628;2564;2556;2544;2520;2401;2498;
2300;5237;3309;3113;2856;2821;2716;2677;2613;2661;2618;2557;2587;
2400;5368;3505;3026;2938;2860;2852;2803;2743;2774;2785;2689;2741;
2500;5706;3857;3236;3031;3027;2935;2933;2849;2875;2871;2802;2732;
2600;5106;3878;3486;3232;3102;3042;2937;2995;2974;2977;2851;2857;
2700;6112;3949;3651;3362;3209;3177;3243;3068;3136;3100;3052;2997;
2800;5731;3998;3680;3523;3358;3199;3260;3196;3187;3221;3252;3073;
2900;6437;4235;3861;3656;3526;3355;3423;3337;3276;3321;3286;3174;
3000;6478;4355;3876;3772;3630;3613;3549;3374;3366;3402;3432;3317;
3100;6783;4477;4016;3754;3713;3590;3679;3549;3536;3559;3525;3487;
3200;6963;4782;4220;3787;3914;3731;3749;3552;3582;3619;3611;3617;
3300;6836;5020;4274;4190;3918;3892;3813;3764;3762;3734;3731;3700;
3400;7238;4904;4265;4087;4125;3924;3893;3953;3876;3840;3821;3778;
3500;7815;5236;4637;4423;4227;4030;3974;4035;3885;3925;3935;3964;
3600;8018;5318;4752;4465;4352;4175;4069;4162;4051;4030;4052;4080;
3700;8324;5562;4841;4669;4415;4428;4304;4183;4193;4020;4184;4129;
3800;8464;5606;5104;4792;4488;4502;4386;4367;4335;4190;4259;4205;
3900;9069;5798;5230;4765;4747;4621;4550;4449;4371;4362;4372;4399;
4000;9279;6001;5351;5001;4831;4672;4575;4546;4562;4414;4479;4407;
4100;9343;6190;5171;5049;4879;4771;4713;4688;4684;4612;4558;4587;
4200;9226;6187;5369;5154;5032;4948;4834;4806;4829;4721;4596;4709;
4300;9345;5975;5774;5333;5203;5053;4976;4916;4964;4743;4767;4821;
4400;10413;6422;5870;5445;5171;5088;4957;5007;4912;4889;4806;4914;
4500;9535;6781;5958;5528;5281;5252;5173;5201;5081;5037;4962;5085;
4600;9983;6635;5849;5611;5529;5251;5261;5234;5232;5196;5071;5197;
4700;10358;6584;6015;5955;5474;5486;5431;5297;5371;5251;5060;5317;
4800;10329;7065;6193;5857;5763;5446;5559;5457;5515;5399;5209;5323;
4900;11280;7166;6366;5919;5893;5674;5717;5587;5545;5471;5427;5412;
5000;11456;7174;6498;6226;5989;5728;5734;5608;5652;5647;5432;5408;
5100;10766;7471;6635;6201;6104;5935;5823;5779;5738;5675;5615;5532;
5200;10986;7829;6860;6388;6031;6055;5950;5844;5910;5862;5739;5646;
5300;13095;7651;6991;6657;6324;6171;6041;5966;6031;5869;5920;5776;
5400;10801;7869;6840;6713;6383;6121;6224;6065;6165;6067;6047;5828;
5500;12635;8313;7244;6617;6525;6397;6261;6095;6311;6231;6034;5984;
5600;11990;8483;7415;6782;6670;6655;6583;6320;6340;6394;6223;6125;
5700;13273;8487;7330;7016;6782;6675;6404;6498;6443;6424;6389;6175;
5800;12570;9091;7625;7086;6964;6719;6685;6619;6493;6503;6491;6263;
5900;13216;8469;7616;7219;7089;6835;6741;6583;6715;6518;6521;6522;
6000;14201;8691;7881;7366;7181;6995;6978;6846;6719;6795;6609;6600;
6100;13745;9057;7997;7593;7369;7172;7109;6904;6833;6839;6805;6702;
6200;14648;10068;7930;7664;7347;7275;7122;7029;7037;6938;6920;6800;
6300;14160;9579;8471;7655;7419;7496;7116;7272;6964;7185;7032;6950;
6400;14815;9708;8199;7703;7688;7381;7380;7360;7169;7148;7115;7078;
6500;15844;9721;8625;7956;7789;7661;7484;7403;7328;7351;7285;7171;
6600;14424;9988;8525;7873;7877;7674;7570;7468;7385;7435;7390;7208;
6700;14652;10128;8720;8124;7984;7841;7601;7567;7645;7487;7464;7298;
6800;15676;10286;9076;8413;7967;7991;7797;7688;7703;7561;7514;7529;
6900;14368;9960;9167;8489;8360;8178;7716;7808;7693;7675;7717;7687;
7000;15873;10783;9318;8702;8304;8109;7934;7947;7722;7834;7810;7713;
7100;15437;10741;9447;8713;8193;8255;7956;8032;7963;7960;7988;7793;
7200;16297;10726;9660;8934;8624;8405;8365;8155;8144;8069;8006;7884;
7300;17422;10998;9624;8815;8634;8442;8235;8317;8153;8175;8137;8053;
7400;17323;11024;9724;8839;8715;8691;8438;8267;8200;8301;8243;8164;
7500;16320;10771;9947;9331;8917;8795;8580;8373;8446;8393;8436;8343;
7600;17249;11599;10127;9747;8842;8959;8592;8517;8517;8430;8604;8354;
7700;16354;11512;9940;9442;9279;9012;8729;8661;8706;8601;8496;8393;
7800;16579;11673;10334;9416;9339;8816;8967;8796;8616;8556;8593;8744;
7900;17870;11826;10144;9866;9474;9031;8906;8947;8837;8707;8744;8728;
8000;18020;12394;10211;9812;9594;9196;9145;9107;8965;8929;8807;8827;
8100;18263;11469;10890;9758;9736;9261;9088;9154;8999;8911;8953;8979;
8200;18387;12313;10552;10454;9574;9413;9337;9323;9020;8977;9115;9035;
8300;19524;12642;11034;10336;9919;9741;9444;9508;9372;9183;9062;9156;
8400;17988;12833;11080;10541;9864;9630;9412;9569;9385;9469;9179;9247;
8500;19706;12994;11395;10581;10129;9628;9744;9528;9338;9529;9332;9443;
8600;19335;12980;11396;10218;10282;10049;9711;9620;9610;9558;9424;9505;
8700;19895;13145;11040;10858;10276;10098;9900;9939;9740;9671;9617;9638;
8800;20021;13332;11007;10989;10593;10271;9969;9943;9725;9702;9818;9746;
8900;18403;13592;11890;10853;10483;10067;10110;9908;10014;9872;9637;9928;
9000;19432;13590;11993;11306;11094;10318;10327;10233;10069;9859;9881;9998;
9100;21468;13645;12145;11278;10602;10529;10439;10306;10136;10159;9968;10045;
9200;20901;13931;12181;11530;11008;10633;10521;10441;10480;10183;10118;10202;
9300;21569;13307;12287;11549;11000;10882;10709;10481;10451;10255;10296;10413;
9400;21350;14137;12352;11395;11223;10940;10801;10622;10631;10242;10357;10397;
9500;21957;14271;12757;11790;11077;10893;10763;10693;10600;10444;10421;10273;
9600;22108;14331;12810;11598;11226;11079;10840;10689;10800;10631;10636;10379;
9700;23007;14520;12801;12054;11514;11380;10965;10878;10950;10782;10700;10654;
9800;21469;14648;12892;12005;11535;11360;11246;10867;10995;10832;10824;10769;
9900;23145;14749;12579;12280;11568;11212;11357;11164;11118;11213;10898;10832;
10000;22665;14641;13340;12360;11791;11282;11278;11267;11138;11083;10991;10782;
