N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;2.828427;5.916080;3.872983;1.000000;1.732051;1.414214;1.000000;1.414214;1.414214;1.000000;1.414214;1.414214;
200;5.196152;3.464102;2.645751;2.645751;2.236068;2.449490;2.000000;2.000000;2.236068;2.236068;2.000000;2.000000;
300;8.485281;5.916080;3.872983;3.872983;3.464102;3.464102;3.000000;3.316625;3.162278;3.316625;3.000000;3.162278;
400;9.165151;6.164414;5.196152;4.358899;4.582576;4.123106;4.242641;4.123106;4.242641;4.472136;4.123106;4.242641;
500;10.677078;7.549834;6.633250;5.656854;5.567764;5.291503;5.385165;5.099020;5.196152;5.385165;5.385165;5.567764;
600;28.390139;10.198039;9.327379;6.855655;8.124038;6.324555;12.649111;14.525839;7.416198;7.348469;6.855655;6.782330;
700;21.424285;10.099505;10.954451;8.544004;7.615773;7.000000;7.141428;6.855655;7.000000;7.000000;7.000000;7.416198;
800;25.337719;11.224972;9.273618;8.888194;8.544004;8.185353;8.246211;8.000000;7.937254;8.000000;8.602325;8.774964;
900;23.916521;11.958261;10.816654;9.848858;9.327379;8.944272;8.717798;9.219544;9.380832;9.486833;9.055385;9.591663;
1000;37.682887;13.711309;12.165525;11.045361;10.954451;9.949874;10.246951;9.949874;10.000000;10.488088;10.392305;11.000000;
1100;39.166312;17.492856;13.228757;11.618950;11.958261;11.401754;11.269428;11.180340;11.357817;11.489125;14.035669;15.811388;
1200;31.827661;16.492423;14.764823;13.527749;12.806248;12.165525;12.449900;12.649111;12.206556;12.688578;13.114877;13.527749;
1300;46.475800;22.000000;15.524175;17.635192;13.711309;13.304135;13.304135;13.674794;13.379088;13.490738;14.142136;14.247807;
1400;28.266588;19.390719;16.278821;15.362291;14.899664;14.142136;14.071247;14.282857;14.317821;14.798649;15.000000;15.652476;
1500;36.810325;21.354157;33.808283;16.583124;18.894444;21.260292;16.186414;15.684387;16.217275;17.000000;17.204651;17.606817;
1600;34.176015;22.226111;18.248288;17.776389;17.832555;17.233688;16.970563;16.881943;16.703293;17.464249;18.027756;18.248288;
1700;35.805028;23.579652;22.472205;27.910571;28.705400;27.495454;19.849433;25.079872;17.606817;17.860571;23.685439;22.472205;
1800;46.411206;30.805844;23.086793;21.817424;21.236761;24.899799;20.174241;20.591260;21.283797;22.113344;22.090722;22.737634;
1900;44.598206;40.987803;25.416530;29.342802;23.043437;21.954498;24.576411;25.436195;22.226111;22.494444;26.888659;23.685439;
2000;51.855569;33.749074;26.210685;24.166092;23.173260;23.108440;23.537205;23.622024;23.130067;23.874673;23.895606;25.000000;
2100;47.665501;31.400637;26.962938;25.317978;25.337719;24.556058;24.310492;25.039968;24.799194;25.298221;25.592968;25.436195;
2200;61.603571;29.832868;26.419690;25.298221;24.535688;24.020824;23.706539;24.677925;24.248711;25.139610;25.787594;25.139610;
2300;57.714816;31.096624;25.377155;25.357445;23.194827;23.130067;23.452079;24.248711;23.430749;24.413111;25.495098;25.258662;
2400;53.674948;30.099834;28.982753;24.637370;24.939928;31.591138;23.916521;23.937418;24.207437;23.685439;27.712813;25.534291;
2500;56.284989;51.546096;26.191602;28.583212;24.859606;22.315914;22.405357;23.237900;23.727621;24.979992;25.278449;26.000000;
2600;53.600373;39.217343;34.713110;28.792360;24.979992;27.166155;28.053520;27.313001;56.435804;27.166155;27.640550;29.342802;
2700;60.390397;41.231056;39.749214;29.664794;29.444864;28.774989;28.337255;28.600699;28.740216;30.545049;31.921779;31.032241;
2800;75.729783;39.076847;44.395946;36.565011;30.479501;29.765752;29.631065;29.171904;29.444864;30.643107;30.495901;30.773365;
2900;80.143621;50.079936;34.205263;43.278170;32.680269;31.240999;36.221541;31.527766;32.280025;32.357379;32.878564;34.351128;
3000;85.311195;41.255303;52.211110;33.511192;39.012818;35.085610;35.142567;32.419130;32.434549;33.645208;33.526109;34.770677;
3100;70.526591;46.314145;35.552778;36.331804;33.941125;32.249031;32.787193;33.256578;33.000000;33.823069;35.818989;37.603191;
3200;69.663477;69.899928;50.685304;37.656341;34.263683;33.241540;33.555923;31.906112;31.480152;32.817678;33.660065;34.292856;
3300;66.565757;42.567593;39.597980;36.138622;38.131352;33.911650;36.715120;35.440090;34.307434;36.055513;38.275318;41.844952;
3400;70.078527;42.708313;38.078866;34.928498;43.988635;33.704599;33.331667;33.808283;34.452866;34.496377;35.791060;55.163394;
3500;93.952115;45.858478;37.775654;35.594943;36.796739;41.267421;35.735137;37.828561;38.845849;37.762415;38.000000;39.471509;
3600;73.674962;52.163205;44.553339;37.403208;36.891733;36.193922;37.202150;39.217343;36.728735;40.187063;46.733286;41.940434;
3700;94.694245;47.148701;41.146081;47.063787;37.828561;37.749172;38.457769;42.941821;39.000000;39.572718;41.605288;43.485630;
3800;76.837491;53.646994;41.629317;40.595566;46.529560;38.091994;38.742741;43.208795;40.435133;41.303753;42.790186;44.564560;
3900;107.116759;51.526692;47.623524;43.231933;41.400483;42.860238;48.041649;45.387223;41.472883;44.124823;48.052055;44.833024;
4000;95.702665;57.402091;46.786750;43.428102;46.195238;41.182521;42.579338;40.199502;45.254834;43.965896;45.221676;45.923850;
4100;85.164547;60.423505;48.692915;43.000000;41.952354;40.298883;41.279535;40.804412;40.037482;43.000000;43.794977;43.829214;
4200;104.947606;65.863495;50.596443;46.872167;47.053161;45.956501;44.147480;49.789557;45.486262;46.270941;47.947888;48.290786;
4300;100.677704;57.654141;50.852729;46.701178;49.234135;44.888751;46.722586;46.443514;45.716518;45.956501;47.989582;50.348784;
4400;112.942463;64.327288;52.640289;49.112117;48.948953;47.989582;48.238988;51.961524;53.768020;49.558047;52.048055;53.028294;
4500;96.747093;66.775744;54.295488;52.754147;52.668776;56.497788;53.721504;54.378304;53.291650;54.872580;55.199638;60.770058;
4600;112.165057;69.756720;56.160484;53.028294;53.786615;54.817880;60.373835;51.565492;53.028294;54.744863;56.497788;57.818682;
4700;107.470926;65.245690;63.584589;58.906706;55.461698;52.373658;55.371473;58.489315;54.963624;52.478567;54.790510;56.418082;
4800;110.887330;65.375837;54.571055;65.130638;55.226805;51.546096;56.964901;51.429563;51.185936;52.287666;54.726593;56.586217;
4900;117.034183;65.169011;62.849025;66.392771;55.704578;55.063600;54.909016;54.881691;54.607692;56.824291;57.549978;57.792733;
5000;130.950372;72.131824;55.650696;59.143892;61.781874;59.732738;52.172790;54.009258;58.068925;54.845237;56.577381;58.318093;
5100;113.026546;60.745370;55.090834;50.497525;49.949975;48.703183;48.805737;47.937459;51.565492;52.249402;55.416604;58.051701;
5200;103.043680;62.008064;47.518417;68.520070;43.081318;43.104524;46.743984;43.623388;44.395946;47.010637;47.539457;49.709154;
