N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;19;65;42;8;14;13;8;14;12;8;7;16;
200;38;22;20;20;18;17;15;14;17;15;16;15;
300;81;61;26;35;27;21;23;23;24;25;23;22;
400;57;42;39;29;29;28;29;28;31;31;30;32;
500;84;56;45;39;38;40;38;36;39;37;41;45;
600;282;96;92;47;77;43;142;124;68;69;48;48;
700;190;72;117;78;51;49;49;48;51;47;46;57;
800;191;71;62;60;56;53;59;52;51;55;64;65;
900;241;79;73;63;63;59;60;60;72;60;57;58;
1000;276;100;87;79;84;70;65;70;68;75;68;87;
1100;379;163;85;74;75;78;73;75;74;75;129;152;
1200;280;102;91;84;79;76;80;77;76;85;87;90;
1300;411;206;94;169;84;87;82;93;87;92;93;102;
1400;176;121;100;97;92;88;92;95;92;105;106;107;
1500;341;145;289;108;177;189;118;111;113;117;114;123;
1600;249;143;122;114;115;119;106;110;106;115;111;112;
1700;233;143;204;275;280;275;190;266;117;132;239;216;
1800;425;304;139;135;136;222;121;127;142;138;135;141;
1900;287;385;155;275;145;136;202;217;136;133;249;152;
2000;464;284;161;144;144;140;148;145;145;157;153;163;
2100;289;184;162;153;153;150;145;157;162;157;166;168;
2200;476;184;163;171;155;152;151;166;163;168;173;166;
2300;467;269;180;193;161;163;160;176;175;178;191;183;
2400;481;216;252;171;170;320;174;172;175;179;262;209;
2500;535;369;196;277;187;171;171;181;191;186;190;201;
2600;440;391;358;269;191;241;243;198;635;199;204;211;
2700;530;392;387;199;193;193;192;197;207;221;240;221;
2800;590;260;352;337;203;197;199;199;198;215;200;222;
2900;581;487;220;432;217;208;327;210;217;221;224;228;
3000;719;245;416;221;357;258;301;193;198;214;223;238;
3100;535;375;233;322;227;217;215;217;215;223;238;273;
3200;455;648;396;304;237;226;258;246;207;221;219;217;
3300;472;312;332;259;322;203;294;239;208;215;253;358;
3400;491;254;233;226;447;213;214;220;213;220;251;601;
3500;674;326;235;223;289;384;202;310;316;252;260;277;
3600;548;473;385;235;218;214;234;347;246;273;401;260;
3700;621;294;252;454;247;260;253;364;276;268;273;280;
3800;527;459;252;241;432;219;240;367;257;266;276;281;
3900;735;339;351;285;262;326;399;390;273;312;357;274;
4000;686;480;305;300;388;306;314;259;327;327;361;355;
