N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;79.309520;54.972721;57.402091;52.867760;48.579831;53.450912;55.542776;49.436828;56.008928;68.862181;64.567794;70.178344;
200;122.922740;104.028842;76.354437;68.622154;95.372952;88.334591;79.987499;81.400246;83.797375;54.203321;78.981010;74.706091;
300;206.434009;142.137258;126.649122;82.903558;121.987704;104.412643;121.507201;120.801490;115.542200;126.099167;107.088748;113.313724;
400;231.348222;184.412581;168.644597;128.460111;116.974356;126.795110;155.315807;156.751396;148.640506;112.765243;101.316336;134.059688;
500;261.795722;179.451943;151.608047;156.313787;161.548754;148.114820;136.146979;178.373204;157.537297;161.006211;89.314053;191.867142;
600;411.274847;228.571652;177.817322;166.883193;134.714513;162.613038;129.899962;166.910155;175.504986;249.891977;183.983695;163.993902;
700;237.075937;243.778588;259.246986;198.259930;191.705503;164.666329;111.915146;168.573426;226.825924;253.980314;113.942968;142.716502;
800;487.411530;279.910700;273.398976;198.312884;192.020832;189.902607;215.183643;174.659669;122.396895;124.273891;302.006622;196.244745;
900;487.544870;319.929680;156.716304;317.845875;209.711707;233.595805;270.839436;214.627584;180.875648;233.482333;245.701038;94.752309;
1000;597.638687;421.318170;304.368198;156.942665;81.565924;152.509016;252.859645;189.406969;236.725580;150.442680;296.197569;118.617031;
1100;716.721006;349.449567;434.617073;307.286511;256.187431;74.986665;281.343207;205.153601;343.180710;316.984227;312.157012;254.299037;
1200;770.029220;481.337719;330.823216;239.543315;350.319854;366.471008;272.049628;268.410134;392.005102;305.776062;308.731275;278.596482;
1300;359.075201;403.420376;283.543647;416.694132;368.302865;324.285368;234.463217;275.347054;80.579154;342.778354;238.771858;239.382539;
1400;945.453330;282.773761;306.528955;411.556800;103.460137;342.379906;356.529101;348.496772;251.809452;108.797978;433.462801;391.025575;
1500;534.285504;466.483655;578.892045;392.623229;285.998252;321.602239;276.602603;377.735357;99.493718;424.186280;103.725600;90.038880;
1600;943.226908;424.948232;254.737119;484.277813;457.912655;348.597189;211.009478;405.595858;290.441044;401.600548;218.451368;113.666178;
1700;950.807026;416.309981;505.519535;400.303635;445.948428;233.360237;91.842256;234.772230;99.954990;467.792689;382.310084;301.531093;
1800;871.564111;337.982248;133.337917;432.755127;474.655665;385.700661;447.595800;379.743334;331.926197;232.738050;265.827011;339.882333;
1900;721.966066;473.215596;402.433845;498.229867;540.563595;258.435679;477.268268;416.149012;350.439724;551.947461;415.050599;272.800293;
2000;655.715640;389.326341;413.007264;391.334895;369.494249;367.260126;487.422814;431.171660;273.146481;430.137187;282.879833;274.404810;
2100;759.901309;407.044224;442.014706;425.316353;109.448618;289.837886;613.797198;444.318579;91.148231;277.166015;431.324704;390.407479;
2200;698.317979;911.515222;351.712951;310.824709;406.614068;474.698852;416.743326;481.754087;303.047851;457.152053;387.466128;483.131452;
2300;1241.524869;247.598465;483.064178;443.724013;314.658545;583.324952;479.549789;406.375442;403.723916;471.098716;605.418863;310.584932;
2400;1335.848420;884.002262;384.723277;478.848619;600.068329;421.375130;507.011834;304.750718;420.694664;507.716456;426.601688;584.223416;
2500;1342.038748;750.910780;527.316793;481.922193;632.420746;460.850301;605.318924;432.469652;133.555232;322.253006;515.512366;312.243495;
2600;1082.191295;763.207049;404.470024;495.456355;650.955452;470.210591;121.173429;829.540837;544.465793;330.233251;335.086556;134.018655;
2700;1127.694107;780.867466;663.401839;381.055114;514.064198;349.378019;352.682577;342.518613;329.913625;565.046901;573.429159;549.243116;
2800;1288.520081;527.315845;453.701444;440.357809;126.344766;592.455906;494.605904;578.517934;569.357533;353.997175;586.227771;590.084740;
2900;1185.555566;849.509270;423.543386;657.534790;542.777118;385.149322;613.147617;390.950125;125.662246;703.936787;507.194243;600.144982;
3000;1249.580730;301.099651;657.171211;687.595084;666.168898;530.059431;375.648772;387.592570;129.487451;518.382098;720.199972;381.891346;
3100;1473.953527;758.054747;648.140417;576.210899;423.741667;139.506272;128.308223;553.721049;377.118019;744.143131;394.438842;523.764260;
3200;944.621088;915.720481;485.036081;828.067630;425.865002;588.701962;551.592241;767.505700;541.355706;116.751874;849.450411;405.643933;
3300;1756.071183;796.794829;676.951254;627.617718;439.727188;435.932334;411.014598;558.606301;775.397318;679.447570;871.260581;684.418001;
3400;1351.296415;712.014045;699.737808;650.466755;867.921079;621.992765;585.901016;576.590843;690.004348;565.923140;698.303659;569.764864;
3500;1443.707034;1246.217076;221.747604;157.165518;470.189324;152.308897;735.505269;150.963572;422.434610;696.931130;721.368838;437.522571;
3600;1714.080220;750.740967;760.176295;196.196330;904.019358;146.143765;448.654656;448.878603;441.329809;735.874989;457.944320;454.306064;
3700;1417.960860;669.180843;758.704817;526.091247;171.178270;672.391255;464.959138;634.591207;746.440888;452.006637;140.676935;632.952605;
3800;1696.809948;1249.038030;220.735135;527.485545;680.806140;524.933329;479.867690;471.575021;772.655162;464.434064;639.291796;476.902506;
3900;2434.115856;315.832234;1016.614971;1023.384092;1069.188010;816.626598;176.912408;465.847615;481.794562;652.783272;932.735225;665.576442;
4000;1668.688407;1080.769171;592.519198;547.865859;522.605013;513.562070;491.603499;488.877285;493.031439;485.289604;667.153655;498.297100;
4100;1684.990504;853.837221;635.009449;764.459286;892.954646;1041.853637;124.289984;693.290704;682.960467;683.988304;493.243348;848.310674;
4200;1346.326855;996.740688;647.554631;1087.588157;756.801823;175.587585;512.030273;151.198545;149.100637;515.187345;691.468004;543.800515;
4300;1699.633196;790.856498;884.694297;582.803569;810.516502;604.107606;158.316139;516.527831;168.712774;982.972533;725.088270;534.966354;
4400;1777.111983;879.115465;1086.870737;826.863955;581.104982;755.086088;747.917776;536.450370;890.566112;521.964558;866.195705;161.449683;
4500;1765.889861;842.998814;236.186367;1021.622239;588.584743;570.126302;553.025316;910.432315;766.742460;155.643824;893.564771;1031.553683;
4600;813.004920;1726.799351;666.969265;646.888708;200.089980;968.002066;784.838837;763.667467;554.568301;163.734541;1048.808371;561.463267;
4700;1181.934008;847.880888;714.957341;879.150727;615.420182;581.497205;804.807430;953.355652;569.894727;600.523938;164.921193;1207.588506;
4800;2435.040246;898.446437;803.581359;213.236957;617.076981;600.465653;595.851492;801.181003;149.241415;608.511298;786.124036;157.603934;
4900;1544.589913;1694.710300;1258.391831;908.963146;212.261631;853.680268;644.892239;165.263426;174.487822;170.710281;812.609377;974.000513;
5000;1524.130572;1623.803867;1014.111434;938.557936;652.563407;866.914644;858.767722;161.725075;842.274896;593.220027;819.633455;595.541770;
5100;1704.238246;882.040815;1616.261427;708.880808;672.401666;691.154831;625.367092;613.428887;1032.651442;605.788742;187.232476;846.618568;
5200;2698.402676;457.596984;789.925313;982.589436;723.939224;900.987791;895.585842;865.607879;624.412524;629.475178;615.992695;166.346025;
5300;1691.482781;1532.774282;300.428028;995.843863;683.450071;1272.001179;211.560866;630.996830;158.265600;892.647187;622.129408;1468.749468;
5400;1059.153436;938.102873;1096.753391;1222.963614;954.582108;665.791259;1297.124898;654.191868;646.131566;1082.273995;882.865222;636.487235;
5500;1717.540975;1317.340503;1333.697117;1023.164210;972.339447;690.708332;934.684439;1293.153896;911.401119;909.544391;658.225645;887.555069;
5600;2816.545402;995.131147;1728.078123;759.574223;1049.956190;713.015428;696.545045;672.465613;153.218798;660.542958;174.312937;1113.407383;
5700;2289.378737;1489.634519;276.633331;760.850840;755.650713;722.424391;961.969334;684.918243;1140.370554;193.346839;1120.444108;675.700377;
5800;3100.094999;1059.282776;846.658727;780.390287;1628.409961;990.150494;1190.234431;699.962142;1004.816899;186.670833;170.264500;936.881529;
5900;1248.569582;1125.705112;1202.738126;821.391502;265.731067;795.289256;1245.077106;716.390257;962.977674;178.134780;690.136218;952.507218;
6000;3300.162572;1441.752406;1540.664467;811.778295;775.826656;758.367985;216.397782;716.189919;711.919939;758.812889;714.145643;980.272921;
6100;1184.459370;1737.858165;1256.214154;815.698474;1099.399381;762.647363;210.242717;1012.792180;193.832402;732.486860;731.440360;1200.614426;
6200;3732.580743;474.307917;333.704960;297.853991;1096.285091;775.798299;774.330033;180.684808;1259.421296;163.575671;1011.604666;725.836759;
6300;2994.305095;1780.774831;285.445266;850.630355;1351.415554;1088.714379;1296.334448;1088.931127;197.529745;733.070938;1040.104802;736.259465;
6400;1374.570478;1186.985257;961.437986;1259.017474;833.325867;1538.321813;1087.472298;1291.138258;762.234872;1054.237639;1051.359596;177.383765;
6500;1371.459077;1131.264779;1316.497246;1216.305883;843.946088;1587.812017;1135.017621;789.482742;1069.579824;1060.393323;1633.655410;207.776322;
6600;1966.676638;618.449675;1597.736524;894.241578;850.476925;1409.075229;1560.429108;799.256530;1302.852256;771.789479;1507.205693;774.373941;
6700;2059.115344;1267.617845;968.760548;1922.858809;862.823852;837.559550;1127.369505;811.024044;210.211798;1097.692124;792.258796;246.679955;
6800;2211.408827;1226.390639;1025.751919;1752.578957;863.637656;1465.256974;1143.083986;1396.114250;1109.503042;183.147482;209.561447;803.712013;
6900;3106.806399;1943.825609;1375.145447;1538.120932;314.599746;864.602221;1154.194091;180.344116;823.550241;801.159160;210.045233;809.155115;
7000;1180.715461;526.116907;226.986784;268.193960;2231.264216;882.269233;166.484233;1412.861281;836.282249;185.105375;1142.676682;1378.909714;
7100;3257.925260;2009.826112;1439.424190;1838.270927;1256.831731;200.322240;196.112213;1212.241313;829.039203;831.467378;822.050485;1155.325928;
7200;2068.736329;2574.332146;364.281485;1338.099025;910.626707;889.083798;217.494828;1450.300658;183.594662;836.962962;1661.879358;215.004651;
7300;1346.606847;1321.818066;1051.276367;1640.603243;931.713475;904.646892;187.005348;1255.273675;1265.984992;226.819311;851.974178;219.394622;
7400;3483.778122;1285.413163;379.531290;995.501883;246.327018;248.977911;1235.535511;1503.056552;210.461398;1199.428614;1209.013648;1213.189598;
7500;1218.838381;1254.342457;1090.114214;999.927997;945.965116;206.390407;213.735818;223.152414;882.740052;218.897236;1217.933906;874.563891;
7600;1396.962777;2155.641668;1110.191875;1426.722468;963.840754;1305.366615;223.702928;177.803262;898.933813;880.794528;880.548693;247.028338;
7700;1581.666526;669.600627;1126.947204;1048.675832;992.506927;1823.698440;927.403903;202.304226;917.420296;222.427516;1522.283482;1257.447017;
7800;2208.812351;1341.896792;1161.401309;306.104557;1000.185483;976.915042;1295.484851;937.850201;213.051637;207.289652;910.841918;1539.548310;
7900;1793.769216;821.410981;1154.735035;1457.718080;1946.276188;250.419648;953.829125;1591.708830;255.233227;918.048474;182.477396;211.260503;
8000;1261.138771;1915.334436;365.079443;1068.873706;1033.257470;1666.946610;957.854373;963.835048;283.635329;927.073352;1291.477449;218.286509;
8100;1452.101236;787.471904;1349.446553;312.670753;275.613860;292.940267;990.339841;1335.475196;961.003122;994.355067;217.340746;1308.324883;
8200;1404.882913;1956.199121;1239.397434;1909.155049;1067.557493;1402.824650;1671.634829;1348.798354;1866.711011;936.283077;193.646585;1003.332447;
8300;1479.424550;1497.297900;1244.011656;429.486903;1472.606533;262.337569;193.935556;246.166610;232.452146;203.955878;952.757577;961.184686;
