N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;518;356;352;346;323;327;333;342;363;361;378;431;
200;1049;730;644;657;620;603;610;607;623;623;630;620;
300;1530;1048;944;898;878;885;865;907;893;883;893;927;
400;2039;1431;1248;1168;1209;1122;1155;1142;1149;1190;1154;1153;
500;2558;1769;1562;1478;1393;1413;1365;1417;1429;1402;1450;1448;
600;3109;2134;1869;1713;1699;1634;1660;1621;1730;1681;1714;1731;
700;3650;2395;2106;2017;1944;1924;1932;1872;1874;1916;1926;1900;
800;4116;2837;2418;2262;2209;2163;2112;2157;2102;2202;2186;2148;
900;4644;3167;2720;2541;2445;2401;2356;2379;2319;2283;2432;2513;
1000;5209;3457;3040;2827;2706;2643;2596;2599;2633;2627;2637;2746;
1100;5776;3826;3286;3080;2952;2894;2826;2796;2864;2877;2772;3003;
1200;6299;4134;3603;3353;3199;3117;3109;3051;3058;3064;3087;3135;
1300;6770;4470;3812;3612;3435;3354;3329;3236;3317;3348;3266;3227;
1400;7327;4838;4117;3857;3694;3569;3617;3501;3486;3585;3536;3478;
1500;7866;5123;4370;4122;3987;3837;3811;3806;3695;3781;3754;3743;
1600;8389;5526;4759;4392;4238;4160;4063;4061;3992;4073;4117;4042;
1700;8995;5825;4975;4694;4462;4414;4262;4290;4252;4198;4365;4209;
1800;9527;6083;5348;4872;4779;4595;4531;4503;4468;4378;4665;4494;
1900;9994;6399;5553;5189;4978;4880;4768;4732;4737;4719;4823;4851;
2000;10609;6832;5893;5541;5319;5141;4977;4999;4988;4858;5020;5041;
2100;11102;7128;6117;5741;5518;5389;5233;5167;5155;5132;5030;5269;
2200;11635;7496;6440;6023;5774;5589;5500;5384;5402;5336;5277;5529;
2300;12141;7901;6742;6253;6001;5915;5735;5684;5683;5543;5587;5718;
2400;12708;8170;7063;6559;6251;6089;6034;5873;5911;5867;5825;5836;
2500;13159;8582;7244;6818;6543;6369;6215;6126;6107;6061;6031;5923;
2600;13919;8815;7558;7025;6710;6573;6493;6316;6375;6304;6246;6152;
2700;14242;9183;7879;7275;7003;6712;6702;6538;6576;6642;6520;6464;
