N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;153;128;120;115;125;119;118;114;114;110;110;107;
200;430;251;245;230;252;219;261;249;229;238;233;225;
300;659;476;425;344;334;327;323;321;376;364;356;344;
400;921;529;486;458;491;436;472;427;425;511;519;464;
500;1085;758;707;645;614;546;569;533;616;527;645;609;
600;1067;957;853;769;668;712;648;643;636;727;714;787;
700;1911;941;971;808;860;835;822;783;786;737;861;822;
800;1919;1275;954;929;977;875;862;854;924;992;969;836;
900;2171;1139;1290;1015;1107;1074;1042;1021;956;948;943;2002;
1000;2436;1579;1213;1336;2230;1178;1154;1185;1060;1100;1047;2217;
1100;2739;1472;1338;1281;1251;2530;1183;1268;1244;1161;1155;1345;
1200;2848;1893;1434;1566;1344;1425;1302;1283;1365;1327;1259;1316;
1300;4374;2012;1799;1704;1602;1556;1579;1539;2961;1369;1486;1419;
1400;2638;2327;1908;1769;3177;1688;1520;1500;1579;3079;1468;1463;
1500;3880;1878;2041;1945;1885;1832;1741;1614;3206;1585;3270;3288;
1600;3975;2580;2247;1805;1940;1921;1894;1714;1799;1833;1879;3508;
1700;3793;2802;2039;2143;1910;2030;3821;1934;3730;1788;1784;1950;
1800;4401;2980;4640;2072;2016;2152;1948;2107;2032;2069;2019;1878;
1900;4834;3095;2666;2411;2149;2296;2058;2033;2020;2002;2142;2100;
2000;5318;3319;2812;2632;2490;2376;2347;2271;2263;2108;2095;2230;
2100;5383;3498;2906;2428;4971;2524;2282;2381;4688;2378;2311;2304;
2200;5996;3499;3094;2905;2715;2649;2380;2356;2336;2488;2312;2443;
2300;5534;6424;3132;2983;2858;2529;2729;2460;2635;2579;2508;2540;
2400;5998;3700;3329;2993;2956;2924;2776;2809;2712;2680;2516;2505;
2500;6094;4055;3469;3230;3087;2776;2907;2873;5495;2784;2750;2738;
2600;6620;4151;3616;3375;3160;3025;5876;2977;2953;3011;2864;5517;
2700;6808;4393;3785;3470;3016;3230;3160;3095;3159;3003;2836;2824;
2800;7133;4481;3937;3158;6574;3360;3267;3201;3181;3164;2947;2923;
