N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;226;175;148;154;168;153;154;146;150;148;168;145;
200;510;339;315;303;307;280;311;302;307;302;303;296;
300;734;515;462;443;418;434;425;402;463;437;435;439;
400;1006;685;607;576;583;532;575;556;536;620;607;580;
500;1289;848;770;713;665;695;657;705;731;665;776;719;
600;1487;1031;915;850;818;812;829;771;853;834;836;915;
700;1845;1189;1013;980;945;912;965;928;946;961;1009;949;
800;2008;1385;1198;1105;1087;1033;1062;1074;1029;1122;1110;1085;
900;2296;1517;1345;1219;1201;1165;1117;1215;1177;1111;1220;1272;
1000;2548;1658;1490;1427;1358;1316;1273;1321;1328;1289;1319;1406;
1100;2804;1868;1594;1513;1458;1473;1392;1416;1415;1407;1346;1500;
1200;3075;2005;1780;1664;1567;1534;1520;1496;1517;1535;1505;1606;
1300;3457;2215;1905;1780;1704;1657;1662;1613;1725;1655;1659;1598;
1400;3586;2378;2058;1879;1848;1762;1773;1730;1736;1817;1758;1717;
1500;3968;2554;2116;2002;1979;1894;1901;1856;1839;1900;1935;1911;
1600;4077;2746;2388;2137;2077;2014;2041;1987;1946;2040;2081;2058;
1700;4428;2906;2468;2322;2220;2181;2149;2130;2100;2083;2145;2146;
1800;4726;3055;2658;2422;2337;2288;2215;2244;2216;2174;2322;2309;
1900;5011;3189;2776;2543;2429;2435;2325;2381;2339;2238;2393;2459;
2000;5318;3420;2932;2746;2620;2550;2471;2460;2480;2405;2504;2555;
2100;5581;3597;3041;2848;2762;2704;2530;2576;2616;2563;2490;2680;
2200;5891;3637;3214;3001;2865;2770;2716;2684;2725;2664;2609;2782;
2300;6032;3900;3354;3133;2996;2866;2824;2791;2846;2762;2697;2887;
2400;6298;3984;3530;3244;3074;3040;2960;2930;2954;2905;2887;2916;
2500;6552;4186;3616;3370;3216;3150;3065;3047;3100;3061;2980;2971;
2600;6929;4375;3763;3546;3307;3251;3258;3037;3174;3169;3144;3074;
2700;7114;4515;3864;3670;3428;3387;3354;3263;3297;3285;3236;3152;
2800;7461;4738;4047;3769;3614;3496;3496;3363;3348;3432;3347;3295;
2900;7734;4863;4226;3839;3720;3653;3588;3541;3518;3515;3478;3421;
3000;7969;5127;4326;4001;3865;3753;3732;3662;3614;3649;3582;3574;
