N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;49.959984;35.440090;36.193922;35.213634;32.496154;36.124784;39.774364;37.121422;42.555846;51.185936;52.981129;57.288742;
200;75.617458;63.213923;48.631266;44.988888;61.400326;57.913729;53.047149;56.008928;59.093147;44.988888;59.966657;57.974132;
300;124.587319;83.066239;75.272837;53.563047;75.432089;68.782265;77.045441;76.197113;76.275815;80.839347;74.283242;82.945765;
400;138.159328;107.415083;98.234414;77.213988;74.188948;78.790862;100.821625;102.854266;95.393920;73.803794;70.540768;89.771933;
500;155.534562;106.009434;88.729927;90.846024;93.648278;92.558090;85.346353;117.613775;100.234725;103.715958;66.060578;119.565881;
600;237.065392;128.572936;102.912584;96.731587;81.810757;98.731960;82.565126;98.979796;118.139748;154.171982;116.734742;107.503488;
700;143.864520;138.668670;144.048603;113.225439;113.185688;95.467272;75.206383;107.675438;141.732142;164.298509;85.737973;99.357939;
800;280.982206;159.746674;156.396931;113.714555;113.490088;112.058021;129.363828;116.417353;80.610173;88.820043;185.264676;131.453414;
900;281.142313;181.692047;93.920179;177.378127;121.000000;132.905982;155.145093;131.103013;113.740934;140.595164;158.729329;87.321246;
1000;340.427672;234.399232;172.072659;95.247047;58.557664;94.355710;146.444529;116.931604;144.813673;100.399203;186.418883;102.205675;
1100;405.341831;194.692065;238.918396;172.017441;142.425419;61.733297;160.021874;125.884868;205.706101;188.414437;182.118094;165.517371;
1200;434.255685;267.733076;186.810064;136.106576;194.774228;204.763278;158.262440;153.022874;230.681599;183.703566;183.363028;177.822946;
1300;218.712140;226.227761;159.586967;230.382291;203.543607;180.446668;136.623570;155.881365;72.608539;209.899976;149.392102;146.540097;
1400;531.941726;160.362090;169.561198;226.757580;76.557168;187.909553;203.516584;197.613259;151.301024;93.016128;255.544517;228.021929;
1500;309.665949;256.074208;310.409407;214.004673;163.306460;175.960223;162.812776;216.041663;85.352211;251.127458;93.187982;78.879655;
1600;526.990512;238.981171;145.327217;262.754638;253.412707;192.722599;123.826492;232.040945;170.973682;235.707446;138.647034;98.671171;
1700;536.922713;232.275698;279.216762;218.478832;245.462828;138.021737;74.464757;144.326020;83.839132;269.299090;229.976086;181.179469;
1800;494.597816;191.224998;86.069739;235.393288;260.468808;211.719154;248.213618;214.042052;197.413272;141.088625;179.599555;210.627634;
1900;406.945942;260.892698;221.149271;269.506957;294.815196;147.597425;261.770892;235.216921;205.148727;305.641947;247.198301;176.688992;
2000;372.633869;218.190284;224.942215;215.967590;205.990291;205.939311;266.773312;246.659685;167.143651;245.468939;178.204938;175.119959;
2100;432.328579;227.874966;244.581275;232.178810;80.349238;167.651424;331.989458;246.736702;73.925638;169.452058;248.758919;241.849127;
2200;391.406438;494.150787;197.248574;173.456046;223.939724;257.359671;233.843965;268.514432;181.008287;256.579422;224.194112;288.560219;
2300;690.765517;149.137520;262.560469;244.094244;177.504930;319.889043;259.959612;226.920691;229.947820;261.545407;340.430610;198.186781;
2400;736.186797;479.402753;210.793738;264.595918;324.487288;228.035085;278.621607;173.280120;241.008299;288.151002;245.169329;336.769951;
2500;751.087878;406.957000;287.005226;263.556446;340.060289;249.731856;328.032011;238.962340;107.074740;190.677739;289.171230;197.560117;
2600;609.200295;410.440008;221.702503;269.167234;351.025640;260.161488;91.104336;443.988739;303.619828;200.272315;202.232539;105.114224;
2700;633.826475;416.644933;353.587330;210.185632;279.615808;193.739516;200.895495;195.530049;190.297136;319.028212;323.301717;304.688365;
2800;713.365264;289.468478;248.151164;241.636090;90.421236;322.130408;273.492230;315.639034;311.879785;211.501773;329.675598;339.720473;
2900;662.400181;455.811364;227.187148;348.096251;294.491086;214.774300;333.070563;222.961880;97.200823;393.359886;294.180217;338.481905;
3000;696.656300;182.260802;351.200797;369.035229;356.750613;287.294274;206.559919;223.123284;98.919159;292.046229;405.659956;228.499453;
3100;819.494356;412.813517;349.067329;306.320094;234.168743;99.624294;95.650405;306.858273;213.557955;412.087369;233.651450;296.396694;
3200;521.151609;490.985743;264.034089;438.292140;231.445458;319.216228;300.777326;417.076732;295.282915;102.298583;472.105920;237.537365;
3300;966.445549;424.549173;363.553297;337.720298;240.312297;241.406297;223.877198;304.576756;415.778787;375.182622;484.754577;386.899212;
3400;746.142078;386.808738;371.460630;346.870293;462.321317;338.204080;317.244385;313.285812;375.347839;313.137350;390.659698;324.351661;
3500;801.763057;664.657054;135.244224;101.833197;255.384025;107.591821;393.467915;113.608979;239.526616;377.779036;402.591604;261.683014;
3600;943.376383;406.024630;409.160115;124.466863;483.433553;101.823376;251.326481;247.741801;243.513860;399.056387;271.874971;274.131355;
3700;783.691904;364.074168;407.673889;285.434756;116.486051;361.958561;256.493665;346.883266;402.721988;254.788147;124.390514;360.220766;
3800;928.025323;664.341780;137.506363;284.014084;359.674853;288.166618;263.738507;259.678648;415.825685;261.212557;357.044815;279.962497;
3900;1328.049698;185.054046;541.118287;542.858177;566.347950;433.854814;116.610463;252.598496;270.634440;355.240763;512.472438;380.569310;
4000;924.122827;586.278091;315.787904;297.131284;281.978723;281.829736;264.796148;270.235083;277.256199;269.545914;369.444177;288.431968;
4100;936.437398;463.811384;343.027696;407.167042;477.183403;561.718791;86.011627;373.876985;372.163942;373.755268;277.122716;475.171548;
4200;748.395617;535.404520;348.531204;573.958187;407.672663;116.236827;278.578535;111.207014;117.000000;286.038459;377.262508;312.501200;
4300;936.715005;425.661838;474.661985;313.749900;433.160478;331.772512;107.712581;281.634515;128.479570;526.956355;398.438201;316.001582;
4400;978.823784;478.114003;578.320845;442.015837;317.149807;401.120929;398.272520;291.605898;475.569133;281.701970;462.015151;141.024821;
4500;969.958247;454.772471;145.158534;538.870114;316.328943;309.473747;297.610484;485.342147;420.079754;116.365803;481.811166;563.593825;
4600;464.269318;914.059079;356.778643;348.172371;124.450793;511.471407;421.853055;405.465165;308.825193;124.394534;557.534752;326.770562;
4700;669.509522;455.834400;381.814091;464.936555;334.263369;308.621127;428.818143;505.740052;316.287844;334.955221;132.563192;658.804979;
4800;1327.070835;484.320142;429.442662;137.309869;335.299866;316.657544;324.970768;427.629513;114.157786;341.553802;427.443564;139.846344;
4900;854.987719;898.547717;665.030075;479.218113;144.350268;454.766973;349.952854;116.331423;138.296782;132.691371;441.685408;525.826968;
5000;846.926797;858.153832;532.654672;498.333222;349.176173;456.625667;461.197355;102.781321;460.264055;327.592735;443.620333;333.178631;
5100;946.691608;468.388727;848.825659;379.510211;362.147760;370.510459;334.771564;330.221138;552.050722;331.727298;145.763507;458.749387;
5200;1467.254238;261.199158;418.780372;520.615021;385.940410;476.681235;479.618598;460.741793;342.353618;348.298722;342.293734;135.587610;
5300;933.028938;813.997543;183.054637;527.185925;362.903568;668.785466;149.341890;341.105556;115.801554;490.046937;342.371144;779.359994;
5400;611.022095;500.411830;574.265618;646.010062;499.996000;355.515119;688.761933;351.465503;352.988668;578.348511;474.919993;352.228619;
5500;942.371477;694.994964;698.819719;540.758726;510.248959;369.748563;496.755473;684.893422;486.109041;491.138473;364.725924;474.036918;
5600;1526.714774;529.261750;908.295657;399.829964;553.677704;389.064262;378.656837;363.796646;115.827458;365.790924;132.642376;598.747025;
5700;1245.535628;791.003161;166.553295;402.734404;402.972704;385.672141;506.918139;368.414169;603.770652;147.604200;596.568521;376.762525;
5800;1685.707567;562.258837;446.472844;415.729479;856.543052;521.967432;629.913486;375.914884;537.499767;139.237208;132.087092;502.593275;
5900;708.484298;601.259511;631.575015;434.374263;166.853229;427.740576;660.796489;380.203893;507.171569;138.899244;375.201279;511.367774;
6000;1783.444420;768.063799;810.076540;426.628644;414.824059;407.423612;157.041396;383.489244;383.390141;417.466166;395.442790;529.606458;
6100;663.468161;913.390388;662.929106;435.939216;580.999139;408.784784;149.181098;534.076774;134.888843;401.395067;406.268384;642.364383;
6200;2018.857350;268.313250;201.759758;180.335798;574.929561;413.279566;420.986936;129.058126;665.625270;133.529023;546.472323;403.073194;
6300;1629.933741;933.884361;169.425500;448.764972;703.714431;573.498038;685.521699;585.192276;139.000000;392.821843;562.195695;403.500929;
6400;771.305387;633.956623;510.191141;661.796041;439.083136;807.488080;578.676075;678.636869;410.444881;566.278200;568.069538;150.867492;
6500;772.044688;603.059699;690.758279;638.036049;449.384023;835.730220;600.272438;426.962528;564.395252;562.232158;871.519937;157.933530;
6600;1078.190614;352.271202;835.665005;471.628031;449.777723;737.155343;824.950908;430.506678;682.428751;419.929756;809.181067;419.480631;
6700;1125.267079;674.459042;508.473205;1001.938621;454.208102;446.666542;592.921580;438.881533;135.543351;590.676731;430.846841;200.833264;
6800;1205.737948;653.539593;541.597637;912.998905;455.263660;771.093380;597.308965;737.714715;582.950255;143.450340;164.204141;447.104015;
6900;1672.926777;1022.477873;719.563062;797.161841;193.077705;463.161959;603.561099;127.777150;440.960316;430.550810;157.908201;441.667296;
7000;674.964444;304.931140;140.445719;167.026944;1162.765669;472.982029;110.729400;742.645945;445.353792;145.378816;616.228042;731.134051;
7100;1755.166374;1053.146239;755.146343;958.417967;659.671888;136.992701;130.222886;640.563814;436.598213;447.557817;441.323011;620.166107;
7200;1127.673268;1346.713407;202.588252;696.815614;482.337019;470.449785;142.010563;763.332824;134.825814;446.994407;885.023164;169.584787;
7300;766.429384;706.467267;550.806681;855.430886;491.616721;484.182817;136.916033;667.344738;674.604328;164.219365;458.544436;166.658333;
7400;1884.710588;673.850132;217.540801;527.064512;160.028123;155.544206;645.382832;797.262190;153.766056;634.597510;649.906916;652.605547;
7500;692.036849;665.972222;574.067940;529.671596;498.255958;140.953893;148.165448;151.907867;469.407073;154.508899;655.248045;471.022292;
7600;802.062965;1134.929954;577.504978;742.017520;507.363775;687.627806;148.337453;131.651054;483.526628;470.796134;471.969279;194.319325;
7700;899.076193;383.387532;589.487065;550.252669;529.492210;950.518280;485.870353;139.262342;493.089241;159.643353;810.559683;681.562910;
7800;1212.401336;708.567569;614.242623;184.051623;532.080821;523.504537;674.178760;502.293739;165.051507;155.254630;491.489573;823.847073;
7900;987.887645;454.336879;606.853360;762.260454;1020.131364;158.867870;501.638316;838.267260;178.972065;489.378177;150.253120;178.339564;
8000;727.064646;1013.479650;215.895808;560.877883;541.021257;872.917522;502.927430;513.693488;197.512025;489.210589;685.477935;177.358394;
8100;803.862550;439.743107;710.637038;184.891860;171.732350;180.233182;523.932248;698.683047;516.610104;532.836748;155.547420;699.523409;
8200;782.685122;1032.999032;655.765964;995.545579;569.198559;733.861704;875.941208;710.188707;976.344714;494.075905;146.948971;549.544357;
8300;843.638548;795.470301;655.695051;247.463129;772.617629;169.949993;135.620795;172.133669;163.746756;144.183910;506.620173;522.434685;
8400;1315.945668;771.980570;278.048557;629.169294;1080.631297;545.306336;730.143821;531.592889;182.403399;151.641023;162.782063;723.798314;
8500;1897.756043;775.408924;306.426174;809.924688;180.377382;922.629395;576.589108;746.310927;160.003125;155.932678;988.742130;175.761202;
8600;1432.066688;1076.176565;194.797331;611.522690;794.760970;937.404395;751.336809;547.992701;535.869387;726.052340;711.099852;546.376244;
8700;1087.536206;815.148453;670.397643;613.676625;201.442299;568.045773;1036.120167;755.528954;166.000000;543.341513;539.726783;540.793861;
8800;1841.890062;362.819514;286.370390;616.546835;181.714061;1084.431648;168.650526;562.589548;550.305370;548.054742;759.875648;919.921736;
8900;1441.409727;1112.380780;926.485834;627.878173;169.375323;578.174714;568.746868;151.871656;761.342893;556.303874;548.454191;552.056157;
9000;1538.754366;382.005236;1144.572409;620.880826;188.568290;590.066098;563.154508;148.613593;772.719225;171.973835;149.328497;567.829200;
9100;2176.326492;843.206380;970.169573;643.076201;177.473942;192.143176;800.133739;826.634744;170.311479;558.628678;558.463070;763.191981;
9200;2295.230707;341.413239;713.522950;186.502011;599.354653;175.134234;178.611310;583.880125;618.156938;943.725596;554.102879;1207.018227;
9300;1390.371533;1392.329702;198.131270;639.896085;630.574341;816.431259;589.817768;587.076656;576.570030;789.324395;561.405379;158.117045;
9400;2076.687025;880.565159;1202.247063;670.402864;636.240521;217.000000;608.880941;581.303707;580.199104;164.420193;775.916877;800.304942;
9500;1034.832837;1422.517487;278.908587;249.861962;641.682944;842.111038;838.079948;167.558945;597.485565;1344.898137;782.388650;576.531005;
9600;952.885093;901.302391;227.997807;666.539571;639.334029;635.102354;180.069431;599.498957;598.331012;813.169724;960.519651;813.528119;
9700;2164.388597;1236.604221;1599.741542;674.329296;218.146740;162.569985;613.450079;589.375941;165.749811;996.869099;195.276727;812.107751;
9800;1650.943367;930.577778;1032.101739;184.062489;201.342991;183.980977;622.945423;1010.408333;609.723708;1155.254085;165.580796;822.783082;
9900;2481.474763;1084.475910;838.138413;1157.457991;201.474564;873.566826;864.953756;612.615703;156.678014;850.990599;187.133642;598.697753;
10000;1182.024534;1240.608319;766.310642;698.632235;665.542636;130.453057;887.748838;851.511010;665.399880;873.666985;186.625293;838.130062;
