N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;315;221;213;220;208;211;232;232;252;250;286;340;
200;618;427;390;404;381;367;399;391;400;410;429;426;
300;890;613;544;517;522;538;536;544;563;546;577;605;
400;1151;796;716;663;685;643;709;701;697;750;743;754;
500;1452;1002;888;834;780;850;779;850;860;859;914;901;
600;1771;1195;1037;971;954;926;950;897;1058;1023;984;1061;
700;2071;1342;1143;1114;1086;1047;1122;1076;1112;1156;1162;1125;
800;2293;1551;1340;1219;1225;1197;1208;1257;1194;1310;1293;1325;
900;2608;1735;1480;1403;1340;1336;1309;1360;1318;1308;1428;1469;
1000;2899;1874;1671;1556;1488;1439;1462;1486;1492;1502;1544;1621;
1100;3214;2090;1811;1659;1603;1609;1561;1558;1645;1624;1566;1805;
1200;3503;2221;1965;1803;1739;1697;1711;1671;1731;1730;1695;1864;
1300;3764;2415;2076;1942;1863;1818;1805;1781;1881;1938;1850;1793;
1400;4080;2621;2239;2059;1981;1940;1989;1921;1930;2000;2015;1950;
1500;4366;2789;2386;2219;2188;2059;2078;2059;2074;2149;2114;2143;
1600;4614;3001;2545;2371;2289;2230;2219;2240;2152;2278;2358;2254;
1700;4962;3135;2675;2523;2415;2423;2316;2344;2353;2313;2461;2365;
1800;5213;3239;2815;2591;2569;2461;2454;2470;2458;2371;2608;2571;
1900;5459;3426;3002;2775;2689;2616;2550;2603;2574;2615;2742;2738;
2000;5803;3690;3101;2961;2837;2771;2689;2720;2753;2632;2847;2844;
2100;6088;3826;3275;3009;2988;2877;2820;2790;2774;2804;2790;3001;
2200;6307;4010;3389;3181;3062;2985;2966;2921;2952;2915;2893;3156;
2300;6571;4204;3560;3374;3188;3142;3088;3074;3101;3028;3056;3244;
2400;6924;4351;3748;3460;3331;3215;3273;3153;3203;3187;3153;3225;
2500;7231;4570;3824;3594;3477;3377;3344;3255;3363;3268;3319;3239;
2600;7635;4699;4036;3776;3536;3493;3468;3376;3426;3389;3410;3295;
2700;7744;4883;4144;3825;3700;3573;3594;3499;3541;3604;3533;3482;
2800;8042;5000;4272;3983;3806;3714;3726;3607;3728;3694;3650;3660;
2900;8310;5205;4512;4102;3978;3848;3830;3844;3736;3872;3840;3862;
3000;8690;5436;4601;4273;4167;4002;3913;3907;3869;3915;3952;3927;
3100;8936;5601;4728;4365;4198;4139;4083;4094;3911;4079;4065;4050;
3200;9222;5755;4882;4534;4340;4261;4184;4142;4056;4154;4122;4151;
3300;9571;5861;5108;4672;4513;4419;4349;4328;4140;4243;4345;4198;
3400;9765;6136;5123;4787;4645;4514;4412;4374;4325;4274;4399;4364;
3500;10109;6167;5415;4977;4732;4611;4466;4552;4477;4419;4558;4648;
3600;10218;6421;5515;5098;4840;4735;4626;4700;4515;4556;4674;4637;
3700;10730;6605;5618;5206;5020;4957;4793;4773;4683;4667;4819;4824;
3800;11003;6754;5745;5340;5092;4981;4869;4898;4828;4770;4842;4897;
3900;11328;6958;5909;5524;5272;5189;4988;4976;4939;4926;4941;5062;
4000;11580;7168;6061;5560;5387;5362;5106;5109;5108;5124;5170;5147;
