N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;82;69;65;61;72;67;67;63;63;60;60;57;
200;240;130;132;121;132;113;156;145;126;135;131;123;
300;364;259;230;178;172;167;165;164;220;209;201;190;
400;501;275;252;237;257;223;243;217;216;303;312;258;
500;577;397;374;339;319;279;287;270;343;267;386;351;
600;568;519;457;398;342;367;330;327;322;382;391;477;
700;1064;490;507;418;444;431;427;390;398;372;484;446;
800;1026;678;483;477;503;445;436;432;475;557;537;422;
900;1167;575;693;512;569;553;531;520;484;479;475;1077;
1000;1307;829;625;697;1143;604;590;626;536;555;527;1196;
1100;1479;765;680;659;649;1306;597;648;637;587;583;755;
1200;1517;976;726;815;687;730;662;649;698;671;635;669;
1300;2297;1053;931;890;830;805;838;813;1551;690;775;714;
1400;1396;1239;999;906;1591;875;773;760;807;1587;740;737;
1500;2099;946;1040;1001;971;961;892;820;1622;800;1693;1692;
1600;2160;1349;1159;909;982;993;989;867;918;937;1007;1838;
1700;1998;1460;1042;1080;972;1046;1972;984;1884;899;898;1034;
1800;2331;1538;2388;1054;1022;1104;987;1102;1048;1070;1044;944;
1900;2565;1591;1375;1223;1099;1198;1044;1027;1020;1008;1093;1073;
2000;2876;1746;1448;1372;1290;1226;1218;1150;1160;1061;1053;1143;
2100;2904;1834;1489;1236;2580;1306;1160;1207;2429;1225;1167;1159;
2200;3216;1791;1604;1499;1385;1373;1205;1190;1178;1286;1165;1257;
2300;2883;3326;1617;1534;1468;1279;1422;1241;1361;1307;1259;1285;
2400;3203;1884;1725;1501;1521;1512;1413;1455;1385;1358;1265;1258;
2500;3225;2092;1777;1658;1598;1409;1489;1473;2842;1414;1389;1389;
2600;3485;2153;1852;1743;1597;1517;3000;1522;1503;1577;1449;2804;
2700;3625;2287;1949;1764;1517;1647;1614;1583;1640;1519;1427;1421;
2800;3775;2305;2034;1587;3333;1713;1679;1633;1624;1613;1486;1468;
2900;2793;2410;2183;1915;1814;1752;1754;1587;3192;1541;1612;1521;
3000;3772;4233;1833;1986;1877;1824;1874;1793;3349;1751;1652;1688;
3100;4008;2612;2133;2097;1930;3636;3583;1690;1835;1656;1711;1783;
3200;4595;2746;2345;2089;2133;1799;1936;1747;1840;3642;1695;1771;
3300;4417;2875;2364;2187;2109;2013;2048;2010;1771;1848;1846;1804;
3400;4415;2175;2402;2265;1943;1914;1988;2003;1957;1924;1901;1926;
3500;4276;2947;4545;4381;2250;4098;1914;4036;2068;1992;1933;1980;
