N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;10;8;6;5;5;4;4;4;5;4;4;4;
200;21;14;12;11;10;10;10;12;9;10;9;10;
300;31;21;17;17;16;19;14;14;15;14;14;15;
400;40;34;23;22;21;20;19;19;19;19;20;20;
500;50;34;30;27;26;25;25;24;24;25;25;25;
600;58;40;35;32;32;29;30;29;29;28;30;30;
700;69;47;39;37;36;34;35;35;34;34;35;36;
800;75;56;45;42;41;39;38;39;39;39;38;40;
900;84;60;52;46;52;46;42;44;43;44;44;47;
1000;99;67;58;53;53;50;49;48;48;49;48;51;
1100;101;68;59;55;55;53;52;53;51;52;54;54;
1200;113;73;65;60;58;55;56;59;55;57;58;59;
1300;125;81;69;65;62;61;62;62;62;62;63;64;
1400;126;92;77;72;69;67;66;65;65;67;66;67;
1500;143;93;78;76;74;70;70;70;72;71;75;76;
1600;145;99;87;79;77;75;75;75;76;76;78;80;
1700;156;104;90;86;83;80;82;81;82;84;83;86;
1800;176;111;98;90;88;85;84;86;85;87;88;90;
1900;176;116;104;96;97;90;89;91;93;92;95;96;
2000;195;127;109;103;100;95;96;94;96;98;100;102;
2100;197;133;111;105;106;100;99;99;102;105;103;104;
2200;215;131;117;110;108;102;105;104;104;105;109;109;
2300;215;143;124;118;117;110;108;109;108;110;112;116;
2400;220;141;126;119;115;112;112;117;113;114;117;117;
2500;233;149;133;128;125;117;117;119;120;126;123;125;
2600;247;159;140;133;124;120;125;119;130;126;127;131;
2700;248;160;139;136;136;125;127;127;131;130;132;133;
2800;259;171;149;141;140;131;134;133;133;137;138;141;
2900;277;182;160;153;147;141;141;145;145;147;151;152;
3000;290;190;166;159;156;146;148;149;151;153;156;157;
3100;323;192;167;162;158;151;153;153;153;155;160;161;
3200;317;199;182;162;164;153;156;158;162;161;162;168;
3300;321;203;173;167;165;159;164;163;160;165;167;169;
3400;325;205;177;168;164;159;160;161;160;168;169;172;
3500;338;208;182;173;173;167;163;164;167;166;171;173;
3600;326;207;182;173;167;165;165;165;167;168;175;177;
3700;343;219;191;180;179;170;175;171;172;177;185;189;
3800;360;221;197;184;181;174;177;176;177;181;184;188;
3900;353;237;200;184;183;176;185;178;186;186;185;191;
4000;366;226;200;188;185;178;181;179;180;186;192;192;
4100;381;228;202;189;188;182;188;181;185;200;195;195;
4200;381;250;213;203;194;188;193;189;190;194;199;204;
4300;383;251;218;203;201;195;201;197;199;201;206;220;
4400;405;252;216;207;207;196;200;200;200;210;211;213;
4500;410;249;222;207;209;201;204;204;203;212;214;221;
4600;428;254;228;222;221;212;213;219;213;225;222;227;
4700;427;264;235;226;220;215;218;217;217;221;228;225;
4800;436;271;241;231;229;218;221;217;224;226;228;233;
4900;449;274;241;230;234;216;226;223;224;235;233;234;
5000;447;275;241;228;227;215;226;222;223;229;231;234;
5100;472;277;240;237;236;226;231;235;231;234;241;243;
5200;463;296;256;245;245;236;238;237;239;245;250;254;
5300;489;305;262;255;252;240;245;247;249;253;256;256;
5400;491;302;262;255;250;242;243;245;245;247;254;260;
5500;518;315;272;270;260;255;260;256;260;265;273;274;
5600;508;318;272;267;262;252;264;255;261;265;272;269;
5700;531;327;286;287;278;260;263;263;265;273;274;280;
5800;527;338;285;280;273;262;262;266;265;280;283;282;
5900;532;330;287;287;280;261;261;262;265;274;282;282;
6000;540;338;291;284;281;268;276;277;283;285;293;294;
6100;568;333;292;291;286;272;279;274;279;284;293;291;
6200;575;349;301;293;290;277;279;281;284;296;297;304;
6300;578;359;308;298;302;285;285;287;297;299;300;309;
6400;585;361;311;298;297;280;293;289;294;299;309;313;
6500;596;361;310;312;308;285;291;296;297;304;307;315;
6600;590;374;322;312;314;296;291;296;301;324;319;324;
6700;601;383;323;309;315;302;296;297;304;308;311;314;
6800;607;380;324;310;315;300;308;303;313;319;323;322;
6900;618;386;333;326;329;311;314;318;316;324;332;336;
7000;658;394;345;334;323;319;328;317;326;331;337;340;
7100;627;391;343;327;327;316;317;313;317;325;329;333;
7200;656;387;351;334;336;327;330;323;336;338;340;358;
7300;683;412;357;341;346;332;338;334;340;347;360;365;
7400;686;427;373;357;356;346;351;346;364;363;374;378;
7500;730;439;378;364;361;351;352;346;351;358;365;370;
7600;708;430;369;355;360;344;351;352;351;358;367;369;
7700;694;434;383;365;358;341;352;351;351;366;374;376;
7800;732;451;389;373;372;360;360;370;375;374;384;388;
7900;741;456;400;384;378;372;376;374;386;394;402;404;
8000;785;474;409;392;393;379;386;377;385;392;401;407;
8100;778;464;409;398;403;381;384;380;386;395;402;399;
8200;784;464;401;387;387;375;382;375;376;395;410;407;
8300;789;483;422;402;396;387;392;391;387;400;409;410;
8400;779;476;431;406;398;392;400;393;395;408;418;419;
8500;812;487;421;406;409;385;399;392;396;404;410;425;
8600;801;488;421;403;401;385;394;399;398;410;418;425;
8700;799;470;421;407;411;396;397;396;406;416;422;428;
8800;816;503;448;428;432;407;422;423;423;435;437;445;
8900;849;501;437;425;429;409;415;415;414;425;428;435;
9000;851;515;432;430;427;414;421;415;410;428;442;442;
9100;838;507;443;435;435;413;416;415;421;435;442;444;
9200;842;516;455;445;429;418;422;421;423;425;446;443;
9300;862;509;460;449;437;423;430;436;437;441;449;457;
9400;889;539;464;461;454;445;440;445;446;460;464;474;
9500;904;537;493;472;461;439;448;459;462;454;471;479;
9600;912;569;503;486;474;456;466;468;469;477;485;494;
9700;939;581;490;482;481;462;466;473;474;474;487;490;
9800;934;571;488;484;478;473;467;461;465;473;492;497;
9900;927;563;491;469;473;455;474;475;477;485;489;493;
10000;944;568;499;487;483;472;473;475;474;483;497;505;
