N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;3.316625;10.630146;1.732051;1.732051;1.414214;1.732051;1.732051;1.732051;6.782330;1.414214;1.414214;1.414214;
200;6.244998;4.358899;3.464102;3.162278;3.000000;2.645751;11.045361;25.514702;2.828427;2.645751;2.645751;2.828427;
300;16.370706;6.164414;4.898979;4.690416;4.358899;41.182521;4.242641;4.358899;13.341664;4.000000;3.741657;3.741657;
400;13.266499;66.902915;6.480741;5.916080;5.385165;5.000000;5.099020;5.196152;5.291503;5.099020;4.898979;5.385165;
500;16.552945;8.602325;7.483315;7.071068;7.141428;6.324555;6.324555;6.480741;6.324555;7.071068;6.164414;7.000000;
600;23.216374;10.198039;11.357817;7.874008;11.747340;7.615773;7.416198;7.416198;7.483315;7.745967;7.483315;7.280110;
700;16.031220;11.958261;10.099505;9.110434;9.273618;8.306624;8.000000;9.899495;8.485281;9.000000;8.366600;8.485281;
800;19.672316;29.257478;11.445523;10.392305;10.099505;9.746794;9.539392;9.539392;9.219544;9.486833;10.677078;10.440307;
900;22.605309;27.513633;14.560220;13.076697;59.883220;25.690465;11.704700;13.711309;10.908712;12.922848;11.532563;18.439089;
1000;44.766059;33.075671;18.193405;13.601471;17.058722;16.733201;13.379088;12.609520;13.601471;13.711309;12.961481;13.784049;
1100;28.982753;17.776389;16.370706;14.212670;14.387495;13.190906;14.317821;13.674794;14.525839;14.282857;15.132746;14.387495;
1200;43.840620;20.542639;17.262677;15.427249;15.811388;15.066519;14.456832;27.531800;16.278821;15.099669;15.588457;15.524175;
1300;40.236799;21.142375;16.970563;18.681542;16.217275;18.520259;15.427249;15.968719;14.966630;16.155494;16.093477;15.716234;
1400;36.000000;41.388404;26.381812;30.049958;17.435596;30.935417;17.175564;17.117243;16.309506;16.792856;17.691806;17.720045;
1500;50.764161;24.331050;22.181073;20.445048;19.026298;18.165902;18.110770;18.330303;17.635192;18.947295;18.841444;20.396078;
1600;38.405729;25.199206;21.447611;20.591260;20.273135;20.928450;17.832555;19.313208;18.330303;18.947295;18.654758;19.313208;
1700;41.844952;25.690465;23.065125;22.158520;21.725561;18.894444;26.248809;20.736441;20.371549;26.248809;20.952327;22.671568;
1800;63.403470;28.266588;24.166092;23.494680;24.248711;22.583180;22.315914;27.964263;21.908902;21.424285;21.330729;22.825424;
1900;44.034078;29.342802;31.256999;29.034462;38.704005;21.517435;22.203603;28.583212;31.368774;24.372115;23.579652;22.649503;
2000;66.128662;40.890097;28.372522;25.337719;24.779023;23.194827;24.103942;23.108440;23.494680;24.819347;24.617067;25.298221;
2100;48.166378;44.721360;27.928480;26.153394;29.597297;25.826343;26.758176;25.377155;25.436195;29.427878;27.294688;26.795522;
2200;67.609171;41.352146;31.048349;27.658633;27.820855;26.229754;26.832816;26.608269;26.832816;26.758176;27.513633;29.068884;
2300;68.891219;43.046487;39.849718;40.087405;44.317040;50.596443;28.284271;28.000000;28.319605;28.844410;29.899833;28.722813;
2400;58.120564;38.327536;30.331502;29.257478;29.664794;28.809721;28.879058;43.312816;28.982753;30.083218;30.116441;30.757113;
2500;65.795137;38.535698;34.161382;40.583248;42.272923;29.461840;29.681644;29.949958;29.291637;51.088159;31.256999;31.160873;
2600;66.324958;40.311289;44.855323;39.912404;32.419130;30.577770;35.355339;33.045423;50.774009;30.951575;30.854497;31.208973;
2700;65.130638;42.860238;36.318040;37.536649;55.299186;31.416556;32.280025;32.155870;38.961519;33.030289;33.060551;33.406586;
2800;69.713700;44.743715;38.987177;33.985291;31.448370;30.724583;31.064449;31.480152;31.622777;31.796226;32.756679;34.146742;
2900;73.742796;52.067264;42.225585;42.544095;32.969683;30.479501;31.176915;31.432467;28.513155;32.542280;31.827661;33.075671;
3000;65.145990;37.215588;39.635842;39.698866;40.484565;30.397368;29.916551;30.479501;31.240999;32.649655;34.467376;32.680269;
3100;112.312065;39.623226;37.322915;33.256578;32.557641;30.495901;30.805844;33.808283;32.939338;35.496479;33.316662;35.085610;
3200;68.447060;45.420260;71.812255;36.932371;38.665230;34.741906;35.071356;51.156622;44.147480;35.099858;43.370497;42.871902;
3300;85.831230;51.759057;39.698866;37.161808;37.483330;33.271610;39.458839;39.874804;40.706265;39.949969;47.592016;43.104524;
3400;85.011764;60.008333;49.558047;42.190046;41.569219;39.522146;37.920970;39.749214;40.336088;49.558047;43.243497;45.011110;
3500;99.869915;63.261363;43.931765;41.545156;43.531598;44.676616;43.243497;41.809090;43.023250;43.243497;46.861498;45.607017;
3600;85.334635;55.199638;49.628621;42.930176;44.237993;40.521599;41.170378;42.708313;43.485630;44.844175;45.705580;46.604721;
3700;103.537433;59.211485;55.560778;47.138095;46.173586;43.646306;48.321838;45.760245;46.184413;45.738387;46.914816;62.777384;
3800;96.731587;66.550733;48.528342;47.434165;47.518417;43.543082;44.777226;47.979162;46.989360;46.978719;48.548944;48.518038;
3900;92.757749;82.371111;64.039051;52.067264;51.623638;46.989360;54.899909;46.658333;71.035203;52.592775;51.449004;52.697249;
4000;108.240473;61.449166;59.000000;51.283526;48.692915;47.623524;49.568135;50.467812;50.388491;52.268537;58.163562;53.795911;
4100;130.180644;64.776539;57.227616;52.105662;54.184869;60.621778;50.368641;51.478151;51.623638;112.729765;53.953684;55.578773;
4200;106.400188;83.624159;59.101607;105.796975;53.207142;49.517674;51.283526;50.744458;50.960769;53.544374;54.037024;54.479354;
4300;105.185550;69.224273;61.951594;50.616203;50.970580;50.079936;51.185936;52.096065;51.068581;56.780278;54.635154;78.714675;
4400;112.436649;75.226325;60.049979;59.203040;59.916609;53.646994;53.544374;52.220686;53.990740;55.108983;57.367238;54.561891;
4500;109.421205;65.337585;57.610763;56.115951;55.407581;53.935146;54.277067;57.532599;54.064776;54.845237;57.913729;68.767725;
4600;112.778544;70.519501;58.403767;59.481089;57.645468;59.118525;54.037024;60.844063;52.971691;60.390397;58.309519;57.078893;
4700;109.599270;67.104396;64.707032;62.481997;56.718604;59.312731;61.269895;60.365553;55.848008;57.541290;56.947344;60.415230;
4800;120.813906;72.214957;63.142696;59.118525;61.895073;55.335341;57.956881;57.619441;63.718129;61.400326;60.819405;60.299254;
4900;123.405835;88.605869;81.694553;62.321746;66.490601;59.228372;81.914590;58.898217;56.964901;72.235725;61.457302;64.327288;
5000;125.590605;86.959761;66.670833;60.116553;67.446275;61.229078;61.245408;62.305698;66.370174;67.720012;67.052218;67.007462;
5100;150.718280;76.883028;72.367120;69.318107;70.774289;63.007936;64.350602;79.126481;71.028163;68.051451;68.614867;67.379522;
5200;135.547040;79.718254;71.119618;66.565757;66.700825;62.080593;62.249498;61.660360;61.424751;63.142696;64.799691;63.498031;
5300;135.059246;78.822586;63.851390;64.023433;62.056426;66.738295;60.083276;66.460515;65.199693;74.141756;72.090221;80.355460;
5400;126.388291;79.918709;74.826466;79.422919;72.443081;70.000000;74.424458;69.835521;68.534663;68.934752;71.812255;76.615925;
5500;138.899244;81.086374;76.006579;96.072889;70.788417;69.274815;70.774289;73.252986;72.979449;69.282032;71.217975;73.620649;
5600;140.641388;88.051122;77.323994;72.076348;68.862181;66.226883;80.237149;66.887966;66.535705;68.014704;70.844901;74.215901;
5700;133.540256;77.813881;67.022384;83.138439;71.603073;63.898357;70.035705;66.241981;71.042241;66.685831;70.554943;68.949257;
5800;142.720006;95.603347;72.304910;70.178344;77.427385;68.658576;70.738957;68.607580;71.819217;77.375707;75.153177;78.057671;
5900;142.186497;92.417531;79.899937;81.596569;75.557925;70.049982;75.637292;71.253070;73.362116;73.341666;77.071395;77.000000;
6000;158.971696;92.173749;77.801028;73.423430;74.746237;72.897188;73.396185;73.396185;74.202426;75.841941;80.448741;82.909589;
6100;156.668440;89.022469;79.429214;82.395388;82.945765;72.553429;75.815566;73.871510;73.355300;75.841941;74.128267;79.284299;
6200;184.756597;88.504237;75.438717;77.071395;76.896034;73.430239;74.276510;74.444610;81.510735;77.672389;80.305666;78.096095;
6300;145.303131;105.271079;82.559070;80.727938;89.173987;77.317527;77.349855;80.808415;84.208076;81.602696;84.445249;89.056162;
6400;167.176553;104.919016;86.336551;81.688432;83.060219;80.037491;84.249629;80.616376;81.792420;83.468557;86.902244;86.284413;
6500;168.766110;100.334441;87.652724;92.265920;83.964278;79.347338;80.690768;80.925892;81.884064;85.328776;93.936149;86.498555;
6600;164.915130;103.701495;92.676858;83.228601;90.410176;85.656290;86.550563;84.917607;86.648716;126.672807;96.187317;89.168380;
6700;164.240677;110.317723;87.567117;93.439820;94.371606;81.987804;84.113019;84.077345;85.035287;95.346736;89.543286;88.600226;
6800;172.423896;107.837841;90.316112;88.955045;89.988888;90.520716;87.538563;88.090862;92.010869;92.352585;93.145048;93.000000;
6900;184.423426;111.305885;93.134312;92.698436;90.410176;83.174515;99.634331;87.715449;87.034476;88.673559;92.395887;94.132885;
7000;174.756974;101.577557;84.917607;83.988094;94.968416;83.282651;81.908486;86.527452;87.160771;86.723699;89.291657;95.210294;
7100;173.366663;120.830460;94.085068;99.171569;89.319651;86.000000;84.308956;86.521674;87.914731;92.833184;93.626919;97.226540;
7200;196.545160;112.026783;88.893194;88.073833;88.543774;87.948849;87.355595;89.504190;88.572005;92.309263;95.089432;90.939540;
7300;188.010638;106.742681;90.879040;91.869473;95.864488;84.717177;84.539931;84.852814;86.272823;84.664042;88.639720;92.368826;
7400;180.599003;110.177130;94.180677;88.017044;86.683332;85.047046;88.667920;86.342342;101.759520;83.096330;97.139076;93.984041;
7500;172.011628;109.192491;92.211713;88.357229;87.897668;83.809307;84.805660;82.522724;87.709749;84.622692;94.339811;91.531415;
7600;181.848838;121.033053;95.367709;95.937480;101.143462;95.676538;95.367709;92.282176;91.836812;93.080610;98.883770;92.660671;
7700;182.408881;121.061968;97.887691;94.292099;91.120799;88.983144;84.468929;83.868945;85.492690;91.203070;107.219401;98.086696;
7800;178.779193;110.779059;86.452299;82.571181;90.994505;93.941471;87.607077;90.066642;91.405689;88.340251;89.397987;93.182616;
7900;156.939479;99.000000;87.835073;85.363927;82.776808;76.406806;78.358152;79.341036;79.158070;78.428311;74.511744;78.816242;
8000;144.065957;107.596468;83.874907;81.975606;86.492774;89.409172;88.187301;84.610874;85.860352;89.515362;93.968080;93.064494;
8100;189.391130;103.841225;91.427567;88.865066;100.209780;86.602540;89.771933;91.716956;90.199778;97.020616;97.749680;99.373035;
8200;190.564950;114.621115;97.770139;100.384262;91.104336;95.519631;97.200823;90.978019;90.824006;88.153276;94.857788;94.201911;
8300;169.740979;117.059814;102.318131;89.766363;94.630862;92.460803;94.413982;96.363894;96.721249;95.372952;104.885652;104.187331;
8400;197.486708;118.549568;113.207774;90.686272;95.963535;94.069124;107.004673;94.456339;89.749652;96.932967;102.332790;106.155546;
8500;230.236835;122.918672;99.166527;104.723445;94.556861;95.692215;98.305646;93.786993;93.978721;96.674712;106.686456;116.447413;
8600;188.005319;130.809021;98.807894;97.672924;101.271911;95.399161;97.015463;100.990099;95.749674;108.944940;104.923782;107.814656;
8700;211.499409;118.814982;112.658777;103.232747;107.252040;105.427700;105.763888;99.368003;101.113797;105.508294;103.932671;106.146126;
8800;198.426309;112.729765;108.871484;98.534258;95.068396;98.498731;92.016303;100.806746;99.136270;101.705457;104.627912;106.221467;
8900;197.994949;118.705518;102.985436;98.463191;100.781943;94.413982;99.979998;100.940577;107.051390;102.800778;105.109467;109.174173;
9000;215.965275;118.810774;117.004273;107.196082;104.216122;109.022933;108.715224;109.959083;113.578167;114.175304;118.152444;119.323091;
9100;222.623000;130.222886;114.026313;115.208507;107.652218;104.201727;110.217966;111.395691;105.612499;110.512443;111.485425;115.641688;
9200;212.678161;132.287566;122.812866;130.736376;108.309741;111.274436;109.306907;112.427755;114.433387;115.589792;116.670476;125.610509;
9300;209.587690;131.076314;109.197070;113.181271;111.049538;114.860785;114.695248;112.685403;114.965212;118.067777;120.540450;118.211675;
9400;227.349951;130.249760;111.099055;112.658777;109.922700;111.480940;104.670913;107.046719;105.009523;109.704148;118.852850;125.403349;
9500;216.933169;127.831921;121.868782;118.444080;103.927860;96.405394;100.970293;101.582479;109.110036;109.229117;104.115321;103.305373;
9600;186.016128;130.678996;106.127282;100.374299;91.885799;93.813645;90.906545;92.935461;95.184032;99.312638;104.379117;108.268186;
9700;211.229733;136.561342;107.144762;90.133235;88.780629;89.089842;96.643675;100.846418;95.760117;103.889364;100.866248;107.912001;
9800;189.293423;136.671138;105.924501;100.935623;108.383578;134.803561;107.168092;105.763888;103.749699;113.626581;108.535708;116.918775;
9900;211.841922;136.872203;114.337221;108.664622;103.121288;104.604015;134.874015;112.720894;110.837719;112.401068;109.713263;119.390117;
10000;197.861062;117.889779;120.129097;115.576814;108.457365;114.205954;115.321290;118.439858;115.965512;116.558998;116.314230;119.507322;
