N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;25;112;11;9;8;9;11;14;72;7;8;10;
200;39;21;21;18;17;19;117;265;19;17;16;17;
300;171;35;26;35;23;427;25;28;142;23;22;24;
400;124;696;37;42;33;32;31;36;40;31;31;35;
500;160;54;48;46;41;37;39;40;41;55;40;41;
600;228;61;110;43;124;45;44;41;43;40;45;43;
700;123;68;54;51;54;47;50;96;47;53;54;53;
800;99;315;68;60;59;66;57;57;53;55;59;62;
900;134;289;127;67;636;273;64;124;66;100;73;193;
1000;425;280;140;73;164;151;86;78;92;106;73;105;
1100;172;99;83;78;75;80;82;83;75;88;88;79;
1200;347;112;87;81;81;78;80;294;116;87;89;88;
1300;390;118;93;140;88;159;89;95;94;92;104;82;
1400;185;346;238;282;97;326;109;97;88;91;93;95;
1500;403;135;134;114;112;107;107;115;113;115;138;163;
1600;231;142;120;102;103;177;96;104;103;98;107;118;
1700;240;159;121;115;112;108;261;148;140;220;117;168;
1800;428;162;143;132;143;122;123;270;135;126;132;147;
1900;271;200;293;264;327;122;123;274;315;140;143;155;
2000;546;332;227;141;140;137;140;132;149;142;147;145;
2100;261;452;164;154;263;209;157;155;162;238;159;166;
2200;482;344;228;169;153;156;168;160;160;167;165;171;
2300;446;331;369;393;459;529;168;175;180;168;167;183;
2400;351;231;201;163;158;163;172;445;174;169;177;164;
2500;450;225;243;351;379;162;172;169;176;539;184;182;
2600;472;290;373;369;182;160;297;174;425;174;170;178;
2700;383;241;188;310;575;166;192;176;342;175;182;188;
2800;476;358;346;185;187;180;187;185;186;180;178;207;
2900;546;381;374;355;205;190;191;267;189;239;219;221;
3000;544;282;324;354;374;188;202;206;232;233;240;241;
3100;993;264;319;262;225;213;214;233;232;231;243;246;
3200;545;323;750;237;332;226;229;488;358;245;379;390;
3300;604;497;240;217;235;219;316;326;242;261;407;308;
3400;629;512;399;296;226;239;237;237;256;458;267;278;
3500;624;410;255;240;358;384;287;296;273;258;291;287;
3600;501;304;263;256;247;240;260;258;273;271;281;282;
3700;698;445;424;270;256;248;391;268;257;267;298;632;
3800;607;499;310;293;289;260;283;358;270;269;259;295;
3900;544;688;453;291;293;278;420;282;714;310;314;321;
4000;734;391;445;272;254;249;310;307;285;286;398;304;
4100;762;320;304;261;268;503;260;255;271;1180;293;274;
4200;692;518;328;1124;290;288;272;281;286;281;320;329;
4300;622;480;452;284;272;290;316;309;289;370;291;735;
4400;656;518;361;406;477;315;319;318;310;334;301;308;
4500;718;340;311;284;281;275;279;391;288;296;307;594;
4600;704;374;315;448;405;425;296;470;282;417;356;358;
4700;701;364;445;448;296;424;455;430;301;332;324;334;
4800;753;522;383;339;419;318;311;328;441;340;348;337;
4900;731;599;716;330;458;366;804;330;307;541;334;356;
5000;726;513;393;313;479;303;368;344;371;439;342;346;
5100;973;392;351;400;453;319;340;708;435;379;371;370;
5200;736;477;448;357;441;342;329;381;410;414;363;344;
5300;871;517;412;350;335;460;333;444;394;487;499;546;
5400;752;443;501;528;436;425;494;393;360;354;386;456;
5500;804;480;444;922;430;401;474;427;445;394;451;466;
5600;859;669;452;471;360;380;679;363;401;383;412;453;
5700;873;451;478;616;486;382;514;376;464;356;381;389;
5800;890;676;421;520;486;411;354;368;372;557;433;436;
5900;872;533;504;542;444;375;368;369;371;399;436;405;
6000;921;672;398;401;414;396;459;396;441;431;538;566;
6100;1003;482;405;651;548;364;485;417;420;412;401;405;
6200;1001;572;428;455;429;416;420;410;432;435;440;444;
6300;867;700;525;434;565;475;419;453;534;435;451;520;
6400;967;642;484;414;529;407;571;456;455;489;497;468;
6500;930;598;461;614;516;390;397;510;404;452;596;518;
6600;896;636;556;442;535;516;412;440;471;1174;657;488;
6700;917;680;491;577;715;500;458;473;533;747;464;435;
6800;914;644;526;475;485;593;476;455;527;525;557;527;
6900;1075;784;538;644;557;480;832;526;541;515;511;545;
7000;1012;642;479;512;517;449;535;481;482;483;480;585;
7100;914;673;487;583;598;505;430;425;464;492;500;528;
7200;1238;736;485;467;477;478;493;525;553;566;488;539;
7300;1076;754;534;458;574;516;476;451;446;477;554;580;
7400;1023;674;590;567;588;570;590;594;960;599;789;764;
7500;1127;875;639;583;577;567;515;475;494;510;559;555;
7600;1076;732;508;523;550;619;595;531;531;527;535;547;
7700;1049;710;599;591;555;487;497;471;468;611;775;597;
7800;1059;735;505;489;588;743;520;611;550;567;577;575;
7900;1073;719;708;634;505;475;470;478;584;641;498;516;
8000;1107;690;597;541;744;761;636;497;604;616;573;627;
8100;1273;637;556;580;653;548;572;590;593;638;640;587;
8200;1175;643;531;547;522;670;596;497;501;525;657;554;
8300;1209;794;693;531;542;642;637;595;531;534;669;630;
8400;1142;773;794;520;519;600;900;548;543;539;638;578;
8500;1757;802;609;692;602;571;660;558;537;573;585;1025;
8600;1185;874;577;547;564;537;610;625;537;651;598;599;
8700;1285;651;734;633;676;705;582;545;597;618;572;606;
8800;1193;711;809;707;701;592;607;639;616;632;592;656;
8900;1363;774;603;559;668;527;545;590;665;570;582;589;
9000;1271;780;678;589;589;724;618;665;608;772;743;673;
9100;1199;738;635;705;664;620;612;624;619;664;659;674;
9200;1162;785;806;978;616;704;646;671;674;624;616;794;
9300;1408;710;628;736;622;704;691;657;653;690;716;673;
9400;1311;828;667;749;686;717;628;594;607;591;730;849;
9500;1375;761;777;912;619;566;640;655;869;635;602;602;
9600;1222;874;898;733;616;583;662;646;624;638;685;721;
9700;1488;882;696;639;633;646;665;714;652;656;646;683;
9800;1252;877;619;663;822;1329;688;602;607;676;766;785;
