N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;3;2;2;3;2;1;1;1;2;2;1;1;
200;6;4;4;4;3;4;3;3;3;3;5;5;
300;9;10;9;6;4;4;4;4;4;4;5;8;
400;12;11;7;5;11;7;5;6;6;6;10;8;
500;12;16;9;14;8;12;8;12;14;13;13;7;
600;21;13;18;9;17;16;9;13;16;9;16;15;
700;33;16;13;19;10;11;18;19;18;10;18;10;
800;22;16;13;12;22;11;12;11;21;21;12;21;
900;42;28;26;14;23;23;13;24;23;18;24;24;
1000;27;18;18;16;27;15;14;14;14;15;15;26;
1100;32;35;18;29;17;28;15;29;16;25;29;29;
1200;57;37;33;32;27;17;17;31;18;18;31;33;
1300;62;24;37;20;35;19;20;25;34;19;34;27;
1400;36;41;21;38;37;35;36;20;36;36;21;22;
1500;64;20;23;23;35;22;34;22;38;39;39;41;
1600;43;48;27;24;23;40;40;23;41;42;43;43;
1700;41;55;46;25;23;42;44;43;44;44;25;46;
1800;52;34;51;27;28;25;24;46;46;46;47;48;
1900;91;58;56;27;48;48;48;48;28;29;29;51;
2000;91;60;58;29;29;50;51;51;50;51;52;31;
2100;58;68;32;54;55;52;52;30;53;55;32;55;
2200;102;41;35;57;57;30;50;56;29;34;33;52;
2300;58;68;60;32;59;56;34;33;57;34;35;63;
2400;65;37;69;65;43;44;63;60;35;63;64;65;
2500;70;44;69;68;56;35;63;63;64;37;66;39;
2600;109;82;69;71;68;35;66;37;66;69;67;69;
2700;112;81;71;73;59;66;69;68;42;69;71;72;
2800;129;87;73;36;74;70;70;68;71;64;75;74;
2900;80;49;80;78;74;72;40;38;76;43;76;43;
3000;146;94;77;79;80;71;76;77;75;77;45;79;
3100;144;98;46;84;81;77;79;80;45;45;84;83;
3200;155;55;86;85;47;80;80;44;82;84;85;85;
3300;86;109;52;87;83;83;84;83;47;87;89;88;
3400;134;82;92;81;62;47;48;73;48;89;52;52;
3500;101;64;97;95;90;84;50;87;89;92;56;55;
3600;164;49;57;95;89;91;91;51;91;93;95;96;
3700;170;120;65;53;92;90;95;50;53;81;98;58;
3800;155;93;100;83;56;97;95;92;56;98;58;103;
3900;168;117;78;86;56;98;99;99;98;56;101;59;
4000;137;115;110;57;104;101;104;61;102;86;104;106;
4100;106;106;108;91;60;60;106;65;57;58;108;64;
4200;110;71;63;107;109;105;59;104;106;63;112;113;
4300;108;131;115;111;108;106;109;62;109;109;64;68;
4400;188;128;65;62;113;61;62;112;112;114;68;118;
4500;195;125;125;65;117;65;113;64;100;117;117;119;
4600;205;78;128;67;119;114;119;115;113;118;121;121;
4700;179;78;127;72;117;65;63;69;71;64;124;127;
4800;126;81;124;122;125;119;67;123;122;124;125;128;
4900;149;62;74;129;129;66;124;122;127;127;116;78;
5000;135;82;117;127;127;68;127;125;72;129;132;79;
5100;228;156;73;129;71;63;128;69;73;118;133;139;
5200;131;148;135;75;133;69;71;73;131;135;137;138;
5300;233;87;144;127;78;77;136;136;133;78;139;81;
