N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;377;289;253;265;263;251;257;236;250;254;257;257;
200;852;612;537;518;530;484;514;496;491;490;490;506;
300;1300;936;816;770;756;747;762;736;757;757;742;733;
400;1797;1270;1127;1034;1041;969;977;1003;960;1027;1004;974;
500;2279;1557;1399;1324;1238;1254;1183;1233;1276;1199;1284;1263;
600;2694;1875;1666;1557;1520;1471;1458;1378;1441;1483;1472;1537;
700;3211;2203;1954;1818;1737;1691;1687;1629;1699;1734;1705;1641;
800;3804;2509;2249;2033;1972;1930;1929;1936;1873;1943;2000;1914;
900;4177;2847;2489;2321;2235;2190;2171;2217;2153;2091;2212;2178;
1000;4785;3170;2806;2602;2522;2374;2379;2371;2403;2333;2421;2447;
1100;5191;3465;3011;2840;2772;2681;2614;2597;2606;2565;2542;2700;
1200;5639;3823;3363;3149;2945;2922;2882;2810;2867;2859;2797;2859;
1300;6229;4081;3552;3376;3236;3158;3096;3071;3089;3025;3003;2962;
1400;6711;4490;3856;3587;3510;3319;3292;3285;3295;3330;3281;3201;
1500;7241;4811;4197;3907;3766;3599;3629;3542;3456;3477;3532;3476;
1600;7723;5144;4379;4114;3931;3830;3815;3775;3701;3801;3764;3764;
1700;8163;5475;4657;4394;4188;4049;3999;3988;3917;3912;3950;3990;
1800;8895;5750;4864;4643;4475;4320;4252;4248;4187;4050;4217;4247;
1900;8997;5949;5183;4854;4710;4621;4451;4418;4351;4342;4422;4514;
2000;9849;6370;5623;5148;4957;4768;4677;4688;4653;4588;4647;4710;
2100;10264;6783;5837;5384;5207;5100;4979;4885;4925;4792;4686;4949;
2200;10711;7046;6047;5672;5464;5305;5214;5116;5121;5074;4974;5096;
2300;11323;7354;6316;6039;5733;5515;5457;5300;5401;5284;5175;5345;
2400;11670;7702;6624;6264;5997;5807;5642;5597;5593;5461;5376;5426;
2500;12205;8026;6914;6369;6180;6071;5889;5777;5731;5750;5635;5622;
2600;12716;8362;7257;6662;6376;6242;6195;6030;6058;5969;5893;5864;
2700;13507;8585;7376;6962;6601;6428;6336;6246;6269;6224;6098;6094;
2800;13744;8970;7706;7136;6840;6745;6690;6417;6448;6452;6375;6278;
2900;14391;9360;8060;7496;7134;6963;6825;6637;6619;6680;6653;6566;
3000;15059;9745;8324;7719;7434;7265;7080;6964;6914;6867;6828;6764;
3100;15182;10030;8652;7879;7584;7508;7277;7201;7047;7032;7028;6961;
3200;16005;10388;8804;8178;7848;7617;7465;7480;7210;7325;7358;7155;
3300;16344;10571;9182;8460;8086;7938;7787;7607;7560;7482;7629;7476;
3400;16836;10983;9388;8830;8425;8113;7992;7891;7780;7759;7757;7684;
3500;17156;11189;9755;9110;8731;8489;8240;8151;7977;7906;8046;7942;
3600;17965;11628;9806;9271;8858;8600;8479;8434;8283;8110;8247;8175;
3700;18549;11704;10302;9499;9211;8822;8686;8630;8422;8375;8448;8460;
3800;19231;12223;10536;9842;9378;9174;8842;8872;8719;8666;8565;8631;
3900;19761;12587;10858;10075;9602;9377;9127;9067;8894;8808;8819;8835;
4000;19862;12842;11078;10379;9830;9576;9403;9370;9155;9103;9018;8911;
4100;20618;13204;11340;10467;10136;9954;9539;9465;9392;9301;9254;9154;
4200;21099;13559;11815;10749;10210;10083;9929;9725;9648;9469;9393;9539;
4300;21614;14029;11919;11158;10695;10406;10045;9836;9887;9669;9620;9760;
4400;22348;14336;12273;11311;10859;10431;10204;10210;10127;9839;9808;9867;
4500;22636;14466;12431;11604;11073;10611;10565;10418;10362;10084;9938;10181;
4600;22711;14742;12847;11997;11393;11011;10820;10485;10355;10491;10323;10350;
4700;23266;15247;13063;11918;11636;11043;10960;10709;10750;10623;10488;10623;
4800;23995;15436;13281;12310;11834;11439;11326;11144;11104;10850;10654;10781;
4900;24639;15571;13716;12708;12120;11665;11537;11389;11242;11025;11037;10898;
5000;25384;16022;13821;12767;12276;11850;11714;11620;11454;11417;11159;11036;
5100;25645;16380;13982;13058;12413;12185;12083;11717;11660;11609;11415;11288;
5200;26340;16719;14244;13428;12713;12416;11988;12006;11871;11743;11713;11522;
5300;27052;16995;14708;13710;13118;12611;12478;12241;12132;12031;11877;11721;
5400;26912;17396;14999;13958;13215;12838;12493;12493;12360;12333;11900;11951;
5500;28013;17650;15150;14041;13516;12950;13009;12732;12382;12327;12380;12165;
