N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;95.692215;55.596762;63.015871;60.091597;59.126982;57.497826;55.443665;62.185207;46.465041;56.169387;69.397406;63.914005;
200;118.359621;81.277303;89.749652;79.504717;91.771455;89.370017;76.105190;78.185676;98.772466;81.252692;83.480537;81.221918;
300;213.168947;140.214122;137.491818;114.035082;105.617233;144.274045;98.888826;96.270452;98.737024;110.765518;111.660199;99.307603;
400;222.333083;125.960311;135.587610;128.222463;109.032105;123.247718;186.831475;122.653985;133.581436;117.690271;123.689126;129.769026;
500;284.534708;185.070257;149.264865;107.247378;136.905077;125.047991;181.648011;175.099971;136.161669;138.877644;87.509999;110.950439;
600;360.914117;256.540445;204.164150;164.106673;126.617534;201.551482;194.930757;240.091649;225.988938;222.755471;177.115781;149.509197;
700;442.865668;237.758281;160.427554;172.136574;190.265604;180.950269;226.662745;249.935992;210.921786;175.803868;255.448625;225.603635;
800;265.516478;351.432782;219.865868;258.625211;273.170277;207.701709;237.333099;192.668108;190.701337;246.369641;156.674822;194.172604;
900;516.253814;282.706562;201.779583;244.325602;234.770100;236.691783;137.535450;138.992806;192.171798;170.637042;200.124961;216.571005;
1000;443.485062;331.920171;210.952601;272.684800;149.676317;339.799941;187.691236;316.295748;235.955504;268.070886;209.864242;217.678662;
1100;544.876133;401.637897;372.032257;259.281700;157.289542;251.882909;248.088694;271.337428;286.080408;320.795885;248.610137;189.683948;
1200;698.948496;359.808282;264.877330;178.860281;352.410272;268.188367;182.455474;224.733175;235.751988;234.772230;275.201744;285.690392;
1300;538.503482;544.323433;378.067454;310.156412;294.850810;174.367428;294.448637;181.251207;289.523747;339.596820;368.966123;332.513158;
1400;685.479394;413.054476;355.471518;386.745394;196.799390;425.438597;427.252853;258.484042;88.966286;264.013257;314.148054;308.017857;
1500;754.926486;441.823494;238.275051;104.009615;286.270851;373.412640;91.214034;270.116641;318.730294;471.395800;285.809377;278.905002;
1600;682.108496;407.671436;500.791374;395.617239;424.903518;347.528416;296.462477;221.022623;287.403897;223.273375;303.942429;212.256920;
1700;801.360094;332.222817;479.252543;401.331534;488.166980;463.512675;422.916067;369.127349;364.732779;424.716376;478.108774;226.881026;
1800;566.408863;517.859054;613.994300;348.505380;327.810921;414.895167;316.196142;325.250673;242.055779;466.089047;404.833299;249.717841;
1900;1091.339544;736.512729;617.009724;505.442380;347.292384;251.093608;400.545878;521.480584;512.632422;351.555117;343.768818;107.130761;
2000;637.673898;575.797708;314.763403;540.938074;448.757173;499.874984;353.942086;359.692925;354.314832;266.015037;353.508133;273.388003;
2100;922.936076;512.069331;448.006696;490.390661;379.951313;383.420135;269.805485;452.485359;117.936424;364.949312;544.890815;293.981292;
2200;912.100872;561.809576;627.978503;508.716031;410.821129;393.362428;282.264061;391.230111;395.615975;294.166619;284.636610;492.216416;
2300;1078.478094;590.336345;720.760016;153.091476;305.288388;492.887411;303.329853;484.552371;296.401754;298.251572;468.158093;318.264041;
2400;1131.212624;582.941678;680.994126;133.397901;146.908135;433.679605;502.618145;307.889591;314.736398;584.454446;565.882497;581.179834;
2500;1283.586772;722.171032;622.579312;593.969696;462.622957;327.913098;532.584266;431.000000;604.196988;439.423486;594.529226;429.652185;
2600;1487.272672;573.029668;382.883794;676.452511;570.463846;478.646007;122.743635;333.148615;351.951701;461.448805;438.398221;320.845757;
2700;828.773190;882.512889;836.766993;520.353726;606.710804;572.758239;571.175980;460.570299;337.431475;478.932146;569.207344;330.343760;
2800;1335.748479;660.945535;681.722818;728.823024;698.838322;501.243454;357.689810;575.229519;351.893450;350.384075;496.479607;469.547655;
2900;1123.369930;317.245961;436.883280;442.471468;642.291211;539.136346;603.247047;686.717555;597.805989;507.628801;132.939836;366.057373;
3000;760.187477;582.912515;615.295864;571.495407;549.021857;141.957740;536.670290;371.601938;116.176590;508.762223;532.730701;519.867291;
3100;1529.054610;755.340983;487.585890;799.798725;783.161541;157.993671;650.296855;389.697318;538.181196;734.478046;524.874271;631.801393;
3200;1068.739912;585.670556;786.089053;756.402671;700.078567;796.937890;764.741133;138.057959;750.581774;554.214760;429.659167;654.242310;
3300;1381.618616;1080.545695;505.801344;765.130054;600.430679;416.593327;564.236652;677.220053;411.916254;677.457010;170.061753;408.694262;
3400;1591.519714;666.589079;705.839925;201.032336;618.520008;827.693784;580.785675;580.293029;580.158599;408.767660;433.410890;583.365237;
3500;1946.335531;1002.889824;545.139432;165.737745;163.435002;154.077902;474.637757;597.752457;603.628197;574.971304;438.561284;440.699444;
3600;1394.079983;680.983847;1207.468426;688.091564;665.476521;631.286781;128.027341;156.355364;141.767415;596.513202;479.051145;166.141506;
3700;771.038910;1348.526603;562.228601;705.235422;158.429795;783.430916;626.462289;456.539155;645.367337;448.288969;458.815867;175.316856;
3800;634.274389;922.543224;775.176754;532.608674;514.114773;490.590461;801.116721;470.242491;459.102385;156.425701;788.405987;476.787164;
3900;1287.579124;939.903718;803.056038;555.208069;701.978632;500.419824;665.320224;481.565157;815.927080;664.561510;673.611164;488.203851;
4000;2144.361210;1170.901789;813.544713;549.018215;877.214341;704.841117;494.092097;143.467766;669.574492;167.526117;663.004525;1040.062017;
4100;1592.116516;1185.624308;852.191880;1073.751368;538.091070;181.548891;865.351952;837.475373;499.344570;489.417000;493.153120;974.911791;
