N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;535;376;350;346;362;344;341;336;356;382;376;395;
200;1025;708;648;632;637;601;630;618;614;635;625;678;
300;1555;1080;950;910;915;905;897;882;873;916;904;913;
400;2119;1439;1314;1222;1192;1142;1152;1141;1116;1193;1173;1132;
500;2552;1774;1532;1486;1392;1453;1394;1421;1422;1371;1457;1491;
600;3215;2157;1828;1698;1657;1667;1630;1616;1685;1659;1695;1701;
700;3639;2409;2122;2010;1903;1866;1866;1844;1947;2012;1933;1863;
800;4141;2762;2477;2238;2204;2132;2154;2139;2121;2183;2177;2163;
900;4751;3080;2682;2515;2455;2412;2350;2408;2352;2269;2450;2425;
1000;5202;3473;2971;2827;2721;2619;2630;2614;2614;2591;2682;2734;
1100;5657;3809;3287;3051;2927;2904;2833;2782;2925;2784;2756;2976;
1200;6233;4171;3609;3326;3213;3142;3079;3016;3132;3118;3046;3221;
1300;6717;4483;3807;3636;3456;3384;3446;3312;3298;3347;3314;3256;
1400;7334;4792;4112;3836;3718;3644;3603;3607;3499;3584;3559;3481;
1500;7905;5155;4445;4125;3965;3865;3885;3803;3822;3827;3868;3724;
1600;8412;5471;4706;4443;4258;4116;4014;4000;3986;4045;4132;3960;
1700;9049;5845;5022;4678;4473;4335;4286;4278;4248;4303;4342;4336;
1800;9447;6091;5191;4960;4679;4613;4454;4545;4482;4476;4545;4551;
1900;9999;6439;5620;5200;5003;4879;4702;4749;4696;4674;4790;4800;
2000;10634;6871;5929;5562;5328;5176;5011;4990;4974;4838;4940;5088;
2100;10992;7153;6178;5693;5450;5398;5315;5177;5217;5161;5024;5303;
2200;11549;7471;6442;5989;5733;5580;5459;5400;5409;5357;5413;5470;
2300;12219;7817;6777;6322;5971;5797;5756;5608;5630;5597;5532;5675;
2400;12596;8158;7005;6518;6285;6077;5985;5854;5841;5915;5810;5849;
2500;13225;8615;7290;6708;6557;6322;6292;6053;6136;6113;6101;6053;
2600;13919;8874;7558;7104;6743;6565;6495;6361;6392;6367;6288;6187;
2700;14246;9194;7971;7295;6977;6833;6767;6527;6578;6552;6569;6444;
2800;14802;9531;8163;7496;7214;7131;7023;6784;6814;6773;6822;6718;
2900;15431;9865;8432;7757;7514;7374;7143;7106;7030;7255;6955;6994;
3000;15902;10249;8776;8058;7838;7550;7369;7325;7165;7302;7321;7178;
3100;16462;10667;9028;8404;8095;7800;7694;7623;7395;7486;7393;7406;
3200;17105;10862;9264;8585;8318;8064;7928;7729;7655;7688;7837;7665;
3300;17501;11230;9559;8973;8509;8285;8107;8038;7953;7889;7996;7909;
3400;18135;11529;9790;9111;8783;8593;8264;8352;8168;8066;8196;8095;
3500;18574;11821;10122;9468;9003;8886;8591;8466;8322;8281;8452;8316;
3600;19224;12120;10479;9694;9413;8980;8712;8754;8572;8499;8693;8550;
3700;19541;12495;10654;9948;9592;9302;9011;8965;8935;8812;8818;9018;
3800;20175;12884;11143;10375;9714;9498;9264;9175;9105;9078;9111;9141;
3900;20953;13183;11359;10567;10061;9799;9521;9426;9387;9155;9272;9413;
4000;21344;13602;11576;10801;10336;10057;9677;9601;9613;9479;9360;9474;
4100;21905;13948;11871;11021;10463;10292;10130;9881;9780;9656;9623;9771;
4200;22479;14248;12260;11265;10829;10544;10315;10116;9973;9985;9755;9943;
4300;23130;14534;12472;11613;11066;10679;10510;10384;10224;10088;10072;10313;
4400;23536;14836;12901;11783;11217;10964;10668;10572;10585;10273;10336;10408;
4500;24007;15105;12920;12026;11553;11156;11022;10775;10714;10586;10488;10562;
