N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;153;129;121;115;132;120;118;113;115;113;110;108;
200;476;267;243;228;241;219;268;242;244;230;232;222;
300;509;474;364;343;334;327;323;321;383;366;358;351;
400;941;641;568;457;446;438;452;427;425;485;497;470;
500;1174;797;702;668;564;546;541;533;649;527;641;644;
600;1091;759;724;769;743;656;683;641;635;725;746;785;
700;1053;1100;962;922;865;855;754;748;786;865;827;732;
800;1841;1071;960;1017;976;955;925;909;851;891;977;836;
900;2022;1193;1202;1147;1104;1059;972;1041;955;1005;944;1056;
1000;2543;1585;1411;1303;1254;1096;1190;1070;1060;1053;1116;1043;
1100;2039;1790;1292;1449;1391;1317;1273;1272;1267;1159;1155;1216;
1200;2902;1936;1684;1607;1354;1451;1299;1375;1272;1319;1259;1251;
1300;3020;1718;1566;1685;1619;1610;1504;1540;1485;1368;1363;1359;
1400;3415;2285;1930;1601;1776;1548;1514;1624;3111;1589;1542;1461;
1500;3730;2467;2189;3589;1859;1807;3368;1762;1730;1580;1662;1567;
1600;3704;2606;2207;1804;1764;1912;1737;1831;1821;1803;1793;1848;
1700;4248;2879;2347;2179;1923;2057;1845;1927;1914;1794;1890;1979;
1800;4528;2917;2179;2293;2294;1977;2106;2086;2040;2007;2012;2076;
1900;4592;3027;2233;2434;2359;2376;2207;2147;2018;2006;2162;4167;
2000;5266;3214;2815;2570;2497;2220;2331;2291;2278;2248;2279;2242;
2100;3928;3452;2956;2707;2597;2533;2491;2260;4643;2338;2320;2353;
2200;5719;3376;3068;2846;2706;2595;2618;2361;2476;2450;2440;2300;
2300;5660;3615;3209;5524;2897;2713;2687;2464;2674;2561;2546;2400;
2400;5593;4032;3335;5752;5556;2872;2813;2796;2722;2652;2649;2506;
2500;5952;3967;3421;2863;3071;3025;2915;2868;2816;2808;2756;2734;
2600;5871;3440;3705;3377;3211;2869;5816;2984;2770;2891;2947;2960;
2700;6982;4407;3720;3486;3006;3219;3149;3125;3064;2852;2836;3085;
2800;7280;3687;3970;3628;3380;3351;3340;3199;3133;3189;2939;3060;
2900;7596;8006;4163;3318;3530;3145;3426;3308;3281;3236;6245;3195;
3000;12242;4852;4197;3884;3693;6716;3273;3504;6523;3429;3151;3132;
3100;8229;5127;4321;4007;3723;6999;3621;3613;3302;3456;3423;3424;
3200;8626;5359;4492;3612;3857;3523;3774;7136;3406;3576;3369;3504;
3300;8560;5443;4677;4246;4000;4029;3948;3834;3741;3662;7171;3640;
3400;8743;5598;4673;7881;4169;4082;4005;3948;3820;3840;3754;3731;
3500;9064;5749;4786;8647;8187;8086;3753;4024;3721;3999;3934;3827;
3600;9165;5940;5031;4607;4337;4294;7992;7976;7922;4015;3777;7865;
3700;15433;5811;5226;4696;8738;4391;4393;4322;3944;4190;4160;8100;
3800;16582;6243;5328;4905;4616;4574;4142;4402;4369;8211;3996;4145;
3900;9089;6392;5393;5063;4831;4626;4572;4494;4162;4126;4098;4368;
4000;9355;6434;5640;5229;4897;4741;4703;8681;4529;8630;4442;4387;
4100;10712;6459;5694;5209;5125;9326;4450;4723;4671;4649;4573;4289;
4200;10701;6901;11050;5392;5154;5054;9320;4805;4710;4708;4667;4394;
4300;11336;6990;6040;10349;9826;9815;5062;4927;4591;4778;4772;4709;
4400;10505;12268;6184;5630;4907;5157;5108;5072;5066;4900;4628;4795;
4500;11855;5897;6338;5870;5524;5364;5358;5250;5162;5000;4999;4968;
4600;11930;7534;6511;11055;5736;5451;5464;5290;4906;10086;5191;4817;
4700;11324;7836;6580;6074;5833;5488;5490;5094;5366;4974;4940;5174;
4800;12685;7900;6651;6192;5944;5736;10771;10739;10661;5326;5279;5310;
4900;12547;8023;12128;11845;6029;5770;5736;10875;5509;5189;10450;5420;
5000;12597;8227;6783;6391;6147;5883;5868;11236;5329;10841;5516;5493;
5100;13471;8385;7000;6516;6219;6029;11333;5817;5815;11040;5361;5613;
5200;13376;8341;7192;6598;6338;6175;6074;11398;5868;5833;11266;5701;
5300;13786;8741;7390;6841;12374;6307;6232;6151;6002;5963;5831;5552;
5400;14048;8640;7429;7014;6618;6436;6222;6178;6086;11634;5950;5645;
5500;14028;8735;7744;7106;6061;6525;12042;12129;5889;6143;6170;5759;
5600;10348;9195;7822;13476;12966;6705;6587;6376;6362;6231;12060;6130;
5700;14935;9250;7830;7354;6920;6722;6663;6561;6465;12468;6408;6227;
5800;10983;9696;8145;13943;7139;6867;6761;6674;6585;6565;6099;6338;
5900;15503;16923;8293;6658;7208;13376;6430;12849;13006;6262;6520;6441;
6000;16126;7975;7234;7678;7344;6538;13452;6885;13147;6339;12855;6542;
6100;16234;8086;8530;7929;7450;13982;13710;6899;13275;6458;6746;13157;
6200;17053;19244;8690;7115;7655;7457;7241;6674;7016;13677;13377;6489;
6300;15388;10310;8781;8023;7747;7505;7345;7250;7143;7013;6983;6925;
6400;11758;10542;7662;8359;7898;7565;7486;7499;7239;14010;13857;7050;
6500;16387;18881;16801;8466;15231;15071;14583;7608;7380;14203;14226;13823;
6600;27917;11033;9171;8448;8110;7878;7582;7574;7537;7332;7279;7447;
6700;28749;11084;17451;8659;8182;15294;7868;7625;14627;7605;14668;7300;
6800;18542;11230;17816;8889;7571;15458;7292;7787;7732;7214;7685;14752;
6900;18693;19491;9623;8996;8476;8193;15555;7837;7789;7687;7642;7680;
7000;18620;11538;9753;16825;8556;16192;15361;8100;15150;7891;15293;15004;
7100;19447;11783;17845;9083;8789;8419;8287;8135;8022;15700;7840;7746;
7200;31764;11968;10111;9172;8850;8587;8381;8243;8149;15785;7943;15491;
7300;19630;12221;10266;8394;8130;8725;16076;16186;8335;7760;8050;7983;
7400;18938;12192;10549;9569;9002;16715;8558;8424;16307;8306;16075;8075;
7500;20388;12482;10487;9694;17323;17137;8723;8524;8495;8412;8428;8241;
7600;19769;12421;10491;9834;17737;8994;8862;16811;8658;8545;16699;8420;
7700;19296;12835;10515;8721;9453;9183;17285;17039;8628;16647;16787;16499;
