N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;222;170;146;156;164;154;157;140;150;158;163;162;
200;491;351;307;292;313;277;310;292;294;289;294;308;
300;740;521;458;429;419;427;442;415;451;451;438;430;
400;1015;706;625;569;583;535;563;575;542;613;600;572;
500;1277;853;766;726;675;699;647;704;739;675;764;746;
600;1496;1023;909;846;829;807;809;747;822;858;831;919;
700;1786;1188;1050;986;937;910;927;890;960;992;983;917;
800;2105;1358;1213;1088;1069;1037;1055;1066;1013;1101;1151;1078;
900;2306;1530;1333;1240;1200;1178;1167;1224;1177;1126;1260;1239;
1000;2636;1709;1506;1396;1360;1269;1271;1295;1327;1269;1360;1392;
1100;2844;1861;1600;1511;1486;1434;1400;1407;1427;1401;1363;1532;
1200;3086;2037;1795;1677;1567;1561;1543;1496;1569;1569;1519;1599;
1300;3413;2167;1877;1805;1729;1673;1650;1637;1687;1650;1637;1589;
1400;3668;2386;2035;1903;1859;1760;1758;1751;1756;1822;1794;1719;
1500;3948;2555;2216;2058;1997;1900;1936;1889;1832;1893;1934;1884;
1600;4196;2734;2316;2160;2075;2021;2026;2005;1965;2062;2052;2061;
1700;4429;2905;2461;2312;2211;2146;2115;2127;2077;2099;2156;2183;
1800;4835;3044;2558;2436;2363;2285;2248;2267;2224;2141;2299;2325;
1900;4868;3144;2726;2550;2478;2446;2346;2349;2317;2286;2390;2473;
2000;5348;3372;2964;2717;2619;2520;2453;2486;2474;2425;2507;2574;
2100;5556;3598;3066;2821;2743;2700;2615;2579;2610;2529;2473;2698;
2200;5782;3722;3178;2967;2872;2781;2739;2695;2718;2685;2612;2770;
2300;6116;3874;3314;3167;3007;2890;2869;2786;2877;2790;2722;2887;
2400;6287;4048;3477;3276;3147;3039;2960;2936;2964;2888;2835;2900;
2500;6575;4219;3608;3322;3236;3175;3097;3019;3033;3042;2978;2964;
2600;6870;4391;3787;3490;3323;3257;3251;3163;3196;3165;3105;3078;
2700;7289;4498;3841;3635;3425;3354;3323;3260;3294;3298;3212;3198;
2800;7399;4698;4019;3718;3548;3529;3523;3340;3373;3407;3369;3297;
2900;7741;4900;4192;3900;3711;3631;3581;3465;3474;3538;3513;3462;
3000;8102;5108;4333;4011;3870;3785;3715;3637;3612;3631;3606;3563;
3100;8146;5262;4505;4082;3938;3922;3814;3761;3666;3707;3708;3670;
3200;8587;5442;4584;4237;4076;3976;3904;3901;3753;3863;3895;3768;
3300;8767;5531;4776;4394;4191;4135;4070;3970;3938;3921;4039;3945;
3400;9023;5739;4878;4573;4387;4239;4150;4121;4051;4059;4093;4050;
3500;9187;5845;5072;4718;4545;4432;4277;4270;4151;4121;4256;4191;
3600;9619;6068;5096;4802;4590;4472;4398;4413;4303;4219;4355;4305;
3700;9924;6107;5354;4908;4781;4588;4517;4509;4371;4347;4457;4468;
3800;10306;6380;5473;5100;4866;4784;4588;4637;4546;4504;4504;4554;
3900;10605;6570;5643;5224;4997;4869;4735;4731;4640;4583;4629;4658;
4000;10638;6717;5750;5388;5107;4984;4868;4890;4773;4721;4720;4697;
4100;11034;6910;5886;5420;5263;5195;4947;4935;4888;4830;4830;4822;
4200;11284;7087;6139;5572;5290;5255;5157;5070;5029;4909;4888;5038;
4300;11558;7334;6185;5772;5544;5402;5197;5121;5157;5022;5001;5148;
4400;11939;7472;6363;5856;5626;5387;5280;5317;5281;5097;5076;5184;
4500;12083;7535;6436;5999;5735;5471;5468;5409;5406;5230;5142;5346;
4600;12110;7669;6652;6214;5890;5674;5618;5441;5402;5443;5350;5428;
4700;12401;7925;6754;6159;6021;5686;5688;5571;5601;5526;5443;5568;
4800;12779;8022;6860;6356;6125;5893;5861;5794;5791;5645;5509;5625;
4900;13116;8093;7086;6566;6274;6023;5980;5914;5849;5732;5707;5660;
5000;13524;8333;7135;6585;6340;6105;6071;5994;5951;5924;5785;5733;
5100;13655;8522;7224;6743;6392;6276;6264;6032;6076;6027;5921;5847;
5200;14044;8688;7347;6940;6545;6387;6204;6175;6175;6100;6062;5967;
5300;14415;8818;7580;7084;6753;6500;6468;6313;6312;6262;6165;6058;
5400;14338;9031;7735;7208;6802;6625;6472;6446;6417;6419;6169;6177;
5500;14918;9163;7825;7242;6940;6685;6748;6561;6414;6411;6426;6283;
5600;15072;9375;7970;7465;7103;6846;6790;6564;6611;6557;6557;6370;
5700;15338;9429;8117;7506;7185;7002;6932;6783;6737;6766;6615;6507;
5800;15669;9829;8269;7724;7318;7120;6962;6866;6791;6863;6745;6640;
5900;15933;9962;8435;7732;7441;7278;7153;7075;7022;6969;6854;6740;
6000;16342;10133;8512;7860;7559;7359;7335;7091;7086;6991;7026;6864;
6100;16521;10254;8673;8030;7746;7587;7471;7223;7228;7119;7089;7015;
6200;16932;10541;8852;7967;7853;7635;7506;7336;7220;7317;7258;7065;
6300;16882;10631;8955;8207;7917;7739;7453;7468;7424;7424;7322;7256;
6400;17197;10819;9136;8459;8023;7797;7736;7639;7463;7554;7557;7323;
6500;17639;10980;9352;8569;8246;8076;7913;7751;7533;7650;7644;7537;
6600;17971;11140;9323;8635;8342;8100;7959;7836;7781;7698;7683;7600;
6700;18290;11167;9691;8801;8382;8280;8040;7970;7951;7844;7905;7675;
6800;18449;11438;9821;9008;8564;8450;8117;8080;8002;7811;7950;7877;
6900;18782;11684;9851;9138;8740;8500;8288;8231;7954;7974;8033;7992;
7000;18929;11755;10062;9257;8837;8664;8385;8386;8177;8087;8224;8120;
7100;19229;11860;10251;9314;8969;8696;8506;8472;8276;8321;8235;8210;
7200;19654;12057;10277;9446;9016;8841;8648;8613;8416;8412;8307;8350;
7300;19749;12250;10406;9496;9134;8865;8795;8771;8512;8440;8477;8418;
7400;19851;12380;10543;9686;9321;9129;8869;8762;8694;8569;8639;8549;
7500;20326;12579;10754;9911;9521;9307;8970;8902;8791;8686;8719;8670;
7600;20564;12662;10713;10014;9618;9397;9082;9122;8835;8776;8887;8821;
7700;20706;12958;10862;10142;9622;9462;9241;9231;9006;8939;8988;8962;
7800;21270;13156;11121;10272;9831;9578;9273;9333;9025;9046;9115;9069;
7900;21367;13216;11312;10500;9965;9649;9450;9458;9116;9098;9077;9126;
8000;22047;13542;11474;10636;10177;9799;9526;9576;9360;9277;9289;9258;
8100;22134;13694;11609;10713;10215;10013;9763;9723;9441;9434;9385;9429;
8200;21998;13744;11617;10863;10264;9985;9771;9788;9647;9572;9430;9515;
8300;22275;14000;11850;10949;10463;10020;9981;9951;9763;9674;9477;9533;
8400;22802;14105;11944;10964;10485;10235;10093;10024;9870;9733;9580;9660;
8500;23063;14201;12273;11267;10675;10346;10161;10071;9941;9900;9796;9808;
8600;23360;14566;12293;11332;10762;10418;10271;10189;10030;9874;9723;9945;
8700;23742;14666;12464;11502;10790;10648;10321;10358;10318;10078;9969;10080;
8800;23944;14450;12385;11700;11136;10747;10530;10377;10356;10098;10137;10197;
8900;24387;14996;12568;11747;11234;10829;10679;10437;10478;10330;10191;10192;
9000;24591;15022;12685;11897;11170;10899;10871;10703;10642;10512;10298;10382;
9100;24737;15234;13074;12029;11408;10944;10982;10782;10673;10559;10436;10320;
9200;25124;15322;13168;12164;11615;11235;10982;10897;10783;10681;10590;10653;
9300;25630;15431;13269;12310;11694;11276;11151;11067;10960;10781;10695;10729;
9400;25580;15681;13285;12387;11680;11500;11130;11118;11023;10740;10677;10783;
9500;25806;15947;13448;12609;11914;11600;11384;11156;11134;10879;10804;10905;
9600;26333;16034;13763;12574;12086;11689;11485;11336;11235;11096;10939;10951;
9700;26685;16382;13902;12727;12155;11775;11594;11422;11411;11164;11148;11049;
9800;26643;16346;13891;12854;12345;12002;11785;11449;11460;11313;11158;11216;
9900;26570;16672;14170;12986;12447;11976;11929;11586;11613;11450;11344;11287;
10000;27251;16532;14280;13078;12503;12008;11966;11661;11685;11406;11317;11287;
