N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;59.791304;35.651087;39.849718;39.242834;38.587563;38.652296;39.837169;44.418465;36.619667;45.000000;55.488738;56.947344;
200;73.334848;51.536395;55.000000;52.182373;60.108236;57.844619;49.213819;49.507575;67.535176;57.749459;59.177699;67.823300;
300;126.802997;83.522452;81.902381;69.419018;65.764732;92.341757;66.850580;62.888791;64.598762;77.743167;76.046039;73.266636;
400;131.670042;77.265775;80.187281;75.246262;69.123079;77.401550;117.741242;83.192548;86.585218;79.050617;84.451169;85.369784;
500;168.389430;107.349895;86.359713;66.121101;80.808415;82.825117;107.633638;114.450863;86.648716;92.887028;65.696271;81.228074;
600;211.023695;146.625373;118.595953;94.636145;79.818544;122.547950;119.519873;139.610172;145.622800;138.924440;114.385314;103.440804;
700;256.764484;133.944018;96.109313;98.797773;113.216607;104.163333;135.580235;146.222433;132.491509;118.924346;158.644256;140.623611;
800;158.391919;200.012500;126.158630;146.287388;157.222772;122.245654;145.017240;123.182791;118.734999;158.205562;100.448992;129.209133;
900;297.996644;158.811209;116.837494;137.328074;134.029847;136.146979;85.492690;94.159439;124.503012;106.503521;140.085688;144.623650;
1000;255.342907;186.198818;120.702113;155.083848;89.621426;194.630419;111.633328;188.047866;143.641916;162.680669;140.929060;150.379520;
1100;307.884719;224.265468;206.830849;147.183559;93.813645;144.931018;146.846859;160.237324;174.330147;192.828940;147.803924;139.739043;
1200;398.149469;199.060292;151.472770;103.140681;196.313525;153.398175;115.477270;135.225737;147.888471;147.658390;166.288905;185.364506;
1300;312.972842;297.869099;206.278937;175.442298;165.469030;101.843016;172.040693;112.334322;174.396101;208.925824;219.888608;195.670642;
1400;392.121155;226.870007;194.861489;213.651586;116.863168;232.615563;241.828452;151.904575;75.039989;163.670401;191.663768;181.273274;
1500;426.102100;243.294061;133.277905;68.168908;161.854873;205.676931;76.661594;153.964282;183.322121;279.792780;181.162910;169.605424;
1600;389.604928;227.826689;273.199561;219.437918;235.838928;192.738164;169.313319;135.922772;168.686099;143.488676;187.965422;136.623570;
1700;449.531979;187.365952;260.722074;218.723570;267.600448;252.535146;234.205038;212.485294;209.992857;247.331761;284.899982;146.249786;
1800;324.478042;283.809795;331.135924;193.651749;182.329372;231.376317;177.904469;190.627910;148.381266;258.058133;247.048578;158.063278;
1900;611.716438;397.573893;337.019287;276.316847;192.486363;141.696860;220.503968;292.109568;289.949996;205.092662;207.185907;96.493523;
2000;366.670151;314.668079;174.476359;297.533191;247.250885;274.974544;199.506892;205.847031;204.934136;163.291151;207.033814;176.388775;
2100;518.158277;278.948024;245.307970;265.783747;208.978468;214.469112;152.013157;253.043475;94.116949;212.247497;303.646176;188.986772;
2200;511.023483;310.758749;340.573046;276.454336;226.307313;219.013698;163.033739;221.108571;230.306318;181.592951;170.862518;293.538754;
2300;601.254522;324.038578;387.942006;96.638502;167.454471;269.228527;174.264167;265.635088;175.393843;179.064234;260.418893;202.061872;
2400;630.755103;317.208134;367.567681;88.786260;103.092192;237.541575;272.594938;174.714052;190.554454;331.587093;316.121812;334.764096;
2500;709.886611;389.749920;336.264777;321.989130;253.942907;185.413052;293.228580;237.018987;338.353366;251.242910;333.779868;252.994071;
2600;828.940891;316.880104;210.192769;365.343674;306.828943;260.660699;90.598013;190.512467;207.663189;268.802902;245.006122;186.324985;
2700;471.217572;470.936301;443.891879;285.068413;326.421507;306.947878;313.019169;253.950783;192.163992;273.886838;320.903412;191.227613;
2800;743.638353;362.075959;362.251294;388.567883;370.917781;272.987179;200.374649;311.335832;201.784539;204.058815;285.310357;264.824470;
2900;627.019138;186.799358;234.748802;243.240622;347.231911;296.256645;323.204270;371.094328;327.253724;288.246422;109.922700;218.833270;
3000;431.766140;319.422917;329.990909;305.651763;295.272755;95.864488;294.018707;207.785948;94.604440;285.045610;303.700510;296.438864;
3100;837.118869;411.646693;270.682471;422.536389;418.928395;105.697682;353.373740;222.110333;296.681648;408.215629;296.268459;352.221521;
3200;594.202827;317.776651;417.702047;401.517123;373.488956;427.630682;409.502137;103.363436;402.951610;311.501204;252.558904;368.237695;
3300;764.633245;576.812795;274.273586;407.492331;322.164554;226.081844;302.752374;368.860407;233.070805;372.757294;143.300384;240.441261;
3400;868.014401;364.694393;379.336262;121.872885;333.991018;442.287237;311.730653;315.718229;317.855313;233.972221;258.801082;328.955924;
3500;1065.593731;537.679272;295.616305;107.800742;108.009259;105.057127;264.765934;327.284280;330.239307;312.389180;256.743062;259.572726;
3600;776.948518;371.702838;637.497451;369.399513;358.632123;340.133797;86.752522;116.241129;109.640321;326.856238;281.597230;133.641311;
3700;446.400045;720.095133;303.731790;376.868677;103.014562;420.142833;333.979041;255.689265;353.761219;249.295006;267.041195;141.244469;
3800;375.365156;491.197516;414.983132;287.522173;282.969963;270.098130;428.673535;261.340774;253.442301;108.692226;437.037756;283.407833;
3900;724.635081;505.917978;429.103717;303.308424;379.420611;273.137328;358.094959;267.404188;445.426762;364.898616;377.196235;284.668228;
4000;1181.047416;631.933541;432.624549;292.201985;467.139166;378.415116;262.849767;113.692568;361.704299;128.607931;365.695228;573.150068;
4100;875.915521;633.199021;453.717974;569.101046;290.625188;126.115027;459.675973;447.762214;276.611641;272.693968;278.698762;544.383137;
4200;934.566210;553.161821;137.956515;509.127685;554.754000;397.076819;120.946269;396.485813;289.261128;380.458933;373.113924;315.025396;
4300;1089.682064;414.053137;552.874308;135.830777;123.786106;121.470161;389.125944;535.889914;305.723731;389.271114;387.918806;321.908372;
4400;942.084922;198.489294;364.076915;446.874703;346.330767;498.899790;482.607501;295.423425;301.676980;475.161025;403.269141;502.809109;
4500;983.230899;635.332984;477.290268;342.590134;443.230189;569.554212;296.543420;296.438864;303.311721;485.979423;536.101669;310.048383;
4600;1372.873264;703.549572;365.491450;145.488831;325.562590;318.909078;304.006579;567.230994;640.892347;126.897597;309.452743;444.088955;
4700;1385.123821;446.322753;391.135526;706.566345;332.821273;665.895637;515.235868;584.728142;417.676909;440.559871;436.209812;327.727021;
4800;1335.779922;620.716521;533.173518;479.896864;452.293047;442.678213;114.162165;107.661507;127.902306;434.873545;506.419786;323.918200;
4900;1216.508940;840.544466;188.751159;154.038956;468.500800;456.707784;326.836350;122.926807;331.353286;539.928699;144.637478;432.486994;
5000;1070.513895;770.521252;550.876574;591.570790;480.165596;553.348895;447.182289;110.240646;351.250623;126.443663;445.379613;531.710448;
5100;944.360101;775.013548;754.065647;520.201884;577.362105;350.446858;131.080128;331.620265;452.299679;122.804723;467.180907;444.156504;
5200;1141.409655;787.775349;760.027631;395.179706;488.798527;353.987288;711.154695;132.702675;472.520899;472.443647;140.669826;456.605957;
5300;869.637856;806.152591;425.840346;385.080511;131.487642;479.145072;353.731537;337.552959;349.055869;361.566038;468.499733;470.246744;
5400;1461.817020;695.615555;430.715683;385.120760;513.939685;495.400848;674.813308;358.245726;351.546583;152.574572;732.018442;487.000000;
5500;985.419200;861.912409;703.919740;649.596028;410.489951;695.948992;160.794900;140.149920;673.861262;677.468080;356.632864;502.056770;
5600;1203.715498;708.671997;728.413344;150.462620;132.834483;609.027914;615.389308;593.289980;354.682957;595.665174;149.425567;578.952502;
5700;1386.107499;983.521733;741.525455;553.423888;404.975308;526.328795;384.014323;363.474896;364.026098;138.884844;491.533315;502.847890;
5800;1221.752430;519.246570;740.270896;142.867071;544.395077;532.519483;719.038942;621.192402;608.433234;385.477626;521.309889;506.322032;
5900;1092.097065;335.301357;625.230358;725.541177;562.457998;146.512798;554.064978;132.740348;120.548745;406.049258;393.591158;517.481401;
6000;964.791687;665.900894;802.309791;701.782017;566.121012;436.238467;137.510000;640.431886;117.123866;654.402781;132.412235;521.913786;
6100;1321.061694;696.739550;649.593719;591.176793;424.102582;139.474012;137.963763;546.023809;154.735258;552.090572;536.536112;169.100562;
6200;961.194569;185.593642;494.816127;1018.541604;416.781717;558.470232;414.352507;563.435001;647.725250;126.759615;158.158149;662.581316;
6300;1705.572045;624.695126;805.136634;849.250846;583.227228;572.110129;936.804142;550.374418;399.245538;410.899014;554.910804;407.074932;
6400;1701.135503;605.976897;584.977777;455.718115;709.040196;703.577999;573.756046;402.572975;672.667080;155.647037;155.614909;547.657740;
6500;1387.269260;335.724590;209.444503;627.393019;163.707055;118.991596;150.588844;417.154648;763.620979;143.634954;159.840546;174.212514;
6600;759.645312;644.086174;954.035639;770.240222;447.354446;601.123947;439.415521;580.544572;417.470957;576.700095;596.962310;409.380019;
6700;711.834250;1010.181172;171.125685;784.415069;751.093203;154.408549;428.318806;441.960405;131.753558;414.683011;142.119668;592.674447;
6800;1155.392141;630.291996;178.409641;472.429889;518.137048;158.473973;467.570316;441.287888;431.411636;719.349706;425.732310;150.396144;
6900;1171.688525;261.254665;738.989174;485.988683;474.558742;629.760272;109.320629;453.304533;717.045326;592.154541;443.580883;435.555967;
7000;1480.957461;638.059558;553.068712;199.902476;480.209329;151.284500;136.726003;443.957205;153.935051;596.395003;142.428930;155.955122;
7100;1223.360944;887.956643;205.060967;686.485979;489.163572;650.399108;454.476622;631.995253;442.766304;124.667558;626.905096;467.547859;
7200;708.232307;683.492502;748.262654;704.577888;802.370239;478.504963;457.022975;468.558428;458.276118;130.199846;765.573641;176.802149;
7300;1171.778136;670.941130;766.843530;1014.440733;706.037534;791.524478;151.205159;161.325757;624.815973;644.158366;642.854571;479.617556;
7400;2062.273503;717.235666;765.408388;866.401754;509.983333;163.728434;475.714200;657.800122;152.892119;458.117889;147.776859;475.001053;
7500;1351.248682;730.777668;570.182427;545.197212;159.727894;158.322456;478.056482;667.173890;469.204646;460.922987;469.125783;663.064854;
7600;1372.515209;962.551817;962.117456;725.159982;168.852006;505.120778;485.345238;162.453070;643.019440;470.648489;134.907376;484.982474;
7700;2209.796371;737.985772;980.124992;632.423118;979.646365;507.541131;149.936653;147.563546;489.763208;164.808980;144.844744;185.348321;
7800;1448.818484;760.290734;829.196599;755.145681;725.703107;504.703874;712.715231;179.883296;663.990211;484.607057;152.121662;187.040103;
7900;1755.590784;985.091366;620.914648;197.671445;737.876683;711.232733;507.881876;137.207871;817.902806;666.273217;685.390400;503.355739;
8000;742.836456;758.290841;615.993506;561.610185;191.908833;530.642064;702.766675;157.952525;507.289858;500.734461;135.705564;517.668813;
8100;936.422447;785.204432;611.842300;584.052224;552.015398;148.054044;134.190164;147.315987;698.115320;164.417152;157.737123;171.499271;
