N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;319;229;210;220;227;217;228;228;245;271;289;308;
200;609;416;388;370;390;357;402;384;399;410;410;470;
300;896;623;561;517;531;546;558;512;561;576;575;591;
400;1204;824;721;684;697;665;722;694;659;731;761;727;
500;1456;991;854;851;788;848;786;847;846;816;915;946;
600;1827;1176;1021;951;937;938;957;906;1032;985;1035;1066;
700;2046;1312;1162;1096;1066;1043;1072;1060;1123;1204;1151;1105;
800;2357;1536;1346;1232;1243;1177;1227;1246;1182;1293;1311;1326;
900;2660;1676;1469;1387;1335;1333;1270;1379;1353;1272;1467;1468;
1000;2885;1901;1626;1552;1504;1486;1464;1496;1488;1478;1580;1640;
1100;3146;2082;1796;1668;1605;1588;1573;1592;1685;1600;1513;1810;
1200;3458;2226;1966;1809;1735;1732;1706;1681;1739;1775;1707;1917;
1300;3750;2419;2048;1975;1886;1841;1881;1810;1851;1914;1875;1824;
1400;4088;2599;2195;2071;2029;1958;1997;1980;1956;2051;2015;1950;
1500;4351;2762;2368;2190;2138;2108;2162;2061;2085;2184;2223;2105;
1600;4604;2938;2498;2402;2281;2202;2167;2201;2178;2243;2292;2242;
1700;4954;3157;2730;2498;2433;2339;2340;2355;2353;2413;2477;2470;
1800;5174;3290;2765;2643;2560;2493;2455;2475;2443;2417;2571;2569;
1900;5429;3409;2973;2811;2704;2606;2522;2604;2578;2541;2653;2711;
2000;5844;3731;3148;2981;2840;2766;2680;2718;2717;2639;2745;2859;
2100;6042;3836;3296;3021;2921;2898;2838;2832;2840;2818;2805;2947;
2200;6303;4000;3445;3186;3090;2989;2908;2974;2958;2928;2945;3079;
2300;6704;4210;3595;3356;3185;3141;3095;3041;3072;3043;3008;3181;
2400;6869;4309;3731;3454;3362;3224;3199;3174;3253;3195;3166;3270;
2500;7190;4542;3848;3537;3487;3361;3354;3201;3324;3291;3318;3378;
2600;7603;4688;4029;3820;3523;3448;3455;3368;3418;3481;3335;3311;
2700;7754;4841;4186;3849;3647;3607;3647;3465;3585;3568;3554;3470;
2800;8039;5012;4277;3957;3775;3762;3772;3610;3643;3672;3702;3645;
2900;8359;5223;4453;4098;4000;3904;3837;3755;3790;3960;3744;3823;
3000;8590;5418;4629;4243;4098;3965;3960;3897;3846;3934;3974;3913;
3100;8923;5658;4750;4416;4214;4121;4106;4111;3938;4092;3985;4035;
3200;9275;5717;4855;4512;4362;4243;4223;4128;4027;4129;4255;4194;
3300;9508;5965;5013;4712;4454;4392;4333;4297;4258;4200;4361;4278;
3400;9732;6087;5186;4805;4623;4611;4339;4436;4390;4338;4460;4338;
3500;9990;6257;5304;4975;4748;4725;4499;4548;4427;4401;4570;4519;
3600;10367;6478;5460;5073;4853;4752;4559;4678;4536;4506;4701;4578;
3700;10537;6587;5649;5264;5044;4884;4782;4818;4712;4685;4748;4869;
3800;10897;6706;5863;5394;5097;5057;4880;4927;4814;4799;4860;4958;
3900;11340;6932;5964;5562;5377;5163;4978;5019;5038;4852;5003;5074;
4000;11462;7160;6039;5598;5415;5299;5076;5095;5064;5044;5026;5111;
4100;11814;7320;6205;5810;5486;5422;5265;5262;5222;5189;5127;5242;
4200;12178;7562;6487;5916;5676;5536;5392;5381;5299;5352;5184;5358;
4300;12423;7638;6460;6053;5803;5611;5502;5485;5452;5319;5320;5562;
4400;12728;7794;6793;6154;5904;5756;5599;5573;5638;5431;5454;5618;
4500;12844;7895;6727;6293;6085;5843;5825;5652;5728;5626;5537;5673;
4600;13281;8129;6910;6474;6164;5955;5912;5859;5791;5722;5739;5837;
4700;13369;8331;7060;6556;6272;6087;6005;5967;5890;5943;5956;5920;
4800;13781;8413;7199;6652;6402;6177;6042;6013;6028;6001;5859;5951;
4900;13928;8678;7341;6883;6579;6326;6231;6153;6131;6129;6024;6115;
5000;14455;8810;7486;6910;6678;6433;6353;6271;6243;6241;6157;6107;
5100;14909;8994;7612;7084;6700;6510;6490;6369;6434;6368;6393;6313;
5200;14823;9197;7754;7304;6855;6677;6593;6427;6502;6483;6407;6432;
5300;15211;9266;7883;7335;6963;6814;6794;6565;6622;6595;6508;6464;
5400;15507;9606;8051;7501;7207;6988;6832;6817;6687;6750;6726;6548;
5500;15626;9735;8288;7551;7202;7106;7030;6868;6909;6886;6879;6666;
5600;15986;9863;8357;7717;7338;7152;7160;6936;6904;7035;6856;6793;
5700;16271;10008;8665;7843;7501;7340;7326;7067;7008;7064;6964;6971;
5800;16545;10166;8691;8048;7757;7496;7354;7282;7105;7267;7116;7001;
5900;16952;10379;8787;8115;7809;7540;7495;7327;7305;7388;7295;7112;
6000;17324;10548;8983;8238;7909;7681;7572;7538;7319;7442;7308;7249;
6100;17660;10869;9114;8408;8014;7914;7776;7582;7623;7550;7584;7619;
6200;17982;10986;9208;8533;8092;8018;7845;7764;7565;7643;7591;7582;
6300;18091;11140;9386;8636;8231;8101;7964;7819;7777;7858;7746;7587;
6400;18276;11268;9488;8861;8379;8200;8138;7961;7874;7948;7843;7677;
6500;18565;11392;9721;8965;8508;8347;8182;8068;7998;7976;8037;8058;
6600;19049;11604;9817;9054;8643;8480;8270;8219;8188;8042;8163;7993;
6700;19053;11736;9998;9217;8816;8550;8346;8493;8226;8117;8252;8105;
6800;19633;11892;10149;9386;8934;8741;8410;8355;8410;8263;8295;8226;
6900;19931;12057;10297;9518;9076;8858;8488;8555;8355;8309;8413;8400;
7000;19994;12160;10459;9628;9196;8963;8679;8725;8499;8521;8552;8461;
7100;20299;12434;10626;9638;9338;9087;8814;8794;8725;8671;8656;8593;
7200;20686;12616;10761;9868;9402;9242;8997;9006;8819;8663;8798;8731;
7300;20886;12768;10837;9973;9537;9282;9056;9147;8893;8814;8940;8758;
7400;21385;12863;11035;10195;9602;9404;9140;9111;8997;8997;8950;8889;
7500;21613;13158;11105;10290;9879;9640;9270;9293;9106;9028;9130;9249;
7600;21869;13371;11183;10337;9953;9792;9392;9407;9305;9115;9332;9231;
7700;22226;13490;11431;10600;10126;9810;9492;9473;9338;9377;9294;9304;
7800;22407;13683;11625;10684;10248;9967;9687;9635;9535;9387;9630;9455;
7900;22579;13981;11682;10784;10351;10054;9785;9800;9555;9634;9529;9518;
8000;23141;14109;11869;10952;10429;10179;9856;9879;9869;9740;9636;9740;
8100;23247;14262;12006;11156;10558;10280;10184;9997;9815;9822;9795;9801;
8200;23551;14354;12214;11210;10773;10453;10268;10103;10062;9853;9878;9866;
8300;23771;14556;12364;11286;10850;10676;10358;10217;10165;9942;9882;10053;
8400;24108;14712;12436;11437;10919;10630;10447;10396;10223;10084;10091;10290;
8500;24473;14967;12634;11596;11122;10809;10460;10422;10351;10232;10174;10246;
8600;24653;14970;12683;11794;11274;10835;10680;10571;10538;10338;10295;10337;
8700;24901;15150;12843;11916;11291;10920;10752;10682;10765;10458;10380;10537;
8800;25425;15380;13054;12047;11521;11087;10954;10871;10761;10612;10502;10735;
8900;25572;15432;13184;12131;11598;11261;11019;10902;10882;10705;10675;10732;
9000;25935;15634;13298;12313;11796;11325;11275;11020;10994;10817;10696;10878;
9100;26032;15786;13466;12496;11778;11420;11277;11093;11073;11005;10855;10842;
9200;26548;16009;13499;12598;12008;11636;11376;11196;11275;11075;10904;11125;
9300;26810;16119;13687;12720;12111;11673;11595;11381;11288;11113;10939;11144;
9400;26734;16340;13829;12803;12247;11800;11642;11581;11457;11251;11121;11234;
9500;27277;16444;13977;12931;12395;11949;11759;11570;11598;11302;11328;11218;
9600;27646;16701;14207;13063;12436;12040;11979;11717;11676;11479;11366;11529;
9700;27955;16903;14344;13209;12578;12111;11995;11718;11804;11564;11500;11557;
9800;28064;17097;14398;13447;12792;12276;12130;11817;11779;11698;11720;11663;
9900;28276;17184;14533;13588;12808;12455;12231;11966;12071;11840;11750;11814;
10000;28598;17397;14679;13566;12953;12487;12370;12150;12105;12067;11878;11802;
