N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;82;70;66;61;79;68;67;62;64;63;60;58;
200;265;142;130;119;121;113;163;138;141;127;130;120;
300;273;252;193;177;172;167;165;164;227;211;203;197;
400;510;344;306;236;229;225;224;217;216;277;290;264;
500;637;420;366;366;292;279;276;270;349;267;382;386;
600;576;389;368;402;392;334;345;325;321;378;392;475;
700;535;573;497;494;449;457;382;379;398;484;450;370;
800;989;553;490;523;502;492;470;463;432;451;546;422;
900;1078;612;615;601;572;540;493;534;483;515;476;546;
1000;1382;816;724;671;659;558;624;542;536;531;565;525;
1100;1079;944;654;739;732;684;651;652;659;585;583;620;
1200;1544;1015;880;848;697;752;659;706;641;660;635;629;
1300;1625;873;797;871;848;867;762;817;763;689;687;685;
1400;1816;1197;1020;807;923;793;767;848;1623;826;785;735;
1500;1995;1291;1159;1848;961;933;1725;927;896;795;850;789;
1600;1944;1359;1137;908;887;988;883;928;943;914;926;982;
1700;2254;1521;1201;1121;984;1069;937;974;972;905;966;1060;
1800;2414;1509;1103;1162;1185;1006;1083;1070;1047;1019;1033;1106;
1900;2411;1581;1129;1238;1210;1257;1129;1082;1018;1012;1129;2164;
2000;2810;1677;1468;1308;1302;1140;1198;1172;1169;1158;1190;1147;
2100;2050;1806;1530;1395;1349;1309;1311;1147;2408;1184;1178;1218;
2200;3051;1748;1579;1455;1385;1318;1347;1195;1260;1247;1239;1157;
2300;3003;1860;1649;2823;1520;1382;1378;1245;1400;1296;1294;1205;
2400;2920;2102;1707;2945;2834;1465;1459;1445;1398;1335;1349;1259;
2500;3150;2053;1735;1446;1593;1543;1486;1476;1433;1438;1399;1373;
2600;3063;1751;1907;1730;1637;1455;2991;1537;1401;1452;1524;1544;
2700;3709;2254;1905;1767;1515;1656;1613;1604;1567;1438;1427;1641;
2800;3857;1871;2043;1863;1707;1717;1755;1635;1602;1658;1478;1552;
2900;4040;4132;2151;1674;1772;1577;1764;1683;1681;1642;3216;1633;
3000;6532;2527;2140;1979;1872;3455;1669;1841;3312;1788;1586;1573;
3100;4365;2642;2196;2054;1871;3571;1861;1874;1669;1750;1738;1746;
3200;4608;2795;2299;1816;1952;1785;1941;3613;1721;1825;1699;1763;
3300;4547;2800;2431;2178;2018;2104;2060;1963;1913;1855;3655;1849;
3400;4643;2894;2382;4040;2116;2083;2052;2031;1941;1965;1888;1899;
3500;4751;2972;2442;4414;4163;4188;1881;2065;1877;2079;2013;1940;
3600;4806;3087;2587;2344;2188;2211;4157;4159;4015;2044;1899;4019;
3700;8125;2989;2683;2375;4517;2237;2277;2217;1995;2158;2147;4175;
3800;8816;3201;2738;2508;2333;2357;2095;2272;2259;4264;2012;2089;
3900;4770;3263;2750;2607;2475;2347;2329;2311;2107;2082;2062;2269;
4000;4863;3292;2903;2682;2507;2408;2421;4399;2318;4386;2255;2229;
