N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;3.872983;2.236068;2.236068;1.732051;1.732051;1.732051;1.732051;1.414214;1.414214;1.414214;1.414214;1.414214;
200;44.373415;25.298221;3.872983;3.316625;3.162278;3.000000;2.828427;2.828427;2.828427;2.645751;18.894444;2.828427;
300;9.273618;6.928203;7.874008;4.795832;4.358899;4.358899;4.123106;4.242641;4.358899;4.123106;4.582576;4.582576;
400;20.688161;12.083046;6.480741;6.082763;5.830952;5.744563;6.000000;5.477226;5.477226;5.385165;5.567764;5.744563;
500;13.964240;9.591663;8.602325;7.615773;13.453624;7.141428;9.797959;6.782330;7.141428;6.708204;6.557439;6.855655;
600;16.462078;11.916375;9.486833;8.544004;8.246211;8.426150;7.937254;7.874008;8.366600;8.366600;8.717798;8.062258;
700;20.000000;12.649111;10.723805;9.949874;9.380832;8.944272;9.165151;9.797959;8.660254;10.148892;11.704700;9.486833;
800;20.322401;14.142136;11.575837;11.313708;10.677078;10.049876;10.099505;11.045361;12.409674;14.212670;16.673332;10.677078;
900;23.043437;15.066519;13.266499;12.489996;11.874342;11.090537;11.224972;11.000000;11.269428;11.357817;11.401754;11.916375;
1000;53.898052;27.694765;16.763055;13.674794;12.727922;13.000000;11.958261;13.152946;21.517435;12.041595;12.489996;12.000000;
1100;37.536649;18.520259;22.516660;14.247807;13.190906;13.114877;13.527749;13.114877;13.416408;14.317821;14.422205;13.747727;
1200;32.403703;25.455844;16.186414;15.066519;15.132746;15.491933;14.317821;14.764823;16.613248;18.466185;14.662878;15.588457;
1300;44.418465;22.671568;18.493242;16.703293;16.401219;46.925473;17.175564;16.643317;16.852300;17.000000;17.378147;16.970563;
1400;34.423829;23.558438;28.792360;29.137605;17.378147;17.291616;17.464249;20.124612;16.062378;24.596748;22.737634;37.255872;
1500;46.626173;23.600847;19.874607;19.183326;18.920888;18.867962;17.406895;18.138357;18.248288;19.131126;19.493589;18.947295;
1600;37.549967;59.523105;22.847319;21.954498;28.354894;19.899749;19.390719;19.313208;19.595918;20.174241;20.928450;22.068076;
1700;42.895221;26.795522;24.289916;31.685959;28.178006;30.675723;23.937418;36.633318;30.166206;21.494185;32.710854;25.787594;
1800;51.613952;29.883106;26.495283;24.228083;23.130067;22.781571;22.671568;22.759613;22.135944;23.259407;24.228083;25.553865;
1900;100.359354;31.733263;75.445344;25.690465;26.172505;24.351591;40.137264;23.494680;24.879711;34.278273;29.883106;24.718414;
2000;52.201533;40.074930;33.286634;26.589472;25.000000;23.452079;28.530685;23.937418;23.853721;23.643181;24.718414;25.787594;
2100;50.665570;33.151169;29.444864;27.459060;26.267851;32.726136;26.134269;26.305893;26.683328;29.816103;27.258026;26.381812;
2200;71.077423;35.057096;30.479501;28.195744;27.404379;26.551836;27.018512;26.758176;26.702060;28.337255;28.896367;30.364453;
2300;68.461668;37.735925;33.105891;29.614186;29.647934;29.899833;29.427878;29.478806;29.308702;29.647934;37.054015;32.171416;
2400;63.992187;41.665333;34.741906;37.696154;30.822070;30.099834;30.232433;29.765752;30.626786;31.096624;32.249031;32.832910;
2500;76.177424;53.009433;38.613469;36.373067;40.951190;32.496154;59.665736;36.235342;33.615473;34.044089;34.467376;35.000000;
2600;77.103826;63.694584;43.393548;39.458839;41.677332;33.151169;33.361655;33.151169;33.496268;34.263683;34.799425;52.373658;
2700;69.079664;91.782351;40.199502;37.722672;37.722672;108.097179;39.153544;36.138622;34.971417;42.965102;38.626416;42.626283;
2800;75.775986;47.549974;41.158231;40.570926;102.640148;41.158231;66.640828;36.083237;35.958309;42.965102;38.223030;39.217343;
2900;83.898749;61.676576;48.290786;48.290786;40.174619;37.483330;38.301436;37.815341;60.770058;39.761791;44.944410;38.600518;
3000;80.311892;54.129474;43.965896;45.199558;42.941821;37.309516;39.357337;39.012818;39.076847;40.558600;41.785165;43.897608;
3100;86.232245;50.921508;44.249294;43.669211;42.473521;39.962482;40.914545;40.298883;40.607881;42.391037;42.976738;45.000000;
3200;84.693565;53.591044;57.810034;52.028838;45.683695;45.011110;47.549974;51.205468;42.731721;51.555795;55.946403;46.389654;
3300;85.871998;55.973208;46.421978;46.776062;45.022217;129.795994;43.886217;46.335731;49.949975;45.541190;45.475268;46.508064;
3400;97.616597;62.705662;65.734314;46.776062;46.076024;44.136153;42.918527;47.349762;44.575778;44.350874;46.572524;47.528939;
3500;105.735519;66.783231;48.301139;49.859803;57.801384;42.591079;44.452222;44.463468;48.238988;45.563143;46.679760;48.228622;
3600;93.322023;56.683331;61.367744;60.679486;64.621978;51.701064;52.038447;48.259714;47.010637;55.434646;48.610698;48.979588;
3700;107.489534;64.505814;52.611786;50.269275;46.925473;48.579831;57.913729;54.497706;49.061186;53.329167;50.705029;50.872389;
3800;99.734648;62.872888;55.722527;51.961524;51.874849;49.949975;50.764161;49.759421;50.576674;49.869831;50.833060;51.749396;
3900;110.918889;64.031242;54.018515;51.980766;51.826634;47.874837;75.385675;58.549125;57.210139;53.413481;52.725705;54.277067;
4000;107.014018;66.143783;72.367120;56.480085;52.000000;53.563047;50.990195;50.119856;53.553711;54.129474;59.699246;57.078893;
4100;110.625494;66.392771;60.041652;116.236827;52.602281;51.400389;59.874870;53.786615;54.571055;54.653454;56.222771;58.154965;
4200;123.705295;83.803341;58.034473;56.062465;56.524331;59.059292;53.169540;55.154329;57.008771;56.107041;60.390397;57.515215;
4300;117.554243;72.041655;59.000000;74.424458;59.791304;56.035703;53.851648;54.405882;54.525224;53.047149;54.690036;55.009090;
4400;120.557040;75.139870;61.846584;56.780278;56.000000;55.099909;55.488738;55.154329;54.101756;56.903427;58.094750;59.974995;
4500;117.268922;74.188948;63.395583;57.253821;63.166447;57.201399;57.341085;54.899909;60.249481;58.634461;62.833112;59.143892;
4600;124.819870;77.382168;63.631753;60.885138;60.778286;60.497934;62.257530;63.031738;64.459289;57.732140;59.665736;60.712437;
4700;131.259285;71.791364;64.265076;69.677830;66.340033;60.671245;58.821765;57.792733;58.804762;61.644140;70.731888;66.317419;
4800;136.685771;78.377293;65.992424;71.958321;62.888791;59.899917;58.889727;58.838763;59.076222;60.868711;64.598762;64.078077;
4900;139.491935;73.573093;63.482281;62.609903;72.498276;60.802960;60.241182;59.916609;60.091597;63.316664;64.660653;66.189123;
5000;134.164079;82.127949;73.341666;67.779053;60.174746;85.170417;58.506410;59.632206;60.199668;60.357270;64.039051;64.953830;
5100;117.562749;84.451169;69.289249;62.080593;60.431780;59.033889;55.865911;62.369865;60.819405;59.152346;65.207362;67.052218;
5200;124.935984;79.573865;70.342022;66.603303;64.397205;65.871086;71.596089;71.014083;68.058798;79.372539;69.354164;70.788417;
5300;141.689802;88.713020;77.813881;72.587878;68.454364;65.543878;65.734314;68.527367;74.350521;70.668239;78.784516;79.246451;
5400;143.073408;85.029407;78.555713;71.379269;69.942834;65.954530;65.452273;65.513357;69.627581;68.249542;72.374028;73.620649;
5500;146.160870;89.877695;76.915538;76.491830;77.916622;69.072426;72.401657;76.570229;73.368931;79.296910;72.291078;79.555012;
5600;140.331750;83.474547;75.597619;69.419018;72.904047;72.553429;70.128454;71.686819;74.672619;71.840100;77.265775;124.478914;
5700;153.287312;112.418860;75.643903;71.224996;68.395906;67.320131;68.541958;69.548544;70.625774;70.171219;75.604233;76.419893;
5800;152.449992;90.066642;77.556431;72.546537;72.704883;70.092796;69.368581;73.102668;67.838042;69.180922;72.083285;72.159545;
5900;141.414285;83.144453;81.043198;74.155243;74.726167;69.209826;75.193085;67.512962;70.731888;69.806876;68.862181;70.583284;
6000;142.968528;79.668061;75.683552;69.892775;65.741920;66.090847;65.398777;69.491007;63.765194;68.278840;67.919069;69.649121;
6100;138.830832;87.829380;70.823725;72.601653;70.256672;65.482822;67.557383;68.425142;66.407831;75.802375;69.057947;71.854019;
6200;128.148352;96.560862;70.774289;82.534841;69.620399;72.235725;71.812255;71.147734;73.430239;73.702103;74.572113;80.274529;
6300;157.699081;91.504098;82.522724;78.689262;77.601546;76.765878;96.829747;77.220464;76.883028;77.691698;83.030115;83.210576;
6400;167.000000;99.227012;87.982953;86.023253;84.646323;86.700634;82.474238;94.815611;80.199751;77.794601;91.547802;86.017440;
6500;164.015243;112.285351;89.381206;92.059763;83.318665;84.344532;81.178815;80.249611;84.734881;87.835073;97.277952;87.532851;
6600;175.837994;113.344607;95.702665;88.306285;87.504286;100.404183;83.910667;86.567892;88.690473;89.129120;90.928543;93.043001;
6700;175.883484;111.067547;90.553851;91.438504;87.977270;84.610874;83.378654;84.793868;82.734515;85.111691;83.892789;94.308006;
6800;167.212440;114.122741;94.132885;86.700634;96.228894;85.895285;87.789521;85.094066;89.883258;92.211713;95.189285;93.616238;
6900;198.700780;107.684725;93.000000;91.230477;88.136258;89.922189;91.307174;85.164547;99.804810;92.773919;94.599154;97.015463;
7000;194.994872;118.080481;99.614256;103.387620;101.557865;92.531076;88.085186;99.403219;94.175368;96.452061;99.131226;145.464772;
7100;199.554504;121.070228;106.545765;101.094016;94.339811;94.768138;88.090862;90.763429;92.097774;94.562149;100.613120;105.863119;
7200;194.851225;111.588530;97.113336;93.150416;94.583297;90.857031;93.000000;95.488219;93.375586;97.637083;100.029996;98.096891;
7300;178.698069;110.679718;95.530100;96.457244;92.043468;94.673122;89.095454;88.192970;94.270886;95.010526;94.265582;104.393486;
7400;187.443325;118.122817;97.329338;99.332774;90.686272;88.622796;89.493016;109.077954;87.051709;89.727365;99.949987;95.921843;
7500;199.937490;107.065401;96.736756;88.893194;88.147603;87.840765;84.208076;87.698347;91.656969;88.362888;98.061205;97.447422;
7600;194.327044;109.476025;95.184032;94.106323;99.699549;86.815897;85.720476;84.717177;90.763429;89.621426;90.686272;90.967027;
7700;186.123615;116.012930;102.800778;99.914964;116.739025;90.498619;141.859085;94.090382;91.596943;96.015624;87.755342;92.449986;
7800;179.655225;112.680966;110.476242;95.015788;91.274312;86.648716;87.298339;87.143560;89.448309;87.897668;91.678787;96.591925;
7900;187.267189;116.043095;95.346736;92.930081;95.420124;92.200868;89.777503;85.240835;87.584245;93.118204;91.967386;90.790969;
8000;176.748409;114.205954;94.244363;88.735562;90.194235;89.185201;93.380940;86.833173;90.531762;89.509776;86.631403;97.025770;
8100;172.800463;108.646215;100.369318;95.973955;99.453507;90.498619;97.877474;91.054928;99.729635;96.150923;107.605762;106.616134;
8200;208.839651;119.478031;105.389753;101.429779;101.557865;99.362971;98.381909;98.244593;100.079968;105.403985;106.644268;105.413472;
8300;201.848953;126.241831;114.118360;100.712462;100.174847;102.747263;98.315818;96.855563;97.272812;102.205675;109.096288;104.498804;
8400;200.858159;129.178172;112.107092;114.682169;107.962957;103.889364;109.210805;101.483989;110.706820;108.235854;120.875969;112.663215;
8500;232.062492;127.730184;112.147225;107.735788;106.644268;104.670913;103.373111;103.329570;101.960777;104.857046;113.859563;112.445542;
8600;208.657614;137.116739;109.480592;110.471716;115.598443;108.563346;118.237050;114.284732;106.705201;119.645309;115.481600;119.138575;
8700;216.249855;133.592664;109.672239;101.980390;125.702029;106.564534;105.844225;99.483667;101.454423;107.433700;109.416635;111.301393;
8800;232.572569;135.672400;117.983050;102.581675;101.700541;102.747263;100.672737;101.360742;97.432028;107.661507;115.143389;108.346666;
8900;220.945695;122.449990;112.441096;102.327904;102.795914;103.242433;99.126182;102.279030;99.869915;109.872654;108.013888;106.484741;
9000;213.246336;131.430590;104.599235;95.178779;100.054985;112.347675;93.834962;101.232406;96.275646;100.458947;105.271079;104.866582;
9100;207.829257;122.167917;106.226174;101.014850;97.308787;96.265259;94.175368;96.332757;98.605274;107.717222;105.223572;119.532422;
9200;218.856117;132.249764;122.192471;105.900897;110.349445;104.187331;106.953261;105.721332;105.990566;139.136624;106.587992;111.624370;
9300;220.383756;139.560023;117.008547;112.734201;111.054041;105.584090;104.952370;110.136279;113.639782;115.498918;145.337538;116.331423;
9400;227.334555;130.126861;119.945821;114.411538;114.048235;103.276328;111.153048;112.267538;109.091705;151.967102;124.515059;120.904921;
9500;246.243782;143.732390;133.525279;127.777150;122.698818;114.245350;116.193804;118.292012;115.663304;119.180535;127.941393;129.506757;
9600;257.330527;153.088210;123.044707;124.667558;124.739729;119.854078;116.228224;113.309311;120.884242;119.574245;122.441823;124.996000;
9700;240.846424;151.937487;124.249748;119.306328;117.596769;112.672091;109.348068;107.874928;108.009259;112.751940;116.382988;122.515305;
9800;232.273546;137.575434;124.987999;114.328474;111.112556;108.023146;110.972970;111.287915;111.454026;119.172144;122.808794;119.599331;
9900;247.735746;136.444128;120.847011;120.780793;118.701306;105.952820;107.856386;119.033609;114.275982;120.851148;126.834538;127.738013;
10000;242.740602;138.675881;118.321596;120.149906;114.472704;116.811814;122.653985;115.256236;117.541482;124.330206;124.450793;128.868150;
