N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
100;21;11;9;9;8;9;9;8;8;7;7;7;
200;462;265;19;18;15;14;16;14;16;15;197;14;
300;50;41;76;23;22;21;22;24;22;23;32;25;
400;183;114;34;31;31;33;29;30;30;30;31;29;
500;71;54;47;39;139;43;92;35;39;41;41;39;
600;77;60;46;46;48;46;40;41;43;44;45;44;
700;94;61;55;48;47;46;45;69;42;82;103;48;
800;146;69;62;58;57;57;54;85;112;136;171;60;
900;114;84;69;67;63;55;60;62;65;61;65;59;
1000;326;207;145;84;81;63;66;68;229;64;77;70;
1100;324;108;220;84;74;72;82;76;77;76;79;79;
1200;158;241;87;86;82;109;80;83;146;173;82;85;
1300;375;113;99;92;84;506;101;104;94;103;102;89;
1400;177;134;284;272;108;90;92;189;103;249;221;392;
1500;432;136;113;117;110;96;95;110;100;100;114;99;
1600;193;640;114;116;263;103;103;105;97;107;109;118;
1700;214;138;117;293;251;295;184;298;244;117;266;195;
1800;380;162;180;132;133;125;126;131;145;129;136;187;
1900;884;170;802;132;176;140;332;119;126;268;258;132;
2000;355;309;298;139;131;126;245;139;140;131;136;134;
2100;267;172;150;141;139;297;161;134;179;223;145;140;
2200;467;185;153;141;142;135;151;144;154;172;156;168;
2300;471;259;171;148;148;146;154;149;152;155;298;193;
2400;453;302;168;306;160;148;154;151;153;169;174;172;
2500;466;402;243;226;346;177;608;265;165;175;163;164;
2600;461;408;340;231;314;161;170;162;165;159;191;506;
2700;343;952;196;188;201;1115;249;174;185;340;211;343;
2800;432;222;184;187;1023;316;687;187;177;343;197;200;
2900;543;440;398;331;211;186;176;174;604;193;385;188;
3000;415;357;278;278;316;201;210;224;230;210;225;238;
3100;530;251;230;226;206;252;199;200;206;210;206;222;
3200;471;275;404;388;237;267;337;455;207;370;423;233;
3300;455;276;244;268;253;1379;249;308;383;250;262;247;
3400;620;460;614;245;234;224;213;320;239;204;213;242;
3500;612;436;257;370;507;240;218;227;324;235;230;252;
3600;600;278;426;509;554;370;349;267;237;450;234;247;
3700;668;438;309;246;229;274;489;462;293;344;274;265;
3800;530;320;293;267;263;267;269;252;265;260;272;267;
3900;683;327;290;290;272;243;722;414;409;302;297;293;
4000;575;368;667;417;272;353;279;289;288;301;410;311;
4100;680;327;346;1046;266;264;447;267;282;268;271;281;
4200;703;472;297;325;331;437;274;360;394;305;407;280;
4300;762;445;306;675;479;393;303;330;305;290;274;273;
4400;764;507;426;260;288;272;276;287;263;266;302;313;
4500;624;484;411;309;509;319;329;334;479;307;416;321;
4600;731;440;337;420;408;440;398;453;503;317;342;336;
4700;835;404;419;457;452;281;284;320;278;339;434;435;
4800;814;448;334;545;336;324;321;342;336;346;372;372;
4900;959;381;360;366;497;342;340;343;350;376;388;386;
5000;750;490;471;468;349;844;364;378;369;375;389;394;
5100;713;563;431;359;374;384;344;418;392;382;397;432;
5200;743;449;393;452;391;451;433;553;400;622;402;426;
5300;830;481;457;450;442;373;385;395;500;409;498;489;
5400;901;434;509;390;467;356;334;357;369;393;389;371;
5500;789;439;409;375;568;362;456;497;404;494;391;433;
5600;796;470;395;371;511;512;361;398;502;372;491;1262;
5700;818;963;413;420;355;344;349;376;351;367;453;394;
5800;884;572;416;470;486;386;357;494;381;366;409;382;
5900;829;500;543;426;532;467;497;432;508;420;386;384;
6000;1036;465;550;421;384;396;392;424;360;375;363;359;
6100;855;580;389;390;368;340;378;381;382;518;423;482;
6200;758;921;403;508;380;527;500;415;372;396;477;483;
6300;945;528;399;394;396;379;829;429;379;383;449;437;
6400;851;547;554;505;460;526;414;799;399;388;633;401;
6500;954;752;586;567;434;512;475;372;365;565;740;413;
6600;924;657;455;469;435;755;425;460;519;447;449;475;
6700;925;609;436;495;416;442;426;416;405;408;470;649;
6800;919;729;589;442;670;467;492;462;444;496;593;600;
6900;1221;576;495;476;449;449;527;441;693;522;516;578;
7000;1037;645;531;643;643;536;500;609;517;532;575;1281;
7100;995;638;614;551;480;555;473;495;486;505;581;660;
7200;1049;586;506;499;511;481;474;503;495;583;543;556;
7300;1035;620;487;535;503;613;515;526;557;596;563;751;
7400;1035;731;565;583;519;499;508;947;487;479;639;506;
7500;1285;701;611;489;548;580;432;470;558;482;742;548;
7600;1240;692;549;571;747;516;493;510;639;557;542;546;
7700;1025;679;620;734;1053;550;1466;747;550;702;503;617;
7800;1098;683;718;747;515;537;509;557;519;535;685;727;
7900;1120;811;659;596;581;541;573;463;516;610;493;488;
8000;1170;720;601;479;570;559;632;631;607;608;532;861;
8100;1139;594;606;472;598;456;656;512;646;598;821;688;
8200;1129;690;583;673;632;542;570;569;601;601;607;546;
8300;1166;781;649;494;510;576;616;587;578;575;667;514;
8400;1198;765;719;710;583;528;755;579;639;697;763;559;
8500;1184;630;627;582;539;507;499;492;497;555;708;641;
8600;1104;791;551;572;609;570;666;668;511;759;655;748;
8700;1160;768;682;542;946;648;545;517;561;640;530;548;
8800;1278;800;838;527;629;697;585;616;554;595;703;638;
8900;1190;716;651;602;630;651;565;609;554;675;631;664;
9000;1330;956;660;563;551;975;590;757;611;636;674;614;
9100;1193;827;696;607;611;614;601;623;610;647;624;620;
9200;1213;814;952;598;732;699;632;517;644;1301;547;615;
9300;1234;858;732;680;618;539;685;699;760;719;1427;751;
9400;1231;676;674;664;658;577;599;645;591;1398;727;682;
9500;1391;804;740;777;631;592;631;613;560;587;681;632;
9600;1415;856;629;718;708;652;606;574;643;646;601;628;
9700;1364;858;742;638;679;626;644;674;597;763;704;734;
9800;1321;889;767;633;614;700;655;604;637;703;642;679;
9900;1550;871;673;691;796;556;621;796;667;692;854;713;
10000;1304;804;815;792;614;663;741;632;709;667;618;803;
